,名词,词频
13, ,14354
5,灾害,9742
73,  ,3773
27,自然,3742
4,地质,3082
15,工作,2801
67,人,1557
28,风险,1494
88,气象,1397
252,防治,1357
44,部门,1129
511,地震,1092
231,记者,1067
292,国家,1039
91,会议,1020
592,省,1008
92,市,960
24,情况,899
26,国,862
29,普查,855
76,地区,826
8,人员,774
347,全国,714
178,政府,692
756,防御,690
87,环境,684
134,安全,664
1490,洪涝,660
130,人民,658
496,天气,638
646,时间,636
63,预警,627
20,应急,596
936,经济,596
699,管理部,595
149,汛期,588
108,减灾,585
86,中心,558
1207,事故,535
739,管理,516
197,现场,513
969,损失,502
85,气象局,501
97,气候,494
107,防灾,484
167,监测,480
2284,火灾,478
1646,我国,467
171,县,466
442,山洪,461
71,火山,461
131,群众,457
664,能力,449
162,资源,448
558,救灾,445
429,单位,428
765,国务院,422
213,影响,421
271,中央,420
3050,战争,416
138,防汛,406
737,资源部,403
42,地,399
1056,新闻,397
465,森林,395
2054,电,393
308,公司,390
183,演练,386
1517,暴雨,385
524,消息,380
978,会商,379
934,社会,374
64,信息,372
371,当地,371
499,山体,367
443,技术,359
60,发展,358
568,   ,357
49,视频,357
11,救援,357
1540,降雨,356
1015,水旱,349
132,生命,348
622,农业,347
185,生态,345
532,程度,338
35,问题,338
466,系统,338
2012,干旱,336
220,传染病,332
257,世界,329
1088,事件,329
410,办公室,321
275,负责人,319
1722,海洋,317
1233,其中,317
106,活动,309
1739,风暴,308
191,工程,301
983,滑坡,296
1394,消防,284
1483,全球,281
1564,台风,280
98,形势,277
173,防范,277
65,灾难,276
105,建设,275
727,交通,274
46,区域,272
188,污染,271
2001,房屋,270
116,保障,269
268,区,267
112,隐患点,267
153,领导,267
1023,分析,263
133,财产,260
761,生产,259
261,生活,259
1411,地震 ,255
322,城市,250
296,讯,249
502,预案,249
954,人类,247
348,委员会,247
705,隐患,246
1142,洪水,243
407,水,242
534,降水,238
84,管理局,234
169,专家,234
1383,气温,232
1760,评估,231
2298,危机,231
145,工作 ,229
248,措施,228
135,水利,227
83,资源局,226
175,通讯员,223
154,责任,220
152,组织,216
278,方案,216
327,研究,214
36,部署,214
906,总书记,214
679,媒体,213
276,指挥部,211
355,季度,211
2824,疫情,210
79,草原,209
310,过程,208
685,国土,206
118,城乡,205
2,抢险,205
440,范围,201
382,社区,201
101,规划,199
368,调查,198
943,抗旱,196
402,项目,192
1128,历史,189
501,灾情,187
551,服务,185
515,泥石流,184
757,体系,183
1708,救助,180
165,成员,178
439,期间,177
1271,居民,175
1178,水库,173
4721,爆炸,171
1283,方面,171
200,道路,170
199,设施,170
38,普查办,170
639,电话,170
2119,报告,167
1127,面积,165
713, 市,165
30,试点,165
354,精神 ,164
849,原因,164
209,卫生,164
349,治理,163
1141,水利局,163
66,时候,161
1743,南方,161
601,防控,160
1513,附近,160
2250,震源,160
2251,深度,160
1165,粮食,159
446,乡镇,159
1447,地方,158
760,通知,158
321,之一,155
487,伤亡,153
1348,官方,153
2043,水利部,153
736,基础,153
1115,数据,153
406,街道,152
99,变化,150
2010,冷冻,149
718,队伍,147
984,灾,146
786,电视,146
320,来源,146
598, 区,144
843,总体,144
357,企业,144
488,灾害 ,143
290,国际,143
919,任务,142
62,预报,141
180,小组,140
212,精神,139
675,人口,137
39,主任,136
12,力量,136
2283,雪灾,135
10877,热浪,134
1018,减灾委,134
3094,车,134
1527,天气 ,134
172,汛,133
1719,常年,132
764,党,131
2627,受灾 ,130
11355,喷发,130
2009,低温,129
1612,发布,129
711,培训,129
1493,家,129
661,意识,128
2055,死亡 ,128
233,内容,127
973,资源厅,126
353,同志,126
444,专题,125
14,处置,125
498,降雨 ,124
2000,海啸,124
728,安全 ,124
285,核,124
75,北部,124
2681,旱,123
631,大学,122
1220,级,122
1289,作者,121
967,预警 ,120
1561,作用,119
1019,研判,118
755,方式,118
979,核定 ,118
1382,发布会,117
2628,死亡,117
2047, 气象局,117
2435,年景,116
970,指导,116
486,统计,116
1012,指挥,114
1151,机制,113
1213,医院,113
500, 泥石流,113
381,干部,112
3999,实验室,112
384,行动,112
341,行业,112
1789,指示,111
141,制度,111
74,月,111
2031, 风雹 ,111
913,集团,111
559,时刻,110
129,检查,110
270,要求,110
166,副局长,110
971,意见,109
122,市委,109
6901,火灾 ,109
10,人 ,109
102,编制,109
1155,网站,109
961,干旱 ,108
2042,运输部,108
5050,舞蹈,108
989,手机,107
972,管理厅,107
2596,公路,106
482,南,106
415,重点,106
707,年度,105
143,设备,105
119,规模,105
777,结果,104
626,地球,104
784,共和国,104
211,人们,103
976,住房,103
150,政治,103
254,保护,102
1863,时期,102
812,网友,102
397,县委,102
2074,自治区,101
1702,物资,101
32,会 ,101
883,排查,101
164,党组,101
850,因素,100
201,工业,100
1462,文化,100
2836,病虫害,100
674,市场,100
1485,现象,99
1937,准备,99
2638,受灾,99
986,资金,99
467,科学,99
1729,目的,99
513,滑坡 ,99
623,农村部,99
579,电影,99
637,领域,98
1184,水平,98
1883,趋势,98
2636,倒塌 ,98
887,科技,97
179,镇,97
2319,人数,96
1518,气象台,96
1716,热带,96
2889,节目,95
690,交流,95
93,业务,95
691,区划,94
205,车辆,93
377,质量,93
641,公众,92
2712,爆炸 ,92
1150,支撑,91
2442, 经,91
508,危害,91
2377,办法,91
1704,信息员,91
643,响应,90
708,知识,90
1041,文章,89
123,书记,89
2852,铁路,89
445,培训会,88
1796,预防,88
3076,发生,88
2260,部长,88
269,整治,87
610,流域,87
1717,气旋,87
450,责任人,86
22,关系,86
2635,金融,85
47,研判 ,85
237,平台,85
698,  一,85
163,规划局,85
234,图片,85
2553,失踪 ,84
1198,声明,84
964,大风,84
230,日报,84
7862,地震台网,84
695,协调,84
2249,海域,83
1852,保险,83
1,避险,83
68, 自然,83
1477,灾害点,82
702,调研,81
1599,威胁,81
848,大队,81
2364,办公厅,81
2059,伤亡 ,80
3444,路段,80
1384,雨雪,79
1586,预测,79
219,条件,79
2475,应急局,79
517,海啸 ,79
2744,农作物,78
2216,货车,78
217,土壤,78
594,阶段,78
1140,城区,78
2100,机构,78
1951,客户端,78
1663,条例,77
127,备汛,77
2011,雪灾 ,77
710,宣传,77
629,专业,76
987,使用,76
1341,市政府,76
4570,降水量,76
2265,副部长,76
1119,数量,75
945,通知 ,75
3088,高温,75
4579, 地震局,75
3054,灾区,74
1381,主题,74
809,文,73
1989,红网,73
872,建筑,73
1713,地面,73
2300,民众,73
1399,内涝,72
1541,西部,72
417,一行,72
2040,建设部,71
1975,市民,71
227,辖区,71
2436,偏差,71
177,发生 ,71
1137,小时,71
1548,状态,71
395,行政,71
2476,主管,71
1247,改革,71
1637,投资,71
3489,冠肺炎,70
3,救援 ,70
1602,东部,70
2052,总会 ,70
694,统筹,70
2567,应对,70
814,个人,70
553,村,69
677,广播,69
192,施工,69
109,村民,69
1598,台风 ,68
2591,类型,68
552,党委,68
1523,降雨量,68
985,补助,68
186,公安,68
724,小编,67
857,汽车,67
544,关注,67
2441, 地震 ,67
1998,抗灾署,67
4362,军委,67
3253,局部,67
2427,时代,67
548,信息 ,66
2489,河流,66
686,空间,66
555,民警,66
2517,民族,66
398,副书记,66
3807,编辑,66
1665,目标,66
1185,培训班,65
781,乡,65
845,基层,65
5108,轿车,65
926,沿岸,65
454,控制,65
225,健康,65
778,农村,65
2007,信息化部,65
507,地灾,64
189,专项,64
1549,崩塌,64
306,代表,64
681,时 ,64
4305, 水利部,64
723,网络,64
497,预报 ,63
672,学校,63
4578, 农业部,63
176,洪灾,63
988,政策,63
1395,支队,63
3190,风暴 ,63
3055,装备,63
1522,山区,63
2754,严寒,62
2440,洪涝 ,62
403,副县长,61
1829,病毒,60
2616,经验,60
840,东,60
1260,网 ,60
720,小麦,60
104,开发,60
2248,群岛,60
1685,成果,60
481,北,60
2535,普查 ,60
2253,修订,60
139,值班,60
455,研究院,60
159,常委,59
2892,工作组,59
43,水文,59
766,决策,59
1916,报道,59
1731,资料,59
896,废水,59
730,标题,58
2254,结果 ,58
2464,袭击,58
2593,分布,58
2008,单位 ,58
2414,意义,58
334,部分,58
650,特点,58
560,家庭,58
411,副主任,57
1097,方法,57
1409,爆发,57
331,标准,57
3726,国内,57
980,风雹,56
3241,暴雨 ,56
763,实施,56
816,评论 ,56
6905,大火,56
2930,反馈 ,55
2626, 市 ,55
232,声明 ,55
1592,州,55
1197,协会,55
2434,微博,55
1855,产品,55
2030, 地震,55
1256,战略,55
469,冰川,55
2929,举报 ,55
731,等级,55
514,洪 ,55
2566,冰冻,54
2939,隐患 ,54
5886,舞者,54
462,研究所,54
89,会,54
4381,水位,54
1567,总指挥部,54
536,玉米,54
126,检查组,53
1821,中 ,53
6621,地震局,53
703,调研组,53
121,农民,53
256,事,53
473,西北,53
2301,电力,53
842,安排,53
2621,北方,52
6,风险 ,52
4587, 山体,52
2326,温度,52
214,生物,52
8108,公交车,52
3218,供电,52
4003,教育部,52
3590,财经,52
982,冷冻 ,51
1759,背景,51
2348,事项,51
999,模式,51
1677,破坏 ,51
1092,后 ,51
144,运行,51
2485,煤矿,51
2541,自然灾,51
1603, 水,51
1932,强度,51
7328,蝗灾,51
2749,影响 ,51
2614,防洪,51
264,大气,50
215,空气,50
1403,中心 ,50
1002, x ,50
2729,可能,50
1153,厅,50
1219,公安局,49
1147,抗洪,49
9687,战役,49
240,责任 ,49
1177, 汛,49
2909,同期,49
649,监管,49
147,职责,49
3676,大 ,49
767,部署 ,49
359,西南,49
2259,部,49
1016,推进,49
3887,地图,49
2438,偏差 ,49
4683,倒塌,49
9711,美军,48
12721,虫害,48
2960, 据,48
3226,安置,48
4544,气象报,48
1547,防总,48
1351,规定,48
4363,工作部,48
839,局,48
1292,楼,48
1873,团队,48
9591,震感,48
9132,震中,48
4575,海洋局,48
680,栏目,47
665,防护,47
160,副市长,47
1849,委员,47
1063,批示,47
2587,来源 ,47
1044,产业,47
136,枢纽,47
1529,险情,47
2637, 农作物,47
1993,创新,47
2437,汛情,47
1875, 记者,47
2049,保监会,46
2210,军事,46
1506,机场,46
1467,核心,46
1393,实战,46
981, 局地,46
3890,系列,46
1344,新区,46
7092,消防员,46
909,主体,46
54,观测,46
1797,赈灾,45
2632,重建,45
2552,人民币,45
2479,总理,45
295,网,45
120,搬迁,45
1277,场所,45
1022,灭火,45
962,降水 ,45
1415,周围,45
372,破坏,44
2679,风雹 ,44
1079,中,44
2577,信息网,44
907,讲话,44
2271,底数,44
864,位置,44
2469,抗灾,44
669, 山,44
489,切坡,43
260,行为,43
1794,泄漏,43
554,派出所,43
678,电视台,43
712,形式,43
953,事情,43
1021,会议 ,43
1050,结构,43
2258,震级,43
4815,青年,43
734,群测,43
3129,总统,43
235,内 ,43
1848,政协,43
3778,报警,43
785,教育,43
451,水务局,43
735,群防,43
1400,话,43
1507,动物,43
1839,疾病,42
413,分局,42
392,经营,42
1853,提案,42
323,世纪,42
