,名词,词频
13, ,882
5,灾害,614
73,  ,249
4,地质,223
27,自然,220
15,工作,213
88,气象,99
28,风险,86
227,防治,85
492,天气,79
44,部门,74
76,地区,73
67,人,70
191,国家,68
91,会议,66
576,记者,64
307,严寒,62
8,人员,60
185,省,57
24,情况,55
26,国,53
92,市,51
134,安全,51
216,全国,49
20,应急,48
29,普查,47
276,管理,46
108,减灾,45
189,资源部,43
677,管理部,43
130,人民,43
747,时间,41
742,气温,41
85,气象局,41
107,防灾,40
283,政府,39
63,预警,39
224,单位,38
116,保障,38
175,防御,37
86,中心,37
732,中央,37
518,公司,37
162,资源,35
365,严寒 ,35
149,汛期,34
410,疫情,34
2141,我国,34
188,能力,33
87,环境,33
167,监测,32
762,损失,32
599,工程,32
506,地震,31
97,气候,31
733,国务院,31
546,救灾,30
702,交通,29
1024,洪涝,29
131,群众,29
106,活动,27
295,影响,27
328,项目,27
186,海洋,27
683,现场,26
171,县,26
11,救援,26
1075,社会,26
460,系统,25
954,会商,25
42,地,24
541,民警,24
200,城市,24
226,山洪,24
660,国土,23
245,森林,23
153,领导,23
1422,社区,23
132,生命,23
323,程度,23
705,农业,23
1204,电,23
213,技术,23
808,降雨,22
408,新闻,22
60,发展,21
946,经济,21
193,演练,21
376,   ,21
1637,寒潮,20
173,防范,20
596,大队,20
845,居民,20
105,建设,20
98,形势,20
133,财产,20
673,措施,20
292,低温,20
222,办公室,20
174,水旱,20
253,天气 ,20
618,服务,20
1354,过程,20
64,信息,20
608,事故,20
497,预案,19
138,防汛,19
287,街道,19
1023,暴雨,18
145,工作 ,18
152,组织,18
2219,总书记,18
490,讯,18
214,委员会,18
49,视频,17
1041,公安,17
1448,干旱,17
238,负责人,17
1757,救助,17
1152,发布,17
565,生活,17
443,铁路,17
1237,家,16
239,季度,16
1797,评估,16
520,消息,16
1310,期间,16
112,隐患点,16
1230,官方,16
46,区域,16
118,城乡,16
195,事件,16
598,区,16
590,通知,16
1246,冬季,15
1175,道路,15
259,范围,15
1335,房屋,15
329,施工,15
938,指导,15
1010,车辆,15
383,集团,15
332,方案,15
1460,冰雪,15
36,部署,15
998,分析,14
65,灾难,14
66,时候,14
267,指挥部,14
1062,洪水,14
642,当地,14
1494,防控,14
281,精神,14
1167,交警,13
482,灾害 ,13
165,成员,13
694,队伍,13
83,资源局,13
169,专家,13
257,任务,13
491,通讯员,13
35,问题,13
2190,水利部,13
154,责任,13
345,企业,13
177,隐患,13
2,抢险,12
234,精神 ,12
861,天然气,12
2509,雪灾,12
2612,台风,12
537,党委,12
494,降雨 ,12
728,条件,12
727,生产,12
905,训练,12
2155,冷冻,12
630,乡镇,12
955,核定 ,12
143,设备,12
1293,供水,12
271,设施,12
684,同志,12
129,检查,12
2228,条例,12
1379,其中,12
2220,指示,11
38,普查办,11
637,意识,11
1070,机制,11
1521,风雪,11
577,体系,11
440,山体,11
1135,公安局,11
32,会 ,11
176,水利局,11
852,总体,11
1681,共和国,11
1250,温度,11
246,火灾,11
79,草原,11
764,数据,11
594,支撑,11
135,水利,11
2361,报告,10
731,党,10
495, 泥石流,10
496,灾情,10
311,世界,10
14,处置,10
2194, 气象局,10
1045,要求,10
2020,劳动,10
1850,全球,10
896,支队,10
1022,行动,10
615,重点,10
1598,练兵,10
2508,农村部,10
601,安全 ,10
261,水,10
183,年度,10
1453,南方,10
84,管理局,10
689, 市,10
676, 区,10
75,北部,10
123,书记,10
666,区划,10
585,资源厅,10
1497,岗位,10
906,质量,10
1363,实战,10
603,指挥,10
902,消防,10
1377,人类,10
122,市委,10
438,雪山,9
1412,历史,9
1935,国际,9
3078,办法,9
2000,方法,9
1331,供电,9
1074,网站,9
2189,运输部,9
207,调查,9
611,方式,9
862,工业,9
993,减灾委,9
664,保护,9
101,规划,9
178,抗旱,9
1087,粮食,9
99,变化,9
1143,活动 ,9
62,预报,9
1270,民众,9
39,主任,9
220,基础,9
959,滑坡,9
68, 自然,9
738,常年,9
629,培训,8
280,电话,8
1025,治理,8
1008,小组,8
3073,军委,8
430,线路,8
2355,研究,8
962,资金,8
952,住房,8
1661,路段,8
960,灾,8
312,之一,8
2202,死亡 ,8
510,泥石流,8
172,汛,8
264,内容,8
1283,人数,8
1265,电力,8
528,降水,8
2053,面积,8
538,村,8
252,大风,8
543,辖区,8
1178,农村,8
1173,帐号,8
875,地方,8
1352,发布会,8
2328,地图,8
266,人口,8
166,副局长,8
769,手机,8
797,基层,7
380,建筑,7
1628,首都,7
1686,大雪,7
854,党员,7
342,小时,7
1630,秩序,7
795,隐患 ,7
770,人们,7
777,作者,7
847,出行,7
1668,一线,7
996,领域,7
898,指战员,7
386,经验,7
539,干部,7
1138,山区,7
604,科技,7
481,伤亡,7
480,统计,7
610,工作组,7
614,代表,7
1051,水平,7
1046,物资,7
463,冰川,7
654,媒体,7
997,灭火,7
1285,死亡,7
994,研判,7
3318, 农业部,7
1512,百姓,7
947,意见,7
932,中 ,7
1538,空气,7
2986,副部长,7
783,文章,7
141,制度,7
164,党组,7
270,一行,7
120,搬迁,7
1967,公路,7
2199,总会 ,7
273,保险,7
1,避险,7
230,县委,7
2647,主管,7
179,手,7
2062,状态,7
12,力量,7
10,人 ,7
102,编制,7
2177, 风雹 ,7
250,预警 ,7
2187,建设部,7
2295,机构,7
2514,实验室,7
150,政治,7
2614, 经,7
47,研判 ,6
1009,灾区,6
648,学校,6
1951,防疫,6
1294,男孩,6
249,应对,6
121,农民,6
1558,工人,6
1880,闪电,6
1993,检测,6
2324,市民,6
1886,汽车,6
2221,时期,6
262,旱,6
1183,方面,6
650,市场,6
461,科学,6
1160,平台,6
670,协调,6
93,业务,6
1427,局部,6
963,使用,6
459,生态,6
688,形式,6
961,补助,6
1390,安置,6
652,广播,6
1450,电网,6
1955,作用,6
294,农作物,6
3319, 地震局,6
2511,受灾 ,6
3583,心理,6
71,火山,6
1353,雨雪,6
419,分布,6
874,东北,6
2773,大学,6
776,权益,6
163,规划局,6
2651,总理,6
837,排查,6
194,现象,6
1724,限度,6
2063,折叠屏,6
1739,部分,6
22,关系,6
1182,专项,6
2613, 地震 ,6
1179,土地,6
211,标准,6
2636,袭击,6
2626,专题,6
851,市政府,6
319,目标,6
279,电视,6
1614,警,6
30,试点,6
2018,人力,6
1053,水库,6
1061,城区,6
1618,威胁,6
671,责任 ,5
1305,能源,5
574,应急局,5
1306,风暴,5
2010,幼儿,5
675,  一,5
669,统筹,5
1029,气象台,5
127,备汛,5
2268,变电站,5
3233,篮球,5
1116,协会,5
147,职责,5
1104,阶段,5
1142,官兵,5
231,副书记,5
260,地震 ,5
159,常委,5
1248, 农作物,5
1244,环节,5
493,预报 ,5
255,等级,5
1229,旅游,5
656,时 ,5
2243,劳动者,5
223,通知 ,5
221,宣传,5
2153,信息化部,5
1284,报道,5
1076,公众,5
1366,内涝,5
540,派出所,5
218,主题,5
547,时刻,5
109,村民,5
992,因素,5
3096,水位,5
969,结果,5
2503,受灾,5
784,民生,5
1908,财经,5
709,群防,5
298,进度,5
2476,成果,5
1716,批示,5
1704,干旱 ,5
2947,响应,5
911,雪地,5
370,东部,5
1540,冰冻,5
2501,年景,5
763,伤亡 ,5
367,考验,5
2793,渣土,5
356,路,5
2991,风雹 ,5
398,网友,5
821,专业,5
395,爱好者,5
317,雪,5
842,资料,5
1580,采气,5
2307,辅警,5
698,网络,5
782,反馈 ,5
680,调研,5
1791,卫生,5
1947,冬日,5
306,军人,5
3061,行政,5
693,志愿者,5
785,工程 ,5
3374,学会,5
794,准备,5
1760,气旋,5
1759,热带,5
285,镇,5
1824,核酸,5
284,副县长,5
77,暴风雪,5
31,调度,5
775,来源,5
774,目的,5
864,储气库,5
781,举报 ,5
2371,海啸,4
1072,厅,4
2368,意义,4
2571,先生,4
858,作风 ,4
846,职工,4
2270,巡视,4
2464,部长,4
3403,德军,4
575,客户端,4
3,救援 ,4
582,会议 ,4
3246,险情,4
773,文,4
2403,管道,4
2140,运输,4
828,学习,4
810,趋势,4
2193,统计局,4
2154,单位 ,4
815,中旬,4
2176, 地震,4
2390,市区,4
3375,文学,4
737,降雨量,4
748,内 ,4
3333, 保监会,4
117,力度,4
710,培训会,4
708,群测,4
2244,用人,4
2245,法律,4
61,变化 ,4
949,管理厅,4
74,月,4
2247,监督,4
990,推进,4
3306,  级  ,4
699,小编,4
3307,  级 ,4
3309,降水量,4
958,冷冻 ,4
686,知识,4
964,政策,4
3310,平均值,4
975,模式,4
57,河段,4
1013,信息员,4
2363,电子,4
3349,病例,4
1059,发生,4
624,安排,4
3372,会员,4
1038,责任人,4
628,电影,4
3314,海洋局,4
139,值班,4
631,学生,4
632,文化,4
887,寒冬,4
2343,数量,4
2331,系列,4
136,枢纽,4
3478,煤矿,4
126,检查组,4
52,点 ,4
899,体能,4
900,素质,4
3298,自治区,4
1154,创作者,4
2833,信息网,4
1455,灾害点,4
1299,产品,4
301,影响 ,4
243,冰雹,4
1958,货车,4
242,大风 ,4
467,西北,4
2015,风力,4
2016,大 ,4
1261,复产,4
2965,倒塌 ,4
523,通信,4
2964,失踪 ,4
308,酷暑 ,4
1609,团队,4
