,名词,词频
19, ,856
381,灾害,441
1,传染病,329
183,  ,200
476,自然,190
75,工作,183
434,地质,145
2,防治,113
65,国家,87
268,风险,78
16,卫生,76
209,人,71
10,疫情,70
152,会议,69
70,中心,66
254,省,64
394,市,62
11,防控,57
232,部门,56
6,安全,54
77,国,51
500,气象,51
64,记者,48
820,全国,47
21,人民,45
618,情况,45
659,普查,43
96,健康,43
517,政府,43
464,地震,41
47,病毒,39
208,人员,38
68,疾病,36
45,天气,35
357,新闻,35
634,能力,35
565,防御,34
226,国务院,32
253,预防,32
538,汛期,31
200,管理,31
672,管理部,30
134,地区,30
317,时间,30
98,医院,30
148,中央,29
557,应急,29
161,信息,29
1187,洪涝,28
199,报告,28
539,资源,27
212,措施,27
225,控制,27
17,事件,26
750,人类,26
258,冠肺炎,26
708,减灾,25
278,呼吸道,24
801,我国,24
102,主任,23
125,专家,23
146,技术,23
313,防治法,23
79,建设,22
252,社会,22
794,生物,22
554,体系,22
527,救灾,22
249,群众,22
412,系统,22
446,气象局,22
526,防灾,22
227,农业,21
132,委员会,21
337,传播,21
233,会商,21
81,卫健委,21
262,生命,20
251,经济,20
752,大学,20
241,问题,20
69,医学,20
80,发展,20
50,学校,20
1245,气候,20
454,演练,20
495,影响,20
812,疫苗,19
53,预警,19
352,生活,19
736,保障,18
1505,电,18
145,医疗,18
1219,暴雨,18
1254,降雨,18
617,县,18
380,山洪,18
924,损失,18
971,水旱,18
630,防汛,17
180,知识,17
508,视频,17
406,环境,17
63,消息,17
453,指挥部,17
15,   ,17
156,单位,17
908,世界,17
486,程度,17
177,活动,16
390,监测,16
107,儿童,16
574,通知,16
496,地,16
1876,研究,16
410,森林,16
1005,全球,16
541,隐患点,16
385,负责人,15
267,意识,15
975,形势,15
269,组织,15
978,分析,15
829,疾控,15
108,传染病 ,15
257,其中,15
585,区,15
875,总书记,14
263,科技,14
445,讯,14
272,制度,14
615,资源部,14
816,发布会,14
66,健康委,14
54,防疫,14
187,防范,13
157,来源,13
