,名词,词频
13, ,536
5,灾害,357
27,自然,154
73,  ,153
67,人,109
15,工作,107
4,地质,103
28,风险,77
8,人员,53
425,事故,53
29,普查,48
237,防治,47
44,部门,46
196,省,45
91,会议,42
354,现场,42
88,气象,38
785,记者,36
92,市,36
24,情况,35
352,地震,34
49,视频,33
719,倒塌,32
26,国,32
405,时间,30
178,政府,30
340,倒塌 ,30
359,房屋,26
186,防御,25
134,安全,24
1499,塔吊,24
286,管理,24
518,消息,23
368,公司,23
494,天气,22
76,地区,22
202,国家,22
149,汛期,22
63,预警,22
11,救援,21
787,损失,20
130,人民,19
606,新闻,19
97,气候,19
199,能力,19
167,监测,19
226,全国,19
138,防汛,18
566,树,18
183,演练,17
105,建设,17
86,中心,17
427,消防,17
378,建筑,17
1973,管理部,16
1035,楼房,16
107,防灾,16
85,气象局,16
255,森林,16
411,其中,16
872,项目,16
205,事件,15
42,地,15
108,减灾,15
941,会商,15
35,问题,15
60,发展,15
493,讯,14
65,灾难,14
185,水旱,14
290,电话,14
1130,当地,14
171,县,14
823,工程,14
162,资源,14
372,施工,14
1061,我国,13
132,生命,13
187,水利局,13
676,大楼,13
232,办公室,13
223,技术,13
145,工作 ,12
133,财产,12
573,孩子,12
1049,死亡 ,12
829,降雨,12
1405,暴雨,12
1859,酒店,12
846,过程,12
1216,洪涝,12
736,原因,12
66,时候,12
64,信息,12
234,单位,11
20,应急,11
131,群众,11
1083,社会,11
561,救灾,11
143,设备,11
641,   ,11
84,管理局,11
717,世界,11
535,影响,11
173,防范,11
289,电视,11
197,海洋,11
236,山洪,11
188,隐患,10
305,来源,10
304,围墙,10
1486,事故 ,10
154,责任,10
796,作者,10
30,试点,10
135,水利,10
248,负责人,10
526,程度,10
424,坍塌,10
948,生活,10
87,环境,10
98,形势,10
116,保障,10
1057,电,9
499,预案,9
575,集团,9
200,资源部,9
189,抗旱,9
270,地震 ,9
349,附近,9
932,经济,9
1094,粮食,9
924,农业,9
604,声明,9
463,系统,9
210,城市,9
106,活动,9
950,使用,9
175,通讯员,8
869,道路,8
865,医院,8
1227,评估,8
38,普查办,8
392,客户端,8
875,小区,8
71,火山,8
295,街道,8
1306,研究,8
101,规划,8
83,资源局,8
271,水,8
256,火灾,8
249,季度,8
1476,楼,8
217,调查,8
36,部署,8
46,区域,8
79,草原,8
1550,方面,8
224,委员会,8
112,隐患点,8
528,降水,8
153,领导,8
759,气温,8
498,灾情,8
281,设施,7
484,伤亡,7
2255,国务院,7
981,分析,7
642,文章,7
773,区,7
1255,媒体,7
277,指挥部,7
918,人类,7
267,任务,7
244,精神 ,7
243,级,7
1469,面积,7
462,生态,7
996,工业,7
179,镇,7
362,山体,7
380,生产,7
426,工人,7
461,之一,7
2389,年景,7
371,措施,7
441,乡镇,7
1192,全球,6
260,预警 ,6
609,中央,6
947,灾,6
539,关注,6
404,发布,6
967,方案,6
1204,台风,6
240,县委,6
880,居民,6
1442,南方,6
1625,工地,6
1017,房子,6
511,海啸 ,6
276,人口,6
548,平台,6
1058, 记者,6
2401,实验室,6
1245,破坏 ,6
39,主任,6
602,画面,6
375,作业,6
439,专题,6
592,风力,6
628,家,6
1341,发布会,6
934,意见,6
964,交通,6
326,事,6
344,小编,6
569,女子,6
1967,海啸,6
99,变化,6
1689, 市,6
118,城乡,6
127,备汛,6
152,组织,6
169,专家,6
262,大风,5
1068,总体,5
139,值班,5
1069,城区,5
466,冰川,5
1070,洪水,5
62,预报,5
485,灾害 ,5
1342,雨雪,5
619, x ,5
868,发电机,5
1082,网站,5
141,制度,5
220,行业,5
677,人们,5
1337,日报,5
1978,雪灾 ,5
1157,科技,5
2,抢险,5
1976,低温,5
881,车辆,5
32,会 ,5
1977,冷冻,5
75,北部,5
1576,州,5
814,  一,5
2000, 风雹 ,5
2231,普查 ,5
14,处置,5
386,网络,5
166,副局长,5
1159,安全 ,5
496,降雨 ,5
1369,地球,5
970,队伍,5
671,原因 ,5
700,资金,5
946,滑坡,5
935,管理厅,5
233,通知 ,5
936,资源厅,5
956,结果,5
581,伤亡 ,5
109,村民,5
180,小组,5
1668,大桥,5
555,干部,5
554,村,5
976,研判,5
546,内 ,5
939,住房,5
123,书记,5
1434,期间,5
1036,阶段,5
605,文,5
47,研判 ,5
509,泥石流,5
1324,社区,5
1919,官方,5
1189,卫生,4
1758,赈灾,4
172,汛,4
1258,结构,4
1651,公园,4
646,举报 ,4
74,月,4
393,播放,4
389,模式,4
366,监理,4
1648,防护,4
1913,改造,4
353,受伤 ,4
1679,幕,4
1975,单位 ,4
1615,抢救,4
586, 据,4
949,补助,4
593,作用,4
102,编制,4
104,开发,4
562,时刻,4
968,指挥,4
530,玉米,4
1621,车,4
504,危害,4
80,地带,4
136,枢纽,4
723,地下,4
497, 泥石流,4
486,切坡,4
1725,响应,4
483,统计,4
624,网友,4
1105, 汛,4
1714,区划,4
2192,自然灾,4
2232,底数,4
627,门口,4
1114,水平,4
2131,印染,4
2132,污水,4
2395,偏差,4
1614,厂房,4
440,培训会,4
2139,麦子,4
1,避险,4
587,了解,4
788,数据,4
698,方式,4
684,年代,4
1329,要求,4
2259,群岛,4
269,范围,4
1401,历史,4
194,年度,4
1652,北侧,4
293,副县长,4
263,天气 ,4
1415,局部,4
2260,海域,4
259,应对,4
794,目的,4
1352,支队,4
1436,干旱,4
254,洪涝 ,4
2261,震源,4
2525,冰冻,4
1356,内涝,4
1429,大雨,4
1787,文化,4
1311,废墟,4
2482,应急局,4
2266,沿岸,4
1380,主体,4
801,评论 ,4
1301,体系,4
1448,时 ,4
274,内容,4
2264,修订,4
272,旱,4
68, 自然,4
2262,深度,4
775,专业,4
1389,市政府,4
230,基础,4
2265,结果 ,4
3,救援 ,4
921,者,3
1654,公安 ,3
1064,安排,3
2383,总书记,3
503,地灾,3
800,反馈 ,3
1060,受灾 ,3
792,手机,3
508,洪 ,3
2317,新居,3
726,主持人,3
1582,台风 ,3
2128,居民楼,3
495,预报 ,3
2120,情感,3
623,路人,3
722,百货,3
622,协议,3
621,0  ,3
620,音量,3
2016, 气象局,3
479,南,3
618,宽高,3
464,科学,3
2012,水利部,3
140,值守,3
1748,指示,3
2011,运输部,3
617,分辨率,3
616,chromehls ,3
204,现象,3
668,中间,3
1478,警方,3
1054,首都,3
783,会商会,3
553,党委,3
241,副书记,3
1751,核,3
975,减灾委,3
933,指导,3
972,推进,3
1635,抢修,3
1755,泄漏,3
750,里面,3
1445,屋顶,3
567,旁边,3
1546,地方,3
594,老人,3
2214,数量,3
100,村庄,3
572,后 ,3
1771,同志,3
1692,受灾,3
95,事宜,3
1769,报送,3
942,核定 ,3
584,行人,3
113,建房,3
547,自媒体,3
128,防地质,3
1019,东西,3
607,观点,3
2356,成果,3
1042,时期,3
1106,水库,3
1531,状态,3
124,市长,3
1030,资产,3
122,市委,3
926,干旱 ,3
1438,意识,3
2233,抗灾,3
1474,官员,3
1002,纸币,3
120,搬迁,3
998,双子塔,3
1475,西部,3
927,降水 ,3
991,国际,3
599,瞬间,3
543,信息 ,3
544,声明 ,3
545,图片,3
1295,小时,3
147,职责,3
649,别墅,3
2156,总队,3
1925,搜救,3
1505,民族,3
1219,物资,3
2159,报告,3
1211,公报,3
384,汽车,3
1938,楼体,3
1351,实战,3
308,微信,3
165,成员,3
164,党组,3
1338,新闻办,3
1835,危楼,3
1392,预测,3
163,规划局,3
1741,建筑物,3
1183,疫情,3
877,自行车,3
1179,意义,3
1958,中 ,3
37, 二,3
159,常委,3
1502,城墙,3
1844,晚报,3
1962,抗灾署,3
1493,电子,3
10,人 ,3
830,趋势,3
835,中旬,3
1269,教堂,3
1895,地块,3
1494,大学,3
844,民居,3
348,核电站,3
1257,设计,3
1256,审批,3
43,水文,3
716,报道,3
357,港口,3
69,山火,3
1244,道路 ,3
1242,集装箱,3
1677,汛情,3
855,水泥,3
818,支撑,3
367,咨询,3
738,钱,3
176,洪灾,3
1173,网 ,3
160,副市长,3
150,政治,3
1118,工程师,3
1129,协会,3
1122,产业,3
291,精神,3
1987,国情,3
409,创作者,3
1385,装修,3
1613,三角,3
1814,桥梁,3
882,目击者,3
771,事情,3
1513,北方,3
1974,信息化部,3
1612,消息 ,3
1485,倾斜,3
296,办事处,3
1965,气旋,3
1964,热带,3
2390,偏差 ,3
1721,重点,3
288,交流,3
1357,话,3
429,部分,3
93,业务,3
813,准备,3
1377,安置,3
2392,流域,3
1367,爆发,3
2133,厌氧罐,2
2195,降水量,2
2197,战地,2
748,挖掘 ,2
2134,重伤员,2
847,望远镜,2
2212,全境,2
2201,系列,2
2226,供应链,2
2130,园区,2
1627,腿,2
2209,上下,2
743,傻子,2
903,地位,2
832,雨水,2
740,前世,2
1637,公路,2
937,水利厅,2
2184,恐袭,2
931,农户,2
2198,6 ,2
817,基层,2
760,同期,2
2119,浪迹,2
763,国祚,2
2155,微博,2
1639,党员,2
778,地表,2
795,权益,2
2157,震感,2
811,行政村,2
797,权属,2
756,分布,2
815,隐患 ,2
810, 街道,2
2140,金服,2
753,常年,2
2115,住宅楼,2
798,网,2
1636,晚,2
883,高度,2
2161,罐体,2
887,夜,2
752,降雨量,2
2149,秩序,2
891,首富,2
2169,河道,2
2220,调研,2
909,整治,2
1693,大道,2
940,建设厅,2
1370,内部,2
1653,长廊,2
1384,安装,2
1387,质量,2
1395,霜冻 ,2
1806,灾情 ,2
1404,雷暴,2
1603,楼房 ,2
1413,裂缝,2
1417,假期,2
1791,团队,2
1422,放假,2
1424,假期 ,2
1439,电网,2
1440,供电局,2
1655,医务,2
1373,爆发 ,2
1358,气象 ,2
944, 局地,2
1834, 危楼,2
1886,人民币,2
1284,南部,2
1291,世贸,2
1298,资料,2
1299,抗,2
1300,试验,2
1871,性能,2
1309,民房,2
1310,机构,2
1312,总理,2
1848,灯柱,2
1841,图,2
1344,沙尘 ,2
1347, 钟,2
1350,战勤,2
1656,报警,2
1770,信息员,2
1666,桥,2
1768,调研组,2
1717, 县,2
1713,背景,2
1682,围栏,2
1529,小轿车,2
1684,女童,2
1530,防总,2
1532,崩塌,2
1534,险情 ,2
1536,现场 ,2
1709,抵抗,2
1708,目标,2
1547,协调,2
1554,总指挥部,2
1556,大佛,2
1559,头,2
1523,交警,2
1509,黄叶,2
1730,北风,2
1671,罐车,2
1762,赈济,2
1464,考古,2
1757,预防,2
1756,统治者,2
1477,公寓,2
1480,失踪,2
1583,威胁,2
1732,沙尘,2
1747,当局,2
1483,工地 ,2
1674,车头,2
1489,伤势,2
1737,通知,2
1735,示范村,2
1272,烈火,2
1266,创始人,2
1265,战略,2
1102,后勤,2
2040,大战,2
1052,死亡,2
1055,幸存者,2
1056,摄  ,2
1643,市民,2
1062,灾难 ,2
1066,发生,2
1075,抗洪,2
1078,机制,2
1080,厅,2
2026,东,2
1084,公众,2
2020, 林草局,2
2019,储备局,2
1095, 人们,2
1642,车站,2
2043,魂魄 ,2
2049, 经,2
2094,仓库,2
945,冷冻 ,2
1623,新闻网,2
951,政策,2
955,分配,2
1641,公交,2
974,因素,2
2092,车间,2
1037,市区,2
2090,砂,2
2085,构件,2
2084,油漆钢,2
1001,美元,2
1026,举报,2
1031,经商,2
2013,农村部 ,2
1108,计划,2
1259,材料,2
2004,储备 ,2
1190,危机,2
1191,冠肺炎,2
1949,数据 ,2
1947,地图,2
1944,倒塌  ,2
1939,巨响 ,2
1205,统筹,2
1932,规律,2
1223,报灾,2
1924,宾馆,2
1225,解决,2
1611,伤,2
1231,路,2
1238,人生,2
1247,影响 ,2
1180,议题,2
1176, 水,2
1168, 诸,2
1983, 影片,2
1113, 区,2
1120,幼苗,2
1999, 地震,2
1984,陈数,2
1140,海军,2
1141,军官,2
1982,剧照,2
1160,创新,2
1981,杀青,2
1980,深度 ,2
1146,科普,2
1149,知识,2
1152,公安局,2
1154,世纪,2
0,转移,2
1632,司机,2
737,儿子,2
449,智能,2
2311,回族区,2
2312,西南角,2
2313,工程局,2
631,古树,2
2314,片区,2
2315,B,2
626,自家,2
625,小孩,2
177,发生 ,2
181,卫生院,2
450,控制,2
335,所 ,2
614,画,2
452,专员,2
613,怀,2
2318,西面,2
608,立场 ,2
603,小窗X ,2
453,丛林,2
2391, 气象,2
457,山地,2
600,奶奶,2
635,身边,2
168,保护站,2
446,责任人,2
158,副省长,2
111,危险,2
2461,纲要,2
418,密室,2
115,用地,2
2462,评审会,2
428,大队,2
126,检查组,2
656,自媒体 ,2
129,检查,2
2298,地基土,2
137,枢纽 ,2
144,运行,2
2405,教育部,2
2303,基底,2
433,墙体,2
647,反馈,2
645,本文,2
2397,雪灾,2
273,类型,2
637,广播,2
2396,农村部,2
597, 古树,2
2323,楼层,2
458,研究所,2
245,动员 ,2
247,保安,2
2487,专班 ,2
2348,农作物,2
536,春播,2
534,生长,2
252,大风 ,2
253,冰雹,2
2361,民众,2
257,可能,2
2360,停电,2
2497,距离,2
514,文章 ,2
532,播种,2
264,火险,2
531,作物,2
283,保险,2
280,一行,2
529,降温,2
265,等级,2
275,致灾,2
2352,国力,2
246,死守 ,2
297,宣传部,2
201,监测司,2
239,工作会,2
459,野外,2
209,爆炸 ,2
580,船坞,2
315,地址,2
578,断裂,2
468,城郊,2
2385,思维 ,2
571,大树,2
312,朋友,2
471, 行人,2
2384,底线,2
568,建筑 ,2
311,好友,2
2380,新房,2
310,二维码,2
564,房屋 ,2
563,家庭,2
560,点,2
228,主题,2
231,宣传,2
542,广告,2
661, 人,2
523,棉花,2
720,百货店,2
379,企业,2
373,混凝土,2
672,周围,2
2271,部,2
2446,综,2
2272,部长,2
23,开展,2
350,共和国,2
2438,全民,2
692,岗位,2
715,新闻 ,2
77,暴风雪,2
2284,塌陷,2
678,机会,2
727,视频 ,2
691,酒厂,2
690,巨人 ,2
25, 一,2
385,腾讯,2
710,小车,2
718,人数,2
2445,数据库,2
2433,圆环,2
395,浏览器,2
2564,会战 ,2
2429,汛情 ,2
343,下面,2
40,技术组,2
81,沙尘暴,2
22,关系,2
2251,提案,2
12,力量,2
6,风险 ,2
708,雨,2
51,监测站,2
7,危险区,2
407,体育,2
45,江段,2
54,观测,2
2263, 震级,2
2247,防控,2
356,震中,2
406,  04 ,2
383,路边,2
34,汇报 ,2
714,受损 ,2
2249,政协,2
2270,震级,2
2248,治理,2
2268, S ,2
2269, W ,2
363,滑坡 ,2
666,树木,2
1833,交谈 ,1
2478, 主动性,1
1832,沟通,1
2484,主管,1
2483,分管,1
2481,使命感,1
2480,责任感,1
1837,本体,1
1907,建筑师,1
1840,居住,1
1836,定义,1
2479,创造性 ,1
1839,承载,1
2477,典型 ,1
1838,稳定性,1
1909,设计 ,1
1908, 酒店,1
1880,操作,1
1831,女士,1
1816,旱 水 虫 雹,1
1911,用途,1
1815,管线,1
1912,改建,1
2490,千家万户 ,1
2442,放大镜,1
2491,心灵 ,1
1914,证据,1
1813,麻烦 ,1
2492,大灾,1
1812, 地,1
1811,特征,1
1915,固定 ,1
2493,相聚会,1
1810,词,1
1809,地裂缝,1
1808, 县长,1
1807,融,1
2443,元素 ,1
1817, 风 疫 ,1
1830,住户,1
2489,温暖,1
1829,住建局,1
1828,危险 ,1
1827,群发期,1
1826,群发期 ,1
2485,科室,1
1825,多发 ,1
2486,副主任,1
1824,学术界,1
2444,要素调,1
1823,最  ,1
1910,建造,1
1822,旱灾,1
1821,水灾,1
1820,灾 ,1
2488,决断 ,1
1819,冰冻 ,1
1818,饥 ,1
1906,教师,1
2473,一路,1
2476,大会,1
1890,环节,1
1867,深水区,1
1885, 约,1
2454,救济会,1
1887,非战时,1
1888,逃生者,1
1866,引导 ,1
2464,五,1
1889,老板,1
1891,海区,1
2475,表彰,1
1892,骆驼,1
2465, 省自,1
2466,噩耗,1
2467, 疫情,1
1865,堵点 ,1
1864,交道 ,1
1863,水中,1
1862, 市区,1
1884,营业,1
2463,副厅长,1
1868,路面,1
1869,大水,1
1878,过度,1
1877,升降,1
2456,次数,1
1876, 碰撞 ,1
1875,拉结差 ,1
1874,起重机,1
2457,纪录 ,1
1881,松弛 ,1
1873,装置,1
1872,强度,1
2458,理赔,1
2459,长,1
2460, 十四五 ,1
2455,飓风,1
1882,质量 ,1
1883,安全管,1
1870,起重,1
1861,积水,1
2468,本土,1
1858,赔偿,1
2470,东北部,1
2448, 地震 ,1
1850,黑 ,1
1849,1 7,1
2471,暴风雪 ,1
1847,空地,1
2447,特征 ,1
1846,弄,1
1902,高工,1
1845,制造局,1
2472,袭击,1
1879,违章,1
2474,东南部,1
1843,机动车,1
1842,楼下,1
1903,级别,1
1904,理工,1
1905,学院,1
2449,信息化,1
1901,本职,1
1857,工伤,1
1900,检测,1
1856,事务局,1
2453,基督教,1
1893,南侧,1
1894,西侧,1
1855,劳工,1
2452,团体,1
2451,公益,1
2469, 令,1
1854,特区,1
1853,棚架,1
1896,拆除,1
1852,足球 ,1
2450,部 ,1
1897,方针 ,1
1898,体力 ,1
1899,心态,1
1851,形象,1
1860,市内,1
1777,农村局,1
1805,畅通,1
1702,收藏 ,1
1701,幸福,1
1700, 事发地,1
2543,职责 ,1
1699,路口,1
1698,伤者,1
1697, 钢筋笼,1
2544,海河,1
1696,吊装,1
2545, 水务 ,1
1695,钢筋笼,1
1694,履带吊,1
2546,防范 ,1
2547, 这,1
2548,管理室,1
1691, 农作物,1
1690, 262 ,1
2549,主任 ,1
1688, 南方,1
1687,女儿,1
1686,商户,1
1685,外围栏处 ,1
2542,总结 ,1
1703,跟踪  ,1
1804,联络,1
1704, 消防 ,1
1723,天气网,1
1722,喻名团,1
2534,房山,1
1720,时报,1
1719,制定 ,1
1718,尺度,1
2535, 普查,1
2536,介绍 ,1
1716,思路 ,1
