,名词,词频
13, ,1058
5,灾害,711
403,地震,398
73,  ,288
27,自然,267
4,地质,228
15,工作,188
270,地震 ,117
429,震源,104
430,深度,102
88,气象,100
28,风险,94
67,人,91
237,防治,85
398,记者,85
512,地震台网,80
44,部门,78
202,国家,77
63,预警,63
24,情况,61
92,市,61
76,地区,60
196,省,58
320,时间,58
29,普查,57
26,国,55
8,人员,54
167,监测,54
91,会议,54
108,减灾,53
226,全国,51
186,防御,45
467,震感,45
759,震中,45
440,我国,44
178,政府,43
383,电,41
468,网友,41
672,损失,40
86,中心,40
236,山洪,40
567,管理部,39
643,天气,39
149,汛期,39
20,应急,39
963,消息,39
42,地,37
633,国务院,36
162,资源,35
303,影响,34
886,洪涝,34
340,社会,33
85,气象局,33
200,资源部,32
171,县,32
286,管理,31
97,气候,31
817,经济,31
130,人民,31
243,级,31
134,安全,31
107,防灾,30
415,救灾,30
758,附近,29
11,救援,29
371,   ,29
223,技术,28
87,环境,28
1113,当地,28
1267, 震,27
718,降雨,27
632,中央,27
388,国土,26
49,视频,26
232,办公室,26
64,信息,25
382,新闻,25
199,能力,25
402,地震局,25
441,房屋,24
677,伤亡,24
269,范围,24
138,防汛,24
60,发展,24
234,单位,24
173,防范,23
255,森林,23
248,负责人,23
1042,台风,22
105,建设,22
131,群众,22
183,演练,22
825,会商,22
431,地震台,22
230,基础,22
1898,海域,22
1208,程度,22
427,台网,21
65,灾难,21
596,农业,21
185,水旱,21
369,预案,21
455,世界,20
84,管理局,20
839,结果,20
197,海洋,20
205,事件,20
132,生命,19
210,城市,19
116,保障,19
46,区域,19
573,现场,19
1485,海啸,18
1589,分析,18
626,生产,18
752,媒体,18
715,公司,18
112,隐患点,18
372,其中,17
256,火灾,17
622,体系,17
711,工程,17
145,工作 ,17
746,人类,17
189,抗旱,17
347,暴雨,17
98,形势,17
927,震级,17
153,领导,17
683,来源,16
374,过程,16
154,责任,16
1520,报告,16
473,系统,16
271,水,16
932,北纬,16
527,官方,16
373,降水,16
376,交通,16
536,生活,16
830,灾,16
1140,速报,16
35,问题,16
2007,实验室,16
224,委员会,15
217,调查,15
397,讯,15
135,水利,15
62,预报,15
1063,评估,15
1131,社区,14
281,设施,14
2630,救助,14
36,部署,14
873,泥石流,14
829,滑坡,14
1685,水利部,14
30,试点,14
1251,干旱,14
106,活动,14
101,规划,14
328,事故,14
332,方面,13
1391,周边,13
685,作者,13
290,电话,13
188,隐患,13
10,人 ,13
83,资源局,13
1635,之一,13
175,通讯员,13
354,区,13
461,受灾,13
276,人口,13
407,服务,13
1996,总书记,13
345,历史,13
1089,洪水,12
277,指挥部,12
1587,灾情,12
338,数据,12
1159,消防,12
133,财产,12
495,人们,12
1689, 气象局,12
169,专家,12
350,地方,12
625,通知,11
510,强度,11
920,受灾 ,11
968,家,11
390,生态,11
976,居民,11
1684,运输部,11
447,大地震,11
244,精神 ,11
249,季度,11
71,火山,11
79,草原,11
1147,发布会,11
411,措施,11
180,小组,11
289,电视,11
357,重点,11
1249, 泥石流,11
1448,面积,10
681,文,10
1248,期间,10
445,伤亡 ,10
1648,冷冻,10
525,发布,10
863,因素,10
272,旱,10
690,文章,10
1216,山体,10
755,研究,10
887,治理,10
2064,机制,10
428, 东经,10
118,城乡,10
1830,周年,10
