,名词,词频
21, ,881
84,灾害,707
31,自然,245
13,山体,221
83,地质,209
91,  ,186
90,工作,181
101,人,171
36,滑坡,154
94,气象,111
33,部门,93
132,风险,93
196,防治,92
202,会议,78
2,记者,74
133,防御,74
111,情况,66
155,国家,65
14,滑坡 ,65
147,省,64
182,全国,56
66,地震,54
371,暴雨,54
1066,管理部,53
334,天气,53
388,市,53
195,山洪,52
231,普查,52
466,救援,51
16,降雨,51
333,泥石流,49
420,人员,48
145,汛期,48
136,安全,47
81,降水,44
177,国,42
837,应急,42
4,交通,41
24,现场,41
153,预警,41
59,减灾,39
23,政府,39
20,当地,39
501,城乡,37
99,房屋,37
74, 山体,37
114,中心,37
337,时间,37
351,地区,36
152,资源部,36
647,气象局,36
391,洪涝,36
262,人民,36
743,救灾,36
183,防灾,35
1898,国务院,35
474,群众,32
706,会商,32
203,县,31
159,演练,31
131,水旱,31
135,防汛,31
254,管理,30
479,损失,29
902,我国,29
80,防范,28
151,能力,28
398,台风,28
432,路段,28
798,中央,28
148,海洋,28
211,负责人,27
193,单位,27
17,影响,27
15,道路,26
192,地,26
481,电,26
32,资源,26
238,水,26
485,事故,26
224,监测,26
379,区域,24
115,抢险,24
179,技术,24
297,领导,24
190,办公室,24
540,信息,23
579,系统,23
105,其中,23
465,消防,22
393,洪水,22
1156,灾情,22
343,气候,22
210,管理局,21
300,消息,21
760,视频,21
921,社会,21
218,森林,21
700,灾难,21
227,大风,20
1,新闻,20
475,生命,20
1211,程度,19
909,预案,19
476,财产,19
212,季度,19
26,公路,19
1047,评估,18
37,事件,18
623,专家,18
137,隐患,17
456,活动,16
209,资源局,16
244,指挥部,16
662,隐患点,16
2019,总书记,16
165,城市,16
853,保障,16
57,工程,16
260,精神,16
180,委员会,16
49,   ,16
708,分析,16
478,经济,16
549, 山,15
531,气象台,15
248,水利,15
156,环境,15
776,农业,15
610,公司,15
138,抗旱,15
272,水库,15
187,发展,15
419,附近,14
503,公众,14
134,水利局,14
571,期间,14
279,居民,14
396, 泥石流,14
395,内涝,14
675, 市,14
637,积涝,14
502,灾害 ,14
1718,冷冻,14
310,问题,13
745,队伍,13
1754,水利部,13
678,区,13
219,火灾,13
328,广告牌,13
52,方案,13
585,车辆,13
95,服务,13
1169,局部,13
22,险情,13
793,核定 ,13
1248,干旱,12
1016,责任,12
280,生活,12
35,措施,12
1265,全球,12
259,电话,12
1075,通讯员,12
249,设施,12
289,集团,12
228,天气 ,12
703,部署,12
1456,救助,12
1213,生产,12
620,城区,12
157,预报,12
112,建设,12
1164,高速,12
2015,雪灾,12
505,地方,11
698,世界,11
225,预警 ,11
460,列车,11
346,热带,11
480,村民,11
692,核,11
341,人数,11
338,媒体,11
11,境内,11
955,讯,11
1183,倒塌 ,11
740,同志,11
839,草原,11
205,精神 ,10
1255,南方,10
223,工作 ,10
733,成员,10
659,力量,10
199,县委,10
329,树木,10
1717,低温,10
1915,体系,10
1125,方面,10
1120,国土,10
1924,试点,10
851,小组,10
347,气旋,10
349,失踪 ,10
490,面积,10
1171,隧道,10
887,培训,10
477,安全 ,10
901,受灾 ,10
1840,岔沟组,10
1031,统计,10
1006,规划,10
644,项目,10
835,形势,10
239,旱,10
1944,副部长,10
748,组织,10
769,人类,10
294,死亡 ,10
172,调查,10
1432,土壤,10
596,洪 ,10
592,过程,10
1192,消防员,10
787,管理厅,10
325,厂房,10
797,灾,10
326,工棚,10
242,人口,9
293, 滑坡,9
302,日报,9
327,构筑物,9
482,山区,9
2054,共和国,9
495,救援 ,9
554,河流,9
514,意见,9
307,声明,9
1538,指示,9
489,北部,9
834,减灾委,9
142,汛,9
1242,大雨,9
800,资金,9
1880,研究,9
744,意识,9
908,总体,9
1914,防控,9
856,信息员,9
886,物资,9
1091,通知,9
234,任务,9
720,普查办,9
236,范围,9
1369,作用,8
335,变化,8
2167,办公厅,8
828,指挥,8
119,内容,8
933,粮食,8
106,段,8
12,方向,8
237,地震 ,8
788,资源厅,8
732, 水利部,8
2432,条例,8
1217,气温,8
472,生态,8
298,伤亡,8
1433,含水量,8
311,网站,8
1430,龙舟,8
150,处置,8
291,社区,8
92,编辑,8
469,治理,8
1513,响应,8
377,崩塌,8
680,排查,8
1258,人 ,8
2336,农村部,8
251,保险,8
364,暴雨 ,8
1054,专题,8
2062, 经,8
1515,雷电,8
258,电视,8
305,抗灾署,8
537,降雨量,8
1503,区划,8
1742, 风雹 ,8
266,街道,8
452,铁路,8
2333,党,8
204,级,8
1109,常年,7
883,培训班,7
884,目的,7
1439,塌方,7
110,报告,7
1506,之一,7
1167,官方,7
785,指导,7
1659,雷雨,7
1138,路面,7
1470, 自然,7
1679,部长,7
876,责任人,7
636,重点,7
423,主管,7
712,数据,7
1714,工业,7
9,国道,7
1708,海啸,7
257,党组,7
276,县城,7
621,煤矿,7
2009,方量,7
759,行动,7
742,干部,7
1046,办法,6
711,研判,6
2423,财经,6
79,支撑,6
930,时候,6
256,交流,6
2481,批示,6
2238,水位,6
651,预测,6
160,现象,6
1275,家,6
500,作业,6
690,方式,6
1099,时刻,6
243,副局长,6
491,民房,6
233,会 ,6
1649,大道,6
1107,南,6
268,主任,6
2395,改革,6
1257,灾害点,6
1000,平台,6
1545,泄漏,6
1655,流域,6
1113,武警,6
852,灾区,6
2291,泥浆,6
1719,雪灾 ,6
613,客运,6
309,版权,6
1410,威胁,6
1195,坍塌,6
1764,总会 ,6
144,年度,6
758,整治,6
1759, 气象局,6
747,乡,6
1753,运输部,6
397,准备,6
1752,建设部,6
629,文,6
791,住房,6
808,结果,6
1715,信息化部,6
