,名词,词频
15, ,645
123,灾害,473
146,自然,201
3,  ,175
0,干旱,165
192,地质,148
126,工作,123
235,气象,117
124,风险,94
349,地区,74
371,记者,69
357,市,67
140,省,66
228,普查,57
193,防治,53
202,部门,53
200,县,48
42,人,44
713,气候,41
173,国,41
199,会议,40
150,国家,40
12,天气,39
389,气象局,39
296,情况,37
148,预警,36
34,地,35
261,政府,35
138,汛期,32
546,应急,32
274,影响,32
129,安全,29
379,地震,29
667,农业,28
180,减灾,28
947,洪涝,28
178,全国,28
28,干旱 ,27
569,群众,26
70,中心,26
260,人民,25
179,防灾,25
636,管理部,24
486,程度,24
145,能力,24
154,演练,24
24,当地,24
400,人员,24
128,防汛,24
125,防御,24
141,海洋,23
253,管理,23
221,监测,23
517,救灾,23
420,系统,23
323,区,23
380,信息,23
19,消息,23
779,降雨,22
216,森林,22
370,讯,22
341,   ,22
78,时间,22
316,暴雨,21
358,资源,21
175,技术,21
36,水位,21
189,单位,20
351,电,20
987,粮食,20
35,水库,20
342,降水,20
352,通讯员,20
740,损失,19
209,负责人,19
532,隐患点,19
43,水,19
830,会商,18
882,经济,18
191,山洪,18
694,生产,17
1,形势,17
1005,旱情,17
567,工程,17
37,其中,17
130,隐患,16
83,视频,16
207,资源局,16
187,办公室,16
93,草原,15
701,中央,15
208,管理局,15
309,社会,15
1027,全球,15
363,生态,15
118,台风,15
995,高温,15
1287,南方,15
522,生活,15
1257,社区,15
456,活动,14
708,常年,14
299,事故,14
396,乡镇,14
384,服务,14
16,气温,14
151,环境,14
143,防范,14
131,抗旱,14
220,工作 ,14
1048,我国,14
393,部署,13
428,西北,13
1114,评估,13
109,数据,13
599,组织,13
225,天气 ,13
122,水旱,13
689,项目,13
242,指挥部,13
520,生命,13
1035,气象报,13
184,发展,13
984,洪水,13
127,水利局,13
682,方案,12
156,事件,12
362,规划,12
651, 市,12
825,灾难,12
455,灾情,12
823,世界,12
246,水利,12
18,新闻,12
210,季度,11
1170,面积,11
390,措施,11
217,火灾,11
1147,降水量,11
161,城市,11
1139,房屋,11
2113,总书记,11
702,国务院,11
510,干部,10
185,基础,10
543,抢险,10
203,精神 ,10
453,山体,10
394,专题,10
147,资源部,10
236,旱,10
252,建设,10
690,领导,10
871,人类,10
477,公司,10
247,设施,10
998,西南,10
69,研究,10
1463,居民,10
996,区域,9
620,媒体,9
549,成员,9
951,气象台,9
416,研究所,9
233,范围,9
570,财产,9
559,通知,9
657,队伍,9
672,专家,9
597,电影,9
696,条件,9
176,委员会,9
1818,大部,9
894,滑坡,9
5,东部,9
77,问题,9
939,信息员,9
817,核,9
920,因素,9
886,水利厅,9
889,城乡,9
1905,码头,9
1389,北方,9
1348,西部,8
835,研判,8
152,预报,8
598,培训,8
222,预警 ,8
314,历史,8
1036,自治区,8
338,预案,8
343,过程,8
627,普查办,8
644,现场,8
168,调查,8
241,副局长,8
68,大学,8
328,方式,8
345,交通,8
267,主任,8
75,方面,8
832,分析,8
1485,热带,7
1079,土壤,7
645,同志,7
639,救援,7
238,内容,7
895,灾,7
419,之一,7
303,投资,7
635, 区,7
997,南部,7
135,汛,7
319,地方,7
1084,变化,7
1158, 风雹 ,7
437,南,7
271,低温,7
1067,月,7
2104,试点,7
1159,期,7
541,应急局,7
421,科学,7
1996,实验室,7
1486,气旋,7
1183,来源 ,7
854,治理,7
1194,响应,7
196,县委,7
339,编制,7
934,小组,7
395,培训会,7
1097,总体,7
29,年间,7
1099,大旱,7
574,指挥,7
1047,网站,7
1066,旱灾,6
257,电话,6
534,排查,6
304,手机,6
1024,研究员,6
454, 泥石流,6
509,村,6
605,意识,6
1001,报,6
554,资源厅,6
999,旱区,6
1819,东南部,6
273,农作物,6
444,灾害 ,6
263,镇,6
495,关注,6
265,街道,6
514,辖区,6
1712,年景,6
255,党组,6
1763,工业,6
1359,流域,6
186,宣传,6
182,主题,6
749,目的,6
766,准备,6
1046,气象网,6
369,时刻,6
827,期间,6
1053,雪灾 ,6
144,处置,6
137,年度,6
921,减灾委,6
62,文化,6
119,雨水,6
1381,成果,6
72,当局,6
745,人们,6
717,原因,6
23,雨,6
245,一行,6
640,调研,6
240,人口,6
641,调研组,6
2,预测,6
234,地震 ,6
404,责任人,6
714,同期,6
1237,北部,6
90,交流,6
985,蝗灾,6
452,降雨 ,6
1204, 市 ,6
707,降雨量,6
698,保障,6
368,红网,5
1360,水域,5
366,保护,5
441,统计,5
374,检查,5
361,空间,5
1438,雨雪,5
1307,家,5
359,开发,5
1765,冷冻,5
900,页 ,5
1289,灾害点,5
863,行动,5
1160,死亡,5
750,来源,5
781,趋势,5
782,研判 ,5
791,力量,5
806,发生 ,5
857,乡,5
862,整治,5
923,领域,5
1953,受灾 ,5
965,物资,5
878,降水 ,5
885,管理厅,5
1072,危机,5
1481,废水,5
888,住房,5
904,结果,5
892, 局地,5
896,补助,5
897,资金,5
1426,普查 ,5
728,设备,5
461,地灾,5
898,使用,5
469,泥石流,5
501,图片,5
1023,动物,5
2202,公路,5
1279,监测 ,5
625,区划,5
634,  一,5
638,处长,5
647,规划局,5
1238,地面,5
974,总量,5
673,教授,5
1233,市政府,5
988,供应,5
684,责任,5
691,业务,5
986,疫情,5
980,饮水,5
979,蓄水,5
977,来水,5
648,知识,5
1598,民族,5
155,现象,5
197,副书记,5
224,大风,5
117,中部,5
227,等级,5
50,作者,5
201,级,5
326,重点,5
281,作物,5
237,类型,5
30,墓碑,5
1496,规模,4
1006,州,4
1671,单位 ,4
978, 库塘,4
551,会议 ,4
976,河道,4
99,模式,4
990,农民,4
542,客户端,4
571,安全 ,4
1673,死亡 ,4
981,困难 ,4
593,安排,4
1073,发生,4
1558,指示,4
445,切坡,4
1951,咖啡,4
1080,水分,4
2242,失踪 ,4
462,危害,4
463,火山,4
1065,土地,4
2214,冰冻,4
1051,雪灾,4
292,公众,4
488,玉米,4
491,生长,4
499,信息 ,4
504,平台,4
288,企业,4
572,制度,4
1474,救助,4
102, x ,4
21,大雨,4
790,经验,4
188,通知 ,4
14,空气,4
730,专业,4
814,资料,4
1713,偏差,4
1753,抗灾署,4
2063,中下游,4
710,分布,4
839,人民币,4
704,部署 ,4
703,决策,4
700,党,4
699,实施,4
9,东北,4
262,副县长,4
215,洪涝 ,4
855,要求,4
153,预警报,4
666,标题,4
891,核定 ,4
655,市委,4
230,会 ,4
231,任务,4
906,避险,4
249,保险,4
256,电视,4
436,北,4
619,广播,4
1476,作用,4
2297,河流,4
172,标准,4
355,栏目,4
410,专员,4
1891,柑桔,4
1908,管理处,4
377,常委,4
378,地震局,4
2266,信息网,4
405,水务局,4
1216,阶段,4
332,隐患 ,4
409,研究院,4
1567,赈灾,4
1285,书记,3
1166,客户,3
1283,电网,3
1209,山区,3
214,冰雹,3
845,评审会,3
1912,码头 ,3
561,局,3
692,瑶族,3
695,经营,3
563,支撑,3
556,副厅长,3
982,抗旱 ,3
213,大风 ,3
89,热点,3
308,研究 ,3
334,清单 ,3
842,师范,3
360,国土,3
1981,干旱区,3
1175,收成,3
1515, 级,3
46,水面,3
1011,冠肺炎,3
1010,观光,3
1358,发布,3
1008,供水,3
1357,状态,3
1321,机场,3
365, 耕地,3
537,威胁,3
1171, 气象,3
84,岸,3
1820,中度,3
272,小麦,3
1866,指数,3
1910,距离,3
398,站点,3
376,抗灾,3
613,洪,3
1304,地球,3
617,市场,3
1870,共和国,3
258,精神,3
1201,财政,3
893,冷冻 ,3
1473,准确性,3
1155,附近,3
1310,化肥 ,3
924,灭火,3
631,责任 ,3
8,强度,3
51,文章,3
387, 一,3
646,监测员,3
1794,运输部,3
883,指导,3
604,防汛 ,3
1520,水文,3
1906,警戒线,3
1764,信息化部,3
2317,倒塌 ,3
575,调度,3
1491, 自然,3
970,水平,3
1165,晚报,3
580,金砖,3
581,工作组,3
584,代表,3
964,培训班,3
1997,树木,3
590,检查组,3
149,监测司,3
1578,报送,3
2319,受灾,3
1162,人数,3
874,者,3
285,劳动者,3
364,修复,3
518,家庭,3
1078,地图,3
1745,专项,3
354,时 ,3
1125,警戒,3
1242,农村,3
468,洪 ,3
738,会商会,3
1246,破坏 ,3
1247,记录,3
733,地表,3
1058,发改委,3
1423,国情,3
480, OPPO,3
1251,道路,3
1747,供电,3
2080,特征 ,3
1077,地下,3
1122,背景,3
2078,市民,3
183,筑牢,3
171,行业,3
2117,自然灾,3
1116,教育部,3
757,工程 ,3
1221,安置,3
443,伤亡,3
1854,电力,3
1928,意义,3
787,往年,3
57,先生,3
353,电视台,3
