,名词,词频
13, ,931
5,灾害,519
415,战争,400
73,  ,242
27,自然,189
4,地质,176
15,工作,111
26,国,95
67,人,91
28,风险,90
202,国家,89
88,气象,89
130,人民,78
627,世界,60
44,部门,58
237,防治,56
76,地区,54
398,记者,50
459,战役,49
24,情况,49
196,省,47
178,政府,47
345,历史,44
494,美军,43
29,普查,41
92,市,41
91,会议,39
226,全国,36
511,战争 ,34
63,预警,32
20,应急,31
963,洪涝,31
320,时间,30
149,汛期,29
652,战,29
134,安全,29
108,减灾,29
186,防御,28
340,社会,27
705,中央,27
97,气候,27
1883,管理部,27
131,群众,27
132,生命,27
372,其中,27
862,损失,26
8,人员,26
631,军事,26
171,县,25
887,我国,25
200,资源部,25
85,气象局,24
138,防汛,24
234,单位,24
801,会商,24
939,天气,24
371,   ,23
286,管理,23
455,志愿军,23
107,防灾,23
60,发展,23
649,经济,22
347,暴雨,22
65,灾难,22
197,海洋,21
236,山洪,21
560,工程,21
472,军,21
119,规模,21
153,领导,21
707,军队,20
388,国土,20
452,胜利,20
199,能力,20
232,办公室,20
1302,降雨,20
537,救灾,19
1082,海湾,19
2251,国务院,19
224,委员会,19
223,技术,19
86,中心,19
162,资源,19
64,信息,19
255,森林,18
697,战场,18
757,期间,18
1289,农业,18
183,演练,18
1291,程度,18
701,作战,18
332,方面,17
1568,救助,17
205,事件,17
66,时候,17
150,政治,17
422,生产,17
1341,干旱,17
761,项目,17
503,解放,17
106,活动,17
630,全球,16
112,隐患点,16
133,财产,16
2211,抗日,16
98,形势,16
798,台风,16
12,力量,16
383,电,16
248,负责人,15
42,地,15
36,部署,15
185,水旱,15
808,公司,15
369,预案,15
638,人类,15
83,资源局,15
403,地震,15
187,水利局,14
435,战略,14
807,消息,14
373,降水,14
599,当地,14
328,事故,14
167,监测,14
303,影响,14
173,防范,14
516,生活,14
35,问题,14
30,试点,14
169,专家,13
99,变化,13
46,区域,13
382,新闻,13
145,工作 ,13
350,地方,13
269,范围,13
632,总统,13
87,环境,13
635,时期,13
152,组织,13
75,北部,12
937,减灾委,12
331,国内,12
249,季度,12
1185,评估,12
22,关系,12
1736,人们,12
2,抢险,12
447,武器,12
820,方案,12
619,国际,12
256,火灾,12
2275,总书记,11
217,调查,11
633,周年,11
118,城乡,11
2740,条例,11
803,分析,11
480,现场,11
354,区,11
678,时代,11
1022,粮食,11
2098,研究,11
411,措施,11
2132,游戏,11
1175,之一,11
1639,日军,11
1928, 气象局,10
2476,煤矿,10
861,兵力,10
489,实力,10
165,成员,10
135,水利,10
1105,共和国,10
589,文化,10
448,装备,10
998,洪水,10
716,边境,10
376,交通,10
1087,民族,10
105,建设,10
397,讯,9
1794,办法,9
505,阶段,9
188,隐患,9
1301,山体,9
79,草原,9
498,士兵,9
741,抗战,9
634,局势,9
1922,运输部,9
257,可能,9
894,媒体,9
539,系统,9
704,党,9
585,电影,9
1213,南,9
966,滑坡,9
175,通讯员,9
817,大学,9
116,保障,9
180,小组,9
1080,死亡,9
2414,雪灾,8
267,任务,8
982,目的,8
2727,铁路,8
263,天气 ,8
338,数据,8
289,电视,8
2372,侵略,8
450,战斗,8
281,设施,8
274,内容,8
962,行动,8
469,敌人,8
407,服务,8
2408,区划,8
323,利益,8
1920,建设部,8
1564,灾情,8
835,治理,8
686,和平,8
172,汛,8
1887,核定 ,8
2104,报告,8
2055,行政,8
538,体系,8
2996, 地震局,8
695,反击战,8
912,海军,8
1112,革命,8
510,意义,8
1935,集团,8
1933,总会 ,8
62,预报,8
628,大战,8
1876,房屋,8
1081,人数,8
210,城市,8
2735,军委,8
499,人民军,8
836,要求,8
414,思想,7
1310,社区,7
2417,失踪 ,7
2506,受灾 ,7
859,伤亡,7
357,重点,7
359,方式,7
868,抗美援朝,7
1941,灾害 ,7
1548,总体,7
694,自卫,7
84,管理局,7
2995, 农业部,7
1101,世纪,7
290,电话,7
291,精神,7
714,目标,7
374,过程,7
643,作用,7
893,战 ,7
755,结果,7
1400,住房,7
789,文章,7
1483,面积,7
333,投资,7
1408,心理,7
556,支撑,7
1023, 人们,7
244,精神 ,7
453,古代,7
164,党组,7
587,乡镇,7
11,救援,7
1158,系列,7
2746,岸,7
1422,状态,7
1114,准备,7
721,和平 ,7
1144,导弹,7
1013,意见,7
2330,武器 ,7
806,研判,6
833,同志,6
334,手机,6
1012,指导,6
1833,竞争,6
1888,冷冻,6
838,干部,6
344,袭击,6
762,经验,6
1415,西部,6
1589,美方,6
1940,东,6
396,时刻,6
950,泥石流,6
2282,工作部,6
2245,实验室,6
479,冲突 ,6
1426,限度,6
527,排查,6
552,通知,6
924,数量,6
2208,背景,6
562,安全 ,6
573,代表,6
586,培训,6
2140,人权,6
440,战术,6
895,空军,6
2071,降水量,6
1350,灾害点,6
1555,居民,6
2063,专题,6
412,后 ,6
953,个人,6
1349,统计,6
2050,办公厅,6
673,水师,6
1983,态度,6
1599,航母,6
408,事项,6
276,人口,6
2689,播客,6
1036,计划,6
129,检查,6
68, 自然,6
177,发生 ,6
3003,计生委,6
1196,鸦片,6
273,类型,6
1165,部队,6
1043, 区,6
10,人 ,6
101,规划,6
277,指挥部,6
14,处置,6
166,副局长,6
240,县委,6
1298,降雨 ,6
49,视频,6
1208,平台,6
230,基础,6
283,保险,6
1296,气温,6
322,公众,6
413,条件,5
262,大风,5
141,制度,5
1884,工业,5
1236,舰队,5
147,职责,5
270,地震 ,5
271,水,5
940,领域,5
621,主席,5
896,小时,5
826, 水利部,5
1627,中国人,5
1347,南方,5
2434, 灾害,5
2435,广播,5
988,灾,5
194,年度,5
126,检查组,5
1885,信息化部,5
445,机会,5
1141,演习,5
241,副书记,5
1394,山区,5
1823,原因,5
2065,大 ,5
1889,雪灾 ,5
102,编制,5
1,避险,5
1641,事变,5
2068,自然灾,5
220,行业,5
790,核,5
984,物资,5
122,市委,5
254,洪涝 ,5
975,责任人,5
2733, 统计局,5
123,书记,5
1791,发生,5
1367,家,5
863,红军,5
1138,冲突,5
506,防御 ,5
1356,讲话,5
725,改革,5
1958,雕塑,5
179,镇,5
74,月,5
756,代价,5
1514,土地,5
1093,西方,5
594,意识,5
154,责任,5
1659,烈士,5
3006,总公司,5
551,总指挥部,5
1170,观点,5
1019,声明 ,5
342,表现,5
300,低温,5
1009,网站,5
1930,保监会,5
565,科技,5
1474,东部,5
1280,市政府,5
698,我军,5
2992,海洋局,5
1339, 泥石流,5
1520,批示,5
615,行为,5
612,趋势,5
1911, 风雹 ,5
1632,斗争,5
536,客户端,5
3002, 卫生,5
89,会,5
189,抗旱,5
1865,年代,4
564,指挥,4
233,通知 ,4
1507,土壤,4
2195,岸基,4
1646,猪,4
570,工作组,4
782,村,4
1652,纪念馆,4
954,信息员,4
1869,抗灾署,4
2067,分布,4
2723, 经,4
2276,指示,4
581,安排,4
486,规定,4
1411,人士,4
837,机制,4
121,农民,4
1071,医院,4
1837,美国人,4
1519,普查 ,4
613,可能性,4
535,应急局,4
1173,主力,4
900,旗号,4
2234,导演,4
144,运行,4
2121,帝国主义,4
1482,危害,4
2215,研究者,4
1423,崩塌,4
2900,主管,4
1850,援朝,4
1187,部长,4
765,专业,4
1545,部分,4
2893,气象报,4
554,局,4
2258, 气象,4
176,洪灾,4
1489,来源,4
1421,防总,4
473,战士,4
456,炮弹,4
104,开发,4
2498,西北,4
1095,反击,4
1787,领导人,4
1094,路,4
2510,重建,4
419,因素,4
2557, 地震 ,4
2505, 市 ,4
272,旱,4
93,业务,4
991,水平,4
1126,油井,4
992,水库,4
2662,神庙,4
2337,守军,4
429,战地,4
824,方,4
390,生态,4
2444,信息网,4
363,隐患 ,4
997,城区,4
385,时 ,4
1942,伤亡 ,4
2635,运河,4
2463,公路,4
2466,种类,4
2496,农村部,4
1936,死亡 ,4
295,街道,4
1317,局部,4
1925,卫生,4
2589,军 ,4
2517,畜禽,4
813,人民币,4
1214,北,4
243,级,4
1919, 住房,4
1607,海战,4
1813,战斗 ,4
735,百姓,4
464,前线,4
1131,井,4
1102,解放军,4
2514,倒塌 ,4
309,影响 ,4
437,危机,4
2520,病原,4
1990,车阵,4
1109,地位,4
1695,网 ,4
2172,后续,3
1914,储备 ,3
2133,玩家,3
1872,气旋,3
723,重要性,3
71,火山,3
1506,绿化,3
3066,资质,3
858,战况,3
595,自救,3
1096,意外,3
1629,武力,3
3008,图集,3
1097,实力 ,3
1931,储备局,3
61,变化 ,3
2145,巨头,3
1515,艺术,3
2138,策略,3
2141,民主,3
1923,水利部,3
1508,干旱 ,3
1921, 交通,3
2890,局长,3
607,市场,3
2119,飞机 ,3
734,罪行,3
1609,征兆,3
2022,年景,3
120,搬迁,3
1083,美军 ,3
2046,发布会,3
660,博物馆,3
1886,单位 ,3
159,常委,3
2052,高原,3
47,研判 ,3
1142,飞毛腿,3
1576,评价,3
2062, 记者,3
654,犹太人,3
111,危险,3
109,村民,3
871,部,3
1533,预案 ,3
2935,大将,3
143,设备,3
1642,国民,3
1951,厂商,3
1955,印象,3
1968,掠夺 ,3
1624,现实,3
2896,研究院,3
867,剧情,3
2899,机构,3
675,海贼团,3
94,合作,3
732,侵略者,3
1619,本质,3
2912,气象法,3
1137,结论,3
1980,战俘,3
127,备汛,3
1871,热带,3
816,师范,3
2829,仓库,3
1387,附近,3
2415,当局,3
828,水务局,3
2670,美国 ,3
1234,市民,3
260,预警 ,3
