,名词,词频
13, ,690
32,灾害,625
181,自然,207
18,  ,187
31,洪涝,184
40,工作,148
225,地质,147
176,省,88
132,风险,84
196,人,78
100,记者,66
264,气象,66
226,防治,63
36,暴雨,62
77,市,59
59,地区,57
232,会议,54
234,部门,54
74,洪水,53
324,情况,49
637,管理部,47
185,国家,47
124,全国,47
259,普查,47
649,应急,40
113,救灾,39
174,汛期,39
207,国,39
162,防御,38
85,人民,38
48,县,38
6,地,38
19,天气,36
558,损失,36
11,降雨,34
165,安全,34
119,地震,33
164,防汛,32
289,政府,31
148,时间,31
112,群众,31
10,我国,30
506,程度,29
99,电,29
247,森林,29
422,人员,29
677,经济,28
212,防灾,28
213,减灾,27
222,单位,26
161,水旱,26
187,中心,26
411,气象局,25
115,生命,24
836,会商,24
140,能力,24
553,房屋,24
20,气候,23
566,南方,23
105,管理,23
224,山洪,23
177,海洋,23
139,救援,23
189,演练,22
88,台风,22
1002,受灾 ,21
116,财产,21
97,系统,21
1050, 区,21
183,预警,21
693, 市,21
275,水利,20
248,火灾,20
894,农业,20
940,形势,19
265,水,19
302,影响,19
241,负责人,19
339,社会,19
182,资源部,19
690,管理厅,18
252,监测,18
352,区,18
402,信息,18
646,草原,18
195,城市,17
678,灾难,17
1671,国务院,17
384,资源,17
699,受灾,17
379,新闻,17
498,消息,17
78,河流,17
369,   ,16
627,生活,16
475,灾情,16
871,抢险,16
0,事件,16
90,流域,16
907,中央,16
109,环境,15
209,技术,15
179,防范,15
44,规划,15
955,保障,15
472,降雨 ,15
166,隐患,15
654,粮食,15
146,降水,15
37,灾,15
130,通讯员,14
129,讯,14
327,事故,14
522,视频,14
476,活动,14
167,抗旱,14
251,工作 ,14
281,建设,14
163,水利局,14
370,其中,14
269,人口,14
30,范围,14
2145,总书记,14
838,分析,14
106,公司,14
998,领导,13
1308,人 ,13
853,方案,13
1221,社区,13
171,汛,13
780,工程,13
656,面积,13
271,指挥部,13
371,过程,13
607,当地,13
460,统计,12
1409,生产,12
888,人类,12
849,专家,12
551,滑坡,12
220,办公室,12
256,天气 ,12
242,季度,12
286,电话,12
217,发展,12
210,委员会,12
63,总体,12
239,资源局,11
23,干旱,11
684,居民,11
653,城乡,11
348,地方,11
15,旱,11
81,洪水 ,11
415,部署,11
406,服务,11
285,电视,11
276,设施,11
638,年景,11
706,道路,10
772,组织,10
994,水库,10
418,乡镇,10
873,队伍,10
363,问题,10
133,抗洪,10
235,精神 ,10
540,灾区,10
860,成员,10
9,洪涝 ,10
299,低温,10
1776,冷冻,10
152,常年,10
287,精神,10
134,预案,10
240,管理局,10
634,区域,10
156,内涝,10
829,世界,10
2057,雪灾,10
640,汛情,9
1819,集团,9
253,预警 ,9
899,指导,9
641, 风雹 ,9
45,编制,9
52,资料,9
939,减灾委,9
1138,评估,9
54,任务,9
905,核定 ,9
190,现象,9
1201,卫生,9
337,数据,9
489,泥石流,9
473,山体,9
977,媒体,9
953,现场,9
373,交通,9
797,力量,9
57,可能性,9
331,方面,9
2146,指示,8
1632,水利部,8
229,县委,8
295,主任,8
1669,超警,8
2,气旋,8
344,历史,8
572,预测,8
744,声明,8
1573,官方,8
2257,通知,8
652,住房,8
158,气温,8
647, 经,8
1569,响应,8
645,雪灾 ,8
531,干部,8
1178,暴雨 ,8
686,热带,8
1175,疫情,8
141,消防,8
545,物资,8
552,洪灾,8
639,偏差,8
1154,失踪 ,8
126,北部,8
680,省份,8
416,专题,8
708,降雨量,8
975,工作组,8
397,检查,8
954,小组,8
50,调查,8
747,目的,7
1866,农村部,7
750,作者,7
841,研判,7
847,普查办,7
293,街道,7
1153,死亡,7
267,内容,7
901,资源厅,7
1162,统计 ,7
614,项目,7
642, 地震 ,7
1875,公路,7
541,抗灾署,7
342,风雹,7
643,干旱 ,7
726,隐患点,7
463,灾害 ,7
412,措施,7
644,冷冻 ,7
1300,水位,7
1181,日报,7
311, 南方,7
1289,上游,7
648,工业,7
909,资金,7
462,伤亡,7
663,重建,7
483,火山,7
332,投资,7
482,危害,7
868,治理,7
823,核,7
180,处置,7
263,地震 ,7
84,台风 ,7
3,数量,7
70,中下游,7
1028,时候,6
1310,水 ,6
301,农作物,6
743,人们,6
308,影响 ,6
1009,城区,6
1293,下游,6
748,来源,6
880,行动,6
2136,试点,6
1675,信息网,6
707, 农作物,6
394,时刻,6
230,副书记,6
218,基础,6
343,袭击,6
1677,河段,6
144,降水量,6
1155,倒塌 ,6
2120,实验室,6
261,会 ,6
1698,发 ,6
284,党组,6
711,同期,6
1191, 市 ,6
278,保险,6
525,平台,6
1020,网站,6
1567,防控,6
1207,健康,6
270,副局长,6
291,镇,6
1696,县城,5
519,信息 ,5
757,文章,5
769,准备,5
471,预报 ,5
1115,防洪,5
875,乡,5
521,图片,5
1723,研究,5
1112,责任,5
870,机制,5
988,培训,5
866,同志,5
355,重点,5
787,趋势,5
788,研判 ,5
692,指挥,5
900,意见,5
419,雨量,5
65,涝,5
173,年度,5
474, 泥石流,5
1672,总理,5
910,使用,5
739,伤亡 ,5
908,补助,5
530,村,5
959,信息员,5
481,地灾,5
442,科学,5
1314,建设部,5
441,之一,5
221,通知 ,5
186,预报,5
128,报道,5
127,西部,5
430,控制,5
426,责任人,5
972,气象台,5
918,避险,5
1407,民众,5
388,生态,5
1462,作用,5
815,排查,5
16,北,5
1808,运输部,5
2056,风雹 ,5
233,级,5
661,条件,5
333,手机,5
1517,水文,5
14,南,5
246,冰雹,5
1452,崩塌,5
1599, 自然,5
1042, 汛,5
1450,防总,5
609,网,5
1100,网 ,5
320,公众,5
993,水平,5
316,企业,5
1521,灾情 ,5
117,安全 ,4
958,个人,4
1740,部长,4
1987,照片,4
548,会议 ,4
1691,狗,4
46,专项,4
807,教育,4
43,村庄,4
1616,大雨 ,4
425,转移,4
845,人民币,4
8,南部,4
427,水务局,4
188,预警报,4
1301,洪峰,4
1007,发生,4
992,业务,4
49,行政村,4
283,交流,4
1205,预防,4
1211,附近,4
942,领域,4
1196,小时,4
1594,全球,4
1592,废水,4
1216,东部,4
1566,报告,4
53,目标,4
98,报,4
4,中部,4
101,消息 ,4
266,类型,4
1757,供电,4
1572,发布,4
1237,发布会,4
725,设备,4
728,专业,4
58,大 ,4
250,应对,4
1176, 疫情,4
705,局地,4
1315,客户端,4
86,共和国,4
1735,防御司,4
508,玉米,4
1316, 记者,4
987,培训班,4
582, 雨量,4
80,可能,4
1999,市民,4
770,  一,4
205,行业,4
27,水坝,4
773,基层,4
1667,编辑,4
206,标准,4
1116,统筹,4
872,意识,4
1113,备汛,4
393,红网,4
593,模式,4
796,经验,4
1678, 区 ,4
2200,应急局,4
1111,自治区,4
1630,变化,4
357,方式,4
1820,死亡 ,4
602,发生 ,4
1815,储备局,4
1817,总会 ,4
879,整治,4
775,支撑,4
571,月,4
1551,同比,4
1585,救助,4
575,分布,4
569,农民,4
1133,制度,4
2147,党,4
1137,办法,4
399,抗灾,4
1711,地图,4
1110,壮族,3
2009,低洼,3
1063,协会,3
2106,财政厅,3
1103, 水,3
82,部分,3
1183,端讯,3
1182,客户,3
1136,解决,3
103,大学,3
520,声明 ,3
629,积水,3
601,大坝,3
529,党委,3
691,副厅长,3
1068,队员,3
75, 降雨,3
515,关注,3
2010, 渍水,3
1073,海军,3
1673,总数,3
1031, 人们,3
2259,市政府,3
1197,饭,3
511,生长,3
1200,汛情 ,3
714,原因,3
532,派出所,3
104,水务,3
1085,科技,3
971,演练 ,3
580, 4 ,3
630,大葱,3
2072,渍害,3
687,风暴,3
2048,副总指挥,3
556,搜救,3
1048,阶段,3
2002,农田,3
957,装备,3
83,小编,3
956,车辆,3
2071,副部长,3
149,下旬,3
125,基地,3
585,河水,3
538,家庭,3
636,价格,3
1965,普查 ,3
588,世纪,3
976,融,3
110,特点,3
590,沙尘暴,3
2493,铁路,3
121,蔬菜,3
1156,东北,3
560,卫生部,3
184,监测司,3
1203,食物,3
407,事项,3
1340,监督,3
804, 据,3
1339,医疗,3
766,规划局,3
401,地震局,3
313,劳动者,3
1326,需求,3
1883,中,3
1738,调研,3
309,作物,3
878,防灭火,3
1455,灾害点,3
1645,响应 ,3
2141,假期,3
304,种植,3
1459,协助,3
417,培训会,3
245,大风 ,3
855,评审会,3
902,水利厅,3
1568,冠肺炎,3
387,空间,3
1463,协调,3
1394,州,3
1418,施工,3
1812, 气象局,3
859, 水利部,3
21,因素,3
861,副主任,3
862,新区,3
219,宣传,3
1824,东,3
1801,年代,3
361,隐患 ,3
877,乡村,3
1797, 地震,3
364,清单 ,3
869,要求,3
1660,家,3
215,主题,3
1531,土壤,3
1835,蝗灾,3
1374,版权,3
1369,图,3
1302,全境,3
1775,单位 ,3
41,专班 ,3
5,东南部,3
1765,发言人,3
2125,来源 ,3
746,文,3
1929,山区,3
724,记载,3
169,安全度,3
1933,自然灾,3
2346,服务站,3
2345,儿童,3
832,期间,3
488,洪 ,3
937,推进,3
1940,系列,3
2341,基金,3
274,一行,3
1215,河道,3
819,村 ,3
500, OPPO,3
943,灭火,3
1245,值班,3
833,局,3
916,结果,3
1252,实战,3
1287,质量,3
1280,主体,3
1278,安置,3
1501,威胁,3
1774,信息化部,3
1273,周围,3
1269,地球,3
1267,爆发,3
1467,国务,3
1920,办公厅,3
906, 局地,3
736,广播,3
290,副县长,3
7,东北部,3
464,切坡,3
810,实践,3
1807, 交通,3
1636,储备,2
2162,全民,2
2065, 外代 ,2
844,独角兽,2
1003,灾难 ,2
1004,形势 ,2
2172,特征 ,2
850,师范,2
1018,厅,2
2079,根系,2
2066,外代,2
2158,圆环,2
851,教授,2
1676,沿线,2
856,实施,2
1670,政府网,2
967,形式,2
1614,潮,2
911,政策,2
912,页 ,2
1609,社会主义,2
913,打印,2
915,分配,2
925, x ,2
904,建设厅,2
1613,过程 ,2
1611,海浪,2
2124,教育部,2
2107,巨灾,2
1612,偏多 ,2
941, 水利 ,2
2108,理赔,2
968,攻坚,2
1617,日,2
995,水电站,2
2088,举措,2
857,方,2
864,区长,2
1601,调水,2
2153,工作部,2
1663, 险情,2
1623, 级,2
2152,偏差 ,2
978,分管,2
1668,高层,2
1664,直播,2
1665,信号 ,2
1666,导播,2
2142,寒潮,2
1604,规模,2
896,降水 ,2
1674,雨情,2
1767,海啸,2
1170,学院,2
1679,哥哥,2
1707,倒塌,2
1319,高科,2
1320,饮用水,2
1548,指数,2
1878,联播,2
1710,清单,2
1338,疾控,2
1717,书记,2
1345,传染病,2
1346,防控 ,2
1864,表面,2
1859,崩塌 ,2
1353,土地,2
1360,头条,2
1847,三文鱼,2
1368,地 ,2
1370,核心,2
1381,领跑者,2
1318,种子,2
1706,成灾,2
1535,侵袭 ,2
1555,机械,2
1258,气象 ,2
1260,中心 ,2
1914,收入,2
1913,财政,2
1276,安置点,2
1905,西南部,2
1895,级别,2
1292,下游 ,2
1295,水量,2
1299,段,2
1303,高考,2
1559,救援 ,2
1309, 人,2
1702,轿车,2
1312,转变 ,2
1703,车,2
1704,顶 ,2
1382,电站,2
1834,特,2
1921,黄土,2
1802,储备 ,2
1781, 影片,2
1451,状态,2
1780,剧照,2
1454,险情 ,2
1779,杀青,2
1778,深度 ,2
1494,会议室,2
1468,委员 ,2
1492,困难,2
1759,境内,2
1469,总指挥部,2
1470,总指挥,2
1471,大佛,2
1771,泄漏,2
1480,门口,2
1473,事,2
1475,头,2
1782,陈数,2
1805,赈灾,2
1387,网友,2
1806, 住房,2
1832,准备 ,2
1390,时期,2
1530,病原,2
1830,减灾 ,2
1821,失踪  ,2
1403,茶叶,2
1406,限度,2
1529,腐烂 ,2
1410,生活 ,2
1527,畜禽,2
1413,国家防总,2
1814,保监会,2
1731,愿景,2
1810,健康委,2
1420,植物,2
1519,处长,2
1809,农村部 ,2
1257,话,2
1922,高原,2
1680,消防员,2
1095, 诸,2
1685,百家号 ,2
1099,监管,2
1101,湖,2
1102,库,2
2004,排水,2
1114,江河,2
1118,山火,2
1997,空气,2
1994,标题,2
1130,保障处,2
1131,调研员,2
1991,信号,2
1134,报灾,2
1686,村镇,2
1687,中民,2
1139,方法,2
1989,全线,2
2011,雨涝,2
1091,论坛,2
1148,讨论,2
1089,急救,2
1595,元素,2
1593,海里,2
1591,地面,2
1681,狗狗 ,2
1682,网友 ,2
1588,破坏,2
1683,晨报 ,2
1039,后勤,2
1044,计划,2
1684,晨报,2
1049,反应 ,2
1052,工程师,2
1054,幼苗,2
1056,产业,2
1074,军官,2
1078,医院,2
1088,国际,2
1142,民兵,2
1688,房,2
1251,战勤,2
1212,危险,2
1945,上下,2
1936,6 ,2
1935,战地,2
1697, 上路,2
1232,风险 ,2
1238,雨雪,2
1240,沙尘 ,2
1563,担当,2
1699,摄  ,2
1700,内讧,2
1927,全,2
1243, 钟,2
1925,行政,2
1247,值守,2
1249,枢纽,2
1701,前景,2
1923,防治区,2
1213,年份,2
1204,疾病,2
1689,积水  ,2
1194,旅,2
1690,消防 ,2
1160,时间段,2
1167,报 ,2
1969,意义,2
1692,瓦房,2
1171,院长,2
1173,解答,2
1693,减灾委 ,2
1694,重灾区,2
1966,底数,2
1574,帐号,2
1964,电子,2
1186, 雨区,2
1187,重叠度,2
1695,群众生,2
1961,政治,2
1959,供应链,2
1317,水稻,2
822,现场 ,2
138,水域,2
305,进度,2
307,霜冻,2
2225,木格 摄  ,2
501,通信,2
382,栏目,2
408,产品,2
2477,规定,2
2299,链接 ,2
413,会,2
503,棉花,2
2300,网址,2
168,手,2
244,春汛,2
723,事情,2
507,降温,2
145,期,2
497,功能,2
509,播种,2
2297,安全感,2
576, 汛期,2
666,省政府,2
755,反馈 ,2
754,举报 ,2
131,雨水,2
751,权属,2
749,权益,2
257,火险,2
420,站点,2
742,前 ,2
2218,民政,2
2219,院士,2
414,后 ,2
737,会商会,2
258,等级,2
2229,村民,2
758,民生,2
231,县长,2
703,局部,2
533,民警,2
534,卫生院,2
535,辖区,2
574,时空,2
260,动员,2
214,日 ,2
527,用户,2
216,筑牢,2
228,工作会,2
268,致灾,2
657,产量,2
658, 亩  ,2
544,医护,2
273,财险,2
277,保险 ,2
2333, 图,2
2441,隐患区,2
2440,管理 ,2
400,常委,2
550, 山体,2
583,汛期 ,2
398,全力,2
719,赤地,2
717, 蝗灾,2
396,运行,2
664, 省,2
202,承灾体,2
650,信息化,2
518,广告,2
