,名词,词频
13, ,876
5,灾害,686
71,火山,345
27,自然,297
4,地质,227
73,  ,224
15,工作,158
301,喷发,129
28,风险,121
67,人,116
88,气象,103
202,国家,84
29,普查,78
44,部门,75
237,防治,71
91,会议,65
334,地震,64
310,时间,60
309,当地,60
26,国,59
76,地区,59
92,市,59
196,省,55
24,情况,54
178,政府,51
226,全国,51
8,人员,50
634,管理部,47
63,预警,46
356,记者,45
20,应急,44
85,气象局,41
97,气候,40
149,汛期,39
355,电,39
445,天气,38
959,洪涝,38
108,减灾,37
130,人民,37
489,影响,35
134,安全,35
86,中心,35
186,防御,34
286,管理,34
693,国务院,33
322,消息,33
730,损失,32
107,防灾,32
236,山洪,32
303,火山灰,31
990,我国,31
162,资源,31
234,单位,30
663,农业,29
200,资源部,29
255,森林,28
132,生命,28
171,县,27
167,监测,26
899,会商,26
199,能力,26
138,防汛,25
514,救灾,25
232,办公室,25
2379,救助,24
11,救援,23
131,群众,23
248,负责人,23
531,   ,23
183,演练,23
775,降雨,23
106,活动,23
998,研究,23
197,海洋,22
185,水旱,22
958,暴雨,22
205,事件,22
87,环境,22
414,系统,21
173,防范,21
480,程度,21
304,居民,21
692,中央,21
133,财产,21
559,工程,21
878,世界,21
65,灾难,21
836,岩浆,20
891,经济,20
1001,全球,20
60,发展,20
64,信息,20
223,技术,20
42,地,20
46,区域,20
371,新闻,19
1100,社会,19
256,火灾,19
804,熔岩,19
112,隐患点,19
1137,评估,18
380,人类,18
721,其中,18
84,管理局,17
269,范围,17
270,地震 ,17
271,水,17
471,公司,17
224,委员会,17
1195,附近,17
1179,房屋,17
188,隐患,17
169,专家,16
412,之一,16
822,地方,16
1117,台风,16
83,资源局,16
451,预案,15
413,生态,15
2197,总书记,15
339,爆发,15
217,调查,15
448,山体,15
30,试点,15
1170,洪水,15
311,喷发 ,15
379, 火山,15
153,领导,15
686,生产,15
99,变化,15
558,区,15
677,方案,15
101,规划,14
444,讯,14
859,火山 ,14
1964,分析,14
145,工作 ,14
277,指挥部,14
66,时候,14
152,组织,14
116,保障,14
630,措施,14
551,通知,14
49,视频,14
118,城乡,14
829,死亡,14
98,形势,14
79,草原,13
38,普查办,13
993,道路,13
611,媒体,13
165,成员,13
1142,过程,13
135,水利,13
392,乡镇,13
660,交通,13
382,地球,12
366, 火山灰,12
519,生活,12
210,城市,12
1776,死亡 ,12
244,精神 ,12
249,季度,12
698,常年,12
105,建设,12
267,任务,12
784,火山口,12
2210,实验室,12
436,灾害 ,12
1863,冷冻,12
1160,减灾委,12
482,降水,12
290,电话,11
1898,水利部,11
75,北部,11
314,卫星,11
617,国土,11
230,基础,11
1800,报告,11
2129,雪灾,11
1303,历史,11
187,水利局,11
1338,期间,11
276,人口,11
390,专题,11
798,发布,11
732,数据,11
180,小组,11
568,事故,11
281,设施,11
274,内容,11
175,通讯员,11
1076,国际,10
1007,失踪 ,10
74,月,10
1963,农村部,10
119,规模,10
289,电视,10
463,泥石流,10
2,抢险,10
1897,运输部,10
62,预报,10
703,气温,10
1345,南方,10
904,滑坡,10
640,现场,10
166,副局长,10
2020,办公厅,10
683,项目,10
36,部署,10
189,抗旱,10
204,现象,10
1412,作用,10
1886,粮食,9
35,问题,9
741,来源,9
984,水库,9
646, 市,9
817,岛,9
415,科学,9
1802,民众,9
505,服务,9
1902, 气象局,9
2203,流域,9
32,会 ,9
1545,低温,9
794,报道,9
450,灾情,9
1136,办法,9
546,资源厅,9
864,网站,9
154,责任,9
1336,南部,9
337,地面,9
743,作者,9
39,主任,9
1340,干旱,9
537,应急局,9
1856,海啸,9
1993,年景,9
435,伤亡,9
960,治理,9
1356,气体,8
1568,总体,8
854,周围,8
388,生物,8
497,信息 ,8
1550,新闻网,8
595,意识,8
561,安全 ,8
740,目的,8
1820,发布会,8
1294,预测,8
295,街道,8
538,体系,8
329,威胁,8
447,降雨 ,8
1639,首都,8
627,协调,8
830,人数,8
2301,气象厅,8
515,时刻,8
163,规划局,8
179,镇,8
102,编制,8
1156,大学,8
989,受灾 ,8
900,核定 ,8
14,处置,8
12,力量,8
1270,面积,8
897,住房,8
1276,状态,8
109,村民,8
323,部,7
588,培训,7
575,重点,7
409,研究所,7
570,工作组,7
797,响应,7
1233, 经,7
707,原因,7
1197,方面,7
907,资金,7
1002,热带,7
1848,官方,7
385,地表,7
1854,搜救,7
1884, 风雹 ,7
1666,警方,7
1406,时期,7
172,汛,7
434,统计,7
68, 自然,7
1754,科学家,7
609,广播,7
2198,指示,7
1584,核,7
2035,自然灾,7
288,交流,7
892,指导,7
762,准备,7
894,管理厅,7
272,旱,7
273,类型,7
1537,普查 ,7
457,危害,7
263,天气 ,7
633, 区,7
283,保险,7
47,研判 ,7
776,趋势,7
150,政治,7
141,制度,7
291,精神,7
651,队伍,7
811,照片,6
123,书记,6
372,客户端,6
2575,铁路,6
563,指挥,6
2100,群岛,6
194,年度,6
122,市委,6
1360,周边,6
999,领域,6
417,冰川,6
1214,团队,6
571,方式,6
978,物资,6
530,排查,6
1407,机构,6
465,海啸 ,6
736,手机,6
378,小时,6
1909,集团,6
691,党,6
1669,医院,6
501,平台,6
728,红网,6
1414,崩塌,6
391,培训会,6
807,游客,6
397,责任人,6
449, 泥石流,6
1103,卫生,6
430,南,6
1907,总会 ,6
637,调研,6
1249,高度,6
1774,研判,6
866,气象台,6
632,  一,6
2970,心理,6
605,学校,6
626,统筹,6
885,干旱 ,6
1864,雪灾 ,6
220,行业,6
1289,市政府,6
333,因素,6
1013,家,6
623,区划,6
243,级,6
233,通知 ,6
240,县委,6
1895,建设部,6
1239,工业,6
259,应对,6
1302,破坏 ,6
587,电影,6
905,灾,6
2172,中 ,5
1773,单位 ,5
143,设备,5
104,开发,5
1114,自治区,5
93,业务,5
2018,官员,5
