,名词,词频
13, ,938
5,灾害,606
193,火灾,269
73,  ,248
27,自然,222
4,地质,211
15,工作,185
223,消防,157
67,人,126
689,现场,120
8,人员,117
418,记者,117
235,火灾 ,90
426,防治,82
88,气象,81
44,部门,81
28,风险,75
194,事故,75
134,安全,74
92,市,69
211,国家,69
24,情况,66
86,中心,64
452,森林,63
91,会议,61
237,省,57
11,救援,56
756,原因,49
178,政府,48
500,地震,48
20,应急,47
381,损失,43
131,群众,43
108,减灾,43
26,国,42
63,预警,41
1160,全国,40
581,单位,39
218,新闻,38
49,视频,38
585,防御,38
76,地区,38
130,人民,36
187,时间,36
29,普查,36
149,汛期,35
183,演练,35
107,防灾,35
162,资源,34
167,监测,34
483,天气,34
85,气象局,33
1533,电,33
628,资源部,33
400,我国,32
171,县,32
238,当地,32
606,管理,31
552,救灾,31
319,面积,30
315,公司,30
647,能力,30
1013,洪涝,30
222,调查,30
683,管理部,29
425,山洪,29
64,信息,29
513,消息,29
770,其中,28
132,生命,28
87,环境,27
738,中央,26
374,支队,26
323,消防车,26
419,指挥,26
872,会商,26
138,防汛,25
241,建筑,25
578,海洋,25
820,降雨,25
316,火势,25
317,办公室,25
42,地,25
427,技术,24
530,影响,24
46,区域,24
97,气候,23
301,生产,23
112,隐患点,23
239,大火,23
204,社会,23
233,国土,22
739,国务院,22
1244,社区,22
1012,暴雨,22
35,问题,22
364,系统,21
285,居民,21
282,附近,21
207,伤亡,21
106,活动,21
1161,经济,21
431,负责人,21
602,工程,20
867,台风,20
154,责任,20
964,仓库,20
950,消防员,20
105,建设,20
175,通讯员,19
893,委员会,19
133,财产,19
79,草原,19
297,隐患,19
875,分析,19
417,小区,19
622,设施,18
521,程度,18
1186,过程,18
491,预案,18
215,   ,18
116,保障,18
153,领导,18
1126,官方,18
601,区,18
895,水旱,17
453,生态,17
482,讯,17
2469,总书记,17
1370,全球,17
65,灾难,17
1218,房屋,17
145,工作 ,16
1588,救助,16
780,伤亡 ,16
234,干旱,16
485,范围,16
1284,人类,16
576,体系,16
660,媒体,16
275,中队,16
378,街道,15
362,楼,15
135,水利,15
2,抢险,15
1157,季度,15
152,组织,15
60,发展,14
489,灾情,14
490,指挥部,14
173,防范,14
12,力量,14
318,起火,14
366,队员,14
84,管理局,14
83,资源局,14
430,乡镇,14
1154,微博,13
1681,死亡 ,13
920,报警,13
36,部署,13
165,成员,13
208,防火,13
711,农业,13
1832,研究,13
2088,报告,13
2571,大厦,13
1026,公安,13
1197,评估,13
98,形势,12
523,降水,12
1558,厂房,12
1120,医院,12
868,期间,12
258,家,12
1125,小时,12
621,基础,12
734,自治县,12
604,事件,12
10,人 ,12
271,大队,11
726,方案,11
732,项目,11
1272,城市,11
1928, 气象局,11
1536,过火,11
486,降雨 ,11
487,山体,11
407,作用,11
679,措施,11
750,气温,11
1037,水库,11
122,市委,11
545,服务,11
1016,滑坡,11
692,知识,11
169,专家,11
644,意识,11
3,救援 ,11
708,交通,10
66,时候,10
214,图片,10
185,来源,10
682, 区,10
474,灾害 ,10
568,排查,10
221,年度,10
781,数据,10
423,浓烟,10
878,研判,10
428,专题,10
934,因素,10
380,起火 ,10
1132,燃烧物,10
312,案例,10
1884,核定 ,10
294,防控,10
199,火 ,10
637,培训,10
1073,粮食,10
2336,佤族,10
488, 泥石流,10
143,设备,10
375,队伍,10
2911,海洋局,10
62,预报,10
504,泥石流,9
809,基层,9
932,发生,9
548,干部,9
314,保险,9
2659,铁路,9
557,生活,9
2038,办公厅,9
918,广场,9
412,作者,9
277,道路,9
399,方面,9
379,企业,9
1130,明火,9
289,周围,9
298,整治,9
904,治理,9
906,机制,9
303,场所,9
744,常年,9
864,世界,9
926,网友,9
166,副局长,9
14,处置,9
1521,地方,9
989,减灾委,9
71,火山,9
2214,通报 ,9
101,规划,9
197,逃生,9
118,城乡,9
1557,119,9
2915, 地震局,9
1048,城区,9
129,检查,9
2587,精神,9
99,变化,9
172,汛,9
123,书记,9
787,人们,8
1287,地震 ,8
290,车,8
291,火光,8
1955, 经,8
595,精神 ,8
575,客户端,8
2357,响应,8
93,业务,8
429,培训会,8
598,支撑,8
857,核,8
163,规划局,8
189,历史,8
2561,配件,8
186,消防 ,8
179,镇,8
451,之一,8
2530,雪灾,8
349,可燃物,8
605,安全 ,8
243,住宅,8
2542,指示,8
2235,烟花,8
593,通知,8
413,文章,8
1259,发布会,8
807,隐患 ,8
1755,机构,8
1433,民房,8
224,总队,8
1923,水利部,8
823,趋势,8
38,普查办,8
1484,火,8
849,水利局,7
68, 自然,7
657,人口,7
119,规模,7
391,局部,7
1,避险,7
553,时刻,7
164,党组,7
672,区划,7
1434,大火 ,7
1064,指导,7
1875,海啸,7
436,责任人,7
150,政治,7
75,北部,7
1325,天气 ,7
588,资源厅,7
710,标题,7
102,编制,7
1922,运输部,7
905,要求,7
1049,洪水,7
1036,水平,7
201,大学,7
1035,水,7
1312,地面,7
295,行业,7
2566,财经,7
2914, 农业部,7
788,声明,7
1599,气旋,7
2227,通报,7
1598,热带,7
2324,金矿,7
497,危害,7
1090,阶段,7
274,辖区,7
822,电话,7
790,目的,7
219,文,7
1886,冷冻,7
1543,物流,7
1787,商铺,7
942,灾,7
695, 市,7
690,同志,7
1121, 火,7
704,网络,7
1004,信息员,6
1422,西部,6
1363,灾害点,6
496,地灾,6
1375,汽车,6
1935,集团,6
1361,南方,6
1933,总会 ,6
30,试点,6
1042,受灾 ,6
401,灭火,6
571,威胁,6
1278,中心 ,6
39,主任,6
768,专业,6
469,南,6
1850,部长,6
2621,建筑物,6
839, 据,6
1047,总体,6
1168,版权,6
2295,澡堂,6
541,平台,6
440,控制,6
785,预警 ,6
671,交流,6
1288,地球,6
1797,警方,6
538,内容,6
2215,染整厂,6
473,统计,6
2072,数量,6
677,责任 ,6
778,红网,6
686,调研,6
1060,网站,6
384,工业,6
1202,国际,6
177,发生 ,6
343,烟,6
1091,抗旱,6
635,电影,6
212,广播,6
281,民警,6
355,扑救,6
648,防护,6
351,发布,6
1920,建设部,6
912,行动,6
2174,街坊,6
911,专项,6
614,方式,6
1652,秸秆,6
304,条件,6
308,市场,6
180,小组,6
