,名词,词频
5,灾害,1116
13, ,1107
27,自然,417
4,地质,337
15,工作,289
73,  ,273
88,气象,174
28,风险,151
227,防治,136
44,部门,122
191,国家,103
391,记者,101
91,会议,99
24,情况,92
185,省,87
92,市,84
216,全国,84
67,人,83
29,普查,83
175,防御,81
396,地震,78
26,国,74
76,地区,73
108,减灾,72
63,预警,68
130,人民,64
20,应急,63
628,管理部,63
965,我国,60
149,汛期,59
685,国务院,59
713,损失,57
134,安全,57
226,山洪,57
189,资源部,56
936,洪涝,56
276,管理,55
107,防灾,54
85,气象局,53
684,中央,53
459,天气,52
283,政府,51
8,人员,50
167,监测,49
97,气候,47
512,救灾,46
138,防汛,45
224,单位,44
162,资源,44
188,能力,43
332,社会,43
808,会商,43
131,群众,43
86,中心,39
381,国土,39
245,森林,38
171,县,38
375,电,38
863,经济,37
222,办公室,37
186,海洋,36
174,水旱,36
804,台风,36
295,影响,36
64,信息,35
42,地,35
173,防范,33
132,生命,33
195,事件,33
494,程度,33
213,技术,32
361,预案,32
363,   ,31
193,演练,31
60,发展,31
87,环境,31
655,农业,30
810,分析,30
374,新闻,30
757,降雨,29
312,时间,29
1465,救助,29
339,暴雨,29
98,形势,28
214,委员会,28
133,财产,28
429,系统,27
177,隐患,27
1100,评估,27
238,负责人,27
564,工程,26
105,建设,26
46,区域,26
153,领导,26
178,抗旱,25
246,火灾,25
65,灾难,25
145,工作 ,24
112,隐患点,24
36,部署,24
346,区,24
49,视频,24
856,人类,24
135,水利,23
239,季度,23
678,生产,23
486,消息,23
106,活动,23
1136,房屋,23
1794,总书记,23
529,世界,23
116,保障,23
84,管理局,22
267,指挥部,22
35,问题,22
79,草原,22
368,交通,22
11,救援,22
972,洪水,22
1242,干旱,22
259,范围,21
320,事故,21
543,体系,21
101,规划,21
2,抢险,20
1764,水利部,20
484,公司,20
30,试点,19
364,其中,19
464,灾情,19
400,服务,19
165,成员,19
83,资源局,19
154,责任,19
260,地震 ,19
200,城市,19
376,通讯员,19
383,生态,19
404,措施,19
669,方案,18
365,降水,18
532,生活,18
207,调查,18
2059,雪灾,18
38,普查办,18
62,预报,18
1768, 气象局,18
876,灾,18
261,水,18
1749,冷冻,18
1070,全球,18
118,城乡,18
220,基础,18
909,减灾委,17
172,汛,17
152,组织,17
390,讯,17
366,过程,17
556,通知,17
634,现场,17
271,设施,16
169,专家,16
324,方面,16
959,水库,16
476,泥石流,16
281,精神,16
1165,社区,16
683,党,16
234,精神 ,15
342,地方,15
875,滑坡,15
675,项目,15
176,水利局,15
1763,运输部,15
451,灾害 ,15
99,变化,15
970,总体,15
1681,研究,15
1079,自治区,15
462,山体,15
2144,共和国,15
1666,报告,15
627, 区,15
1635, 地震局,14
1536,指示,14
836,机制,14
635,同志,14
796,核,14
450,伤亡,14
566,安全 ,14
1182,发布会,14
864,指导,13
280,电话,13
872,核定 ,13
964,受灾 ,13
428,之一,13
102,编制,13
463, 泥石流,13
690,常年,13
834,治理,13
923,灾区,13
551,资源厅,13
2054,受灾,13
805,期间,13
1682,年景,13
292,低温,13
2435,条例,13
257,任务,13
1247,南方,12
262,旱,12
1099,办法,12
2432,军委,12
813,研判,12
349,重点,12
71,火山,12
597,意识,12
695,气温,12
408,乡镇,12
129,检查,12
1398,面积,12
1835,农村部,12
613,媒体,12
1752, 风雹 ,12
1888,行政,12
922,小组,12
640, 市,12
835,要求,11
590,培训,11
141,制度,11
645,队伍,11
560,支撑,11
1183,雨雪,11
287,街道,11
14,处置,11
266,人口,11
1727,海啸,11
164,党组,11
39,主任,11
993,粮食,11
622,协调,11
618,区划,11
2423,铁路,11
279,电视,11
602,当地,11
2613, 农业部,11
2261,改革,11
1962,副部长,11
870,住房,11
166,副局长,11
2141,主管,10
75,北部,10
330,数据,10
1386,台风 ,10
449,统计,10
1761,建设部,10
1884,办公厅,10
1747,工业,10
2262,煤矿,10
908,因素,10
1402,发布,10
150,政治,10
1349,作用,10
865,意见,10
844,气象台,10
337,历史,10
406,专题,10
1773,总会 ,10
278,交流,10
1648,道路,10
788,排查,9
2548,机构,9
1639,死亡 ,9
1748,信息化部,9
1642,死亡,9
744,准备,9
1544,预防,9
1456,居民,9
568,指挥,9
461,降雨 ,9
445,南,9
32,会 ,9
413,责任人,9
122,市委,9
123,书记,9
12,力量,9
927,信息员,9
407,培训会,9
1471,废水,9
1475,热带,9
183,年度,9
1476,气旋,9
10,人 ,9
2109, 经,9
505,干部,9
867,管理厅,9
223,通知 ,9
2610,海洋局,9
250,预警 ,9
1235,地面,9
2063,实验室,8
314,公众,8
637,知识,8
470,危害,8
325,投资,8
351,方式,8
389,时刻,8
386,保护,8
723,来源,8
1775,集团,8
401,事项,8
827, 水利部,8
233,级,8
848,行动,8
1249,灾害点,8
66,时候,8
821,大学,8
253,天气 ,8
1265,家,8
249,应对,8
244,洪涝 ,8
1387,威胁,8
230,县委,8
1515,响应,8
1202,中心 ,8
1,避险,8
210,行业,8
2672,民政部,8
93,业务,8
878,资金,8
194,现象,8
1415,干旱 ,8
953,物资,8
1701,时期,8
264,内容,8
127,备汛,8
294,农作物,8
1697,部长,8
1067,卫生,8
759,趋势,8
43,水文,8
478,海啸 ,7
74,月,7
1280,强度,7
81,沙尘暴,7
89,会,7
1683,偏差,7
682,实施,7
2086,工作部,7
2483,气象报,7
432,冰川,7
1299,山区,7
968,发生,7
22,关系,7
163,规划局,7
1305,险情,7
1310,心理,7
2764,公告,7
621,统筹,7
958,水平,7
626,  一,7
911,领域,7
2108, 地震 ,7
147,职责,7
119,规模,7
221,宣传,7
218,主题,7
1750,雪灾 ,7
1010,阶段,7
2184,冰冻,7
722,目的,7
273,保险,7
718,人们,7
47,研判 ,7
541,应急局,7
1566,蝗灾,7
68, 自然,7
1050,国际,7
1770,保监会,7
504,村,7
2080,特点,7
842,网站,7
574,工作组,7
1317,西部,6
1210,地球,6
555,总指挥部,6
1268,化肥 ,6
585,安排,6
474,滑坡 ,6
1917,普查 ,6
1277, 滑坡,6
418,研究院,6
631,调研,6
509,辖区,6
1339,崩塌,6
2210,失踪 ,6
569,科技,6
592,文化,6
2053, 气象,6
2056,流域,6
1287,机场,6
430,科学,6
589,电影,6
2300,倒塌 ,6
1946,震源,6
1144,降水量,6
460,预报 ,6
2292, 市 ,6
1947,深度,6
1058,意义,6
1951,沿岸,6
1153,附近,6
746,基层,6
388,红网,6
680,条件,6
1751, 地震,6
879,使用,6
877,补助,6
382,空间,6
336,袭击,6
1896,大 ,6
335,风雹,6
2630,图集,6
1788,偏差 ,6
1507,目标,6
692,分布,6
1610,旱灾,6
843,信息 ,6
1795,批示,6
689,降雨量,6
2627,计生委,6
326,手机,6
847,整治,6
1675,暴雨 ,6
309,企业,6
144,运行,6
2361,风雹 ,6
263,类型,6
2568,总公司,6
1693,防御司,6
658,群测,6
659,群防,6
1844,公路,6
2543,局长,6
1448,海域,6
1767,统计局,6
1576,民族,6
1643,人数,6
270,一行,6
1040,图片,5
793,资料,5
714,伤亡 ,5
1197,内涝,5
1898,自然灾,5
1760, 住房,5
725,作者,5
784,发生 ,5
1193,消防,5
1634,林业局,5
2015,官方,5
1061,疫情,5
1062,时代,5
1068,危机,5
771,专业,5
2087,总会,5
1723,抗灾署,5
1715,供电,5
1122,背景,5
1117,教育部,5
1219,安置,5
837,乡,5
1229,质量,5
977,抗洪,5
952,培训班,5
925,装备,5
632,调研组,5
1392, 水,5
1414,土壤,5
649,网络,5
1436,预案 ,5
1447,部分,5
1937,政协,5
1468,破坏,5
885,结果,5
1938,委员,5
1939,提案,5
880,政策,5
1945,群岛,5
1996,电力,5
874,冷冻 ,5
1949,修订,5
1950,结果 ,5
686,决策,5
1284, 生物,5
687,部署 ,5
1956,部,5
577,代表,5
699,原因,5
828,副主任,5
503,党委,5
820,师范,5
1239,农村,5
1231,市政府,5
924,车辆,5
2026,成果,5
159,常委,5
23,开展,5
109,村民,5
104,开发,5
378,时 ,5
2227, 灾害,5
285,镇,5
2145,总理,5
469,地灾,5
284,副县长,5
255,等级,5
54,观测,5
394,抗灾,5
2252,种类,5
211,标准,5
243,冰雹,5
231,副书记,5
2407,规定,5
2626, 卫生,5
2301, 农作物,5
139,值班,5
2454,水位,5
444,北,5
126,检查组,5
2430, 统计局,5
2283,河流,5
120,搬迁,5
355,隐患 ,5
2429,财经,5
143,设备,5
1472,海里,4
1918,底数,4
414,水务局,4
217,日 ,4
1380,州,4
2628, 保监会,4
1390,东部,4
158,副省长,4
136,枢纽,4
636,监测员,4
926,个人,4
873, 局地,4
192,预警报,4
623,责任 ,4
2765,审批,4
436,西北,4
1762, 交通,4
1936,防控,4
0,转移,4
1545,赈灾,4
2356,救助 ,4
2359,司长,4
719,声明,4
1753,沙尘暴 ,4
2463,主席,4
1725,洪灾,4
710,记载,4
1719,线路,4
1713,专项,4
1712,监管 ,4
2425,思想,4
308,法律,4
758,关注,4
696,同期,4
2409,资质,4
301,影响 ,4
2405,规范,4
1672,地图,4
768,经验,4
379,栏目,4
1637,单位 ,4
679,经营,4
1632, 农业,4
1799,转变 ,4
1622,院,4
2121,纲要,4
817,人民币,4
1853,中,4
252,大风,4
829,新区,4
242,大风 ,4
587,行政村,4
906,推进,4
1081,防洪,4
2106,汛情,4
1049,创新,4
1995,民众,4
971,城区,4
1255,讲话,4
2088,汛情 ,4
1298,过程 ,4
489,通信,4
1263,希望,4
2920,雷害,4
981,厅,4
1176,小时,4
558,局,4
1178,日报,4
475,洪 ,4
31,调度,4
557,文件,4
1279,级 ,4
1200,网 ,4
1004, 汛,4
1342,限度,4
1337,防总,4
1234,预测,4
6,风险 ,4
1228,结构,4
582,座谈会,4
121,农民,4
7,危险区,4
1331,局部,4
542,客户端,4
1328,抗震,4
1113,减灾 ,4
1126,底线,4
1127,思维 ,4
2928,总值,3
1039,医院,3
776, 据,3
1208,爆发,3
1185,沙尘 ,3
1640,受伤 ,3
51,监测站,3
1586,北方,3
2557,气象法,3
2558,防洪法,3
1192,实战,3
1631,应急厅,3
1594,特征,3
1663,施工,3
1608,破坏 ,3
124,市长,3
764,中旬,3
2545,人大,3
1082, 泥石流 ,3
3,救援 ,3
1755,年代,3
733,文章,3
1120,战略,3
2481,灾种,3
1724,发言人,3
1087,公报,3
3018,保密局,3
2489,稳定,3
2508,航道,3
2512,大,3
1180,气象日,3
1698,专家组,3
1080,江河,3
306,劳动者,3
1156,平台,3
1163,场所,3
302,作物,3
1679,段,3
256,动员,3
1167,省委,3
1179,新闻办,3
1565,大火,3
251,雷电 ,3
1555,报送,3
190,监测司,3
881,页 ,3
1488,社会主义,3
2708,雨情 ,3
1473,元素,3
2845,共和,3
2743,国民,3
160,副市长,3
969,频率,3
966,形势 ,3
157,检查 ,3
962,培训 ,3
111,危险,3
1421,土地,3
155,落实 ,3
1413,绿化,3
148,巡河,3
113,建房,3
2792,成本,3
140,值守,3
1334,大部,3
949,公安,3
1338,状态,3
128,防地质,3
1377,困难,3
939,演练 ,3
1297,旱涝,3
94,合作,3
1221,主体,3
199,爆炸 ,3
1554,手段,3
56,冰凌,3
57,河段,3
824,评审会,3
826,团队,3
1353,国务,3
1024,协会,3
1542,泄漏,3
831,区长,3
1017,产业,3
1538,决定,3
2607,风险图,3
840,乡村,3
237,保安,3
846,防灭火,3
2624, 山体,3
69,山火,3
1517,雷电,3
225,减灾日,3
77,暴风雪,3
1288,动物,3
859,者,3
1506,联动,3
1502, 级,3
1496,日,3
331,研究 ,3
1571,西南,3
639,形式,3
1800,安委会,3
676,瑶族,3
1798, 风雹,3
384,修复,3
458,分站,3
548,会议 ,3
650,小编,3
2073,总队,3
2345,副总指挥,3
377,电视台,3
573,金砖,3
426,野外,3
2396, 图,3
492,指标,3
2081,寒潮,3
525,图书馆,3
2371,副司长,3
612,广播,3
385, 耕地,3
2067,来源 ,3
2406,监管,3
2366,水情,3
2042,年,3
624, 四,3
666,排查 ,3
2340,编辑,3
1847,联播,3
2175,监督,3
423,科学院,3
660,教授,3
395,地震局,3
2164,调查 ,3
1860,重 ,3
1866,局地,3
2002,民生 ,3
425,研究所,3
420,丛林,3
1803,特,3
488, OPPO,3
370,    ,3
