,名词,词频
13, ,849
1166,灾害,565
7,  ,244
815,自然,221
1223,地质,172
716,工作,137
0,热浪,131
962,气象,94
333,地区,75
450,记者,69
1224,防治,67
1369,风险,66
963,部门,63
844,天气,60
152,气候,59
1229,会议,59
38,国家,59
10,人,57
652,省,57
134,国,57
477,情况,53
39,气温,53
1310,地震,52
1167,防御,50
142,时间,49
1301,全国,45
1372,管理部,43
525,市,38
108,高温,37
273,我国,37
154,汛期,36
471,人民,35
2377,普查,35
1323,安全,35
1144,预警,34
1119,管理,33
263,中央,33
1356,减灾,32
163,影响,31
322,全球,31
165,洪涝,30
6,发展,29
497,国务院,28
667,气象局,27
1328,救灾,27
814,政府,27
35,   ,26
1165,水旱,26
1181,应急,26
254,新闻,26
84,热浪 ,26
1883,资源部,26
345,地,25
1880,海洋,25
114,中心,25
520,电,25
1037,能力,24
763,人员,24
1195,单位,23
164,暴雨,23
1205,监测,23
1112,系统,23
293,程度,23
296,损失,23
1355,防灾,23
1185,社会,23
77,公司,22
202,文化,22
327,事件,22
281,研究,22
162,台风,21
1174,防汛,21
187,活动,21
298,环境,21
1213,山洪,21
1346,森林,21
294,干旱,20
988,温度,20
89,视频,20
335,分析,20
1232,资源,19
1518,人类,19
2006,会商,19
1303,生命,19
800,皮肤,19
161,期间,19
73,消息,19
868,演练,19
476,经济,19
184,群众,18
357,信息,18
292,变化,17
1475,世界,17
126,数字,17
1143,气象台,17
127,建设,17
396,城市,17
432,技术,17
358,发布,17
521,当地,17
2239,总书记,17
326,降水,16
802,节奏,16
306,水,16
599,工程,16
847,县,16
572,季度,16
1000,其中,16
1456,区域,15
1715,水利部,15
1061,农业,15
1198,灾难,15
674,讯,15
2143,草原,15
1038,领导,15
1071,措施,15
460,项目,14
1416,隐患点,14
966,专家,14
1077,负责人,14
20,问题,14
1322,财产,13
343,时候,13
1304,责任,13
1409,办公室,13
380,生活,13
889,通讯员,13
705,区,13
160,常年,13
718,南方,13
1228,抗旱,13
1169,洪水,13
1651,形势,13
1168,预案,13
1405,房屋,13
151,天气 ,13
845,火灾,13
1555,生产,12
1430,降雨,12
707,城乡,12
804,特效,12
412,地球,12
1438,国土,12
290,粮食,12
1151,防范,12
228,现场,12
155,热带,12
1442,方面,11
2345,委员会,11
291,体系,11
2376,普查办,11
2117,年景,11
1406,隐患,11
156,气旋,11
387,成员,11
118,媒体,11
265,电视,11
1217,水库,11
245,市场,11
863,组织,11
1495,工作 ,11
1256,事故,11
704,管理局,11
488,游戏,11
