,名词,词频
13, ,950
5,灾害,782
73,  ,283
27,自然,279
4,地质,246
15,工作,226
221,爆炸,151
67,人,142
88,气象,113
28,风险,107
396,防治,105
44,部门,94
263,国家,92
282,记者,76
8,人员,71
415,地震,71
335,事故,70
91,会议,70
24,情况,69
507,公司,65
92,市,64
253,时间,64
26,国,62
242,爆炸 ,62
361,防御,59
108,减灾,59
1166,全国,56
388,省,55
76,地区,53
178,政府,51
130,人民,51
63,预警,50
231,现场,49
775,损失,49
134,安全,48
509,消息,48
558,事件,48
646,当地,47
382,山洪,47
29,普查,45
149,汛期,43
740,国务院,43
167,监测,43
20,应急,41
284,管理,41
391,新闻,40
1051,我国,40
739,中央,39
107,防灾,38
162,资源,37
1177,洪涝,36
298,单位,35
281,电,35
196,媒体,35
85,气象局,35
97,气候,35
64,信息,34
138,防汛,34
546,救灾,34
672,管理部,34
934,经济,32
711,资源部,32
422,能力,32
480,天气,31
303,   ,31
183,演练,30
875,会商,30
299,其中,30
378,预案,29
549,办公室,29
131,群众,29
1188,评估,28
397,国土,28
345,社会,28
360,水旱,28
450,系统,28
311,影响,27
426,技术,27
823,降雨,27
46,区域,27
42,地,26
60,发展,25
171,县,25
877,分析,24
132,生命,24
98,形势,24
49,视频,24
449,森林,24
274,原子弹,24
563,城市,24
352,暴雨,23
11,救援,23
1596,救助,23
273,世界,23
112,隐患点,23
86,中心,23
363,区,23
868,台风,22
154,责任,22
704,农业,22
679,隐患,22
288,负责人,22
205,手机,21
517,程度,21
2004,火灾,21
133,财产,20
106,活动,20
87,环境,20
173,防范,20
482,范围,20
895,委员会,20
153,领导,19
116,保障,19
733,生产,19
1988,报告,19
421,调查,18
35,问题,18
175,通讯员,18
729,体系,18
817,工程,18
471,伤亡,18
564,核,17
213,电站,17
486,灾情,17
949,生活,17
145,工作 ,17
36,部署,17
407,讯,17
152,组织,17
135,水利,17
83,资源局,16
79,草原,16
1151,水,16
101,规划,16
487,指挥部,16
169,专家,16
355,地方,16
424,措施,16
577,消防,16
1253,社区,15
909,抗旱,15
214,电池,15
627,人类,15
399,生态,15
628,研究,15
2003, 气象局,15
105,建设,15
255,之一,15
2224,总书记,15
84,管理局,15
381,过程,15
948,灾,15
1095,水库,15
411,设施,14
194,项目,14
1140,国际,14
1225,房屋,14
277,全球,14
593,家,14
384,交通,14
1482,化工,13
722,方案,13
2,抢险,13
165,成员,13
1907,火箭,13
2239,实验室,13
2142,水利部,13
118,城乡,13
1028,官方,13
710,基础,13
65,灾难,13
871,海洋,13
2609,法院,13
122,市委,13
984,减灾委,12
276,数据,12
339,方面,12
943,季度,12
420,产品,12
325,企业,12
903,治理,12
914,精神 ,12
738,党,12
1815, 地震局,12
597,医院,12
472,灾害 ,12
2234,雪灾,12
2233,冷冻,11
1297,地震 ,11
953,街道,11
1945,总统,11
289,电话,11
211,附近,11
559,死亡 ,11
275,地球,11
2001,运输部,11
1607,铁路,11
172,汛,11
302,服务,11
483,降雨 ,11
641,意识,11
30,试点,11
947,滑坡,11
66,时候,11
3018, 农业部,11
2050,原型机,11
935,指导,11
380,降水,11
937,管理厅,11
99,变化,11
2209,发布,11
894, 水利部,11
1071,网站,11
1060,洪水,11
1165,自治区,10
232,爆炸声,10
853,排查,10
810,基层,10
732,通知,10
587,消防员,10
688, 市,10
38,普查办,10
484,山体,10
1517,威胁,10
880,研判,10
693,队伍,10
541,干部,10
655,人口,10
350,历史,10
1364,干旱,10
1525,面积,10
662,区划,10
941,住房,10
368,方式,10
3056,民政部,9
287,事故 ,9
308,低温,9
938,资源厅,9
349,袭击,9
129,检查,9
71,火山,9
2066,飞船,9
485, 泥石流,9
1058,总体,9
1050,受灾 ,9
2355,飞机,9
2481,时代,9
2158,报道,9
2161,测试,9
869,期间,9
1909,引擎,9
557,原因,9
406,时刻,9
904,要求,9
625,人数,9
1334,道路,9
596,大火,9
624,死亡,9
188,科技,9
2781,军委,9
14,处置,9
782,声明,9
429,乡镇,9
366,重点,9
680,同志,9
362,水利局,9
2228,受灾,9
451,科学,9
150,政治,9
905,机制,9
499,泥石流,9
592,事,9
249,电影,9
2121,防控,8
39,主任,8
780,预警 ,8
470,统计,8
1453,案件,8
776,伤亡 ,8
1586,居民,8
2347,货船,8
944,核定 ,8
751,气温,8
748,旱,8
2690,港口,8
179,镇,8
180,小组,8
936,意见,8
2265, 风雹 ,8
1126,海军,8
2106,作用,8
531,内容,8
2591,灾区,8
912,行动,8
2067,高空,8
143,设备,8
824,电视,8
1851,年景,8
102,编制,8
2955,仓库,8
1710,预防,8
1701,指示,8
1898,消息 ,8
1270,发布会,8
671, 区,8
686,培训,8
626,炸弹,8
697,网络,8
22,关系,8
1941,军营,8
141,制度,8
47,研判 ,8
1320,地面,8
1369,南方,8
2324,精神,8
787,作者,8
958,结果,8
2354,客机,7
2398,办公厅,7
2305,保险,7
