,名词,词频
13, ,731
87,环境,379
5,灾害,319
188,污染,258
185,生态,181
73,  ,168
15,工作,152
27,自然,146
252,防治,106
4,地质,103
35,问题,83
28,风险,70
91,会议,65
92,市,64
592,省,56
29,普查,54
44,部门,53
24,情况,47
130,人民,46
178,政府,45
26,国,44
254,保护,43
60,发展,36
231,记者,36
67,人,35
131,群众,34
357,企业,33
303,废物,33
347,全国,32
88,气象,32
167,监测,31
271,中央,31
264,大气,30
171,县,30
76,地区,29
308,公司,29
699,管理部,28
154,责任,28
261,生活,28
63,预警,28
243,环保,27
349,治理,27
292,国家,26
377,质量,26
105,建设,25
8,人员,25
1490,洪涝,25
20,应急,24
162,资源,23
1347,环境部,23
327,研究,23
756,防御,22
191,工程,22
436,攻坚战,22
511,地震,22
739,管理,21
134,安全,21
269,整治,20
646,时间,20
969,损失,20
934,社会,20
153,领导,19
106,活动,19
302,固体,19
213,影响,19
260,行为,19
215,空气,19
496,天气,19
936,经济,19
664,能力,18
46,区域,18
1056,新闻,18
107,防灾,18
384,行动,18
622,农业,18
761,生产,18
149,汛期,17
248,措施,17
532,程度,17
268,区,17
412,环境局,17
407,水,17
429,单位,16
275,负责人,16
278,方案,16
1047,案件,16
108,减灾,15
341,行业,15
86,中心,15
49,视频,15
466,系统,15
971,意见,15
905,文明,15
322,城市,15
36,部署,15
42,地,15
122,市委,15
64,信息,15
2126,犯罪,15
524,消息,14
189,专项,14
765,国务院,14
101,规划,14
777,结果,14
85,气象局,13
954,人类,13
217,土壤,13
296,讯,13
598, 区,13
132,生命,13
410,办公室,13
244,督察,13
310,过程,13
1015,水旱,13
84,管理局,13
276,指挥部,13
65,灾难,12
568,   ,12
408,攻坚,12
413,分局,12
180,小组,12
874,噪声,12
780,检察院,11
705,隐患,11
713, 市,11
197,现场,11
764,党,11
183,演练,11
1044,产业,11
978,会商,11
757,体系,11
257,世界,11
97,气候,11
906,总书记,11
406,街道,11
1271,居民,11
297,人大,11
1221,公益,11
116,保障,11
138,防汛,10
262,污染 ,10
443,技术,10
442,山洪,10
2001,房屋,10
173,防范,10
420,法院,10
133,财产,10
30,试点,10
38,普查办,10
165,成员,10
371,当地,10
558,救灾,10
66,时候,10
465,森林,10
307,省委,10
637,领域,10
286,污水,10
649,监管,10
98,形势,10
1151,机制,10
1142,洪水,10
300,执法,10
641,公众,10
727,交通,10
201,工业,10
374,思想,9
355,季度,9
737,资源部,9
1493,家,9
403,副县长,9
353,同志,9
265,污染源,9
1852,保险,9
285,核,9
225,健康,9
1165,粮食,9
610,流域,9
1059,机动车,9
1646,我国,9
118,城乡,9
83,资源局,9
896,废水,9
784,共和国,9
39,主任,9
22,关系,9
1023,分析,9
14,处置,9
1025,污染物,9
770,诉讼,9
32,会 ,9
150,政治,8
209,卫生,8
368,调查,8
843,总体,8
1344,新区,8
71,火山,8
237,平台,8
1325,患者,8
2000,海啸,8
502,预案,8
233,内容,8
551,服务,8
1088,事件,8
919,任务,8
62,预报,8
1097,方法,8
639,电话,8
760,通知,8
169,专家,8
1722,海洋,8
834,战 ,8
298,常委会,8
129,检查,8
152,组织,8
1140,城区,8
382,社区,8
304,防治法,8
395,行政,8
199,设施,8
141,制度,7
240,责任 ,7
93,业务,7
