,名词,词频
13, ,616
5,灾害,327
73,  ,160
242,事故,157
67,人,135
27,自然,124
4,地质,112
186,车,106
203,现场,97
15,工作,97
231,货车,68
28,风险,60
201,轿车,60
241,交通,54
8,人员,51
269,公交车,49
29,普查,42
44,部门,41
507,防治,41
573,省,39
481,记者,39
88,气象,38
92,市,38
296,路段,38
134,安全,36
24,情况,36
91,会议,36
178,政府,35
49,视频,34
997,地震,33
131,群众,27
76,地区,27
63,预警,26
283,其中,26
193,大队,25
616,天气,25
256,相撞,25
190,公路,25
189,车辆,25
881,洪涝,25
352,路口,24
86,中心,24
295,附近,22
458,死,22
240,道路,22
149,汛期,22
130,人民,22
20,应急,22
107,防灾,21
162,资源,21
593,防御,21
26,国,21
488,能力,20
167,监测,20
311,报警,20
202,交警,19
452,新闻,19
419,机动车,19
733,山洪,19
108,减灾,19
236,南,19
297,小车,19
834,程度,19
11,救援,19
324,电动车,18
255,网友,18
85,气象局,18
308,驾驶员,18
183,演练,18
484,救灾,17
253,原因,17
276,消防,17
250,司机,17
35,问题,16
994,全国,16
171,县,16
97,气候,16
116,保障,16
585,系统,16
138,防汛,16
206,车头,16
194,民警,16
401,伤,16
648,损失,16
919,通报 ,15
257,面包车,15
420,中巴车,15
238,北,15
64,信息,15
527,管理部,15
42,地,15
38,普查办,14
263,公安,14
767,消息,14
234,国道,14
382,公安局,14
694,工程,14
598,生产,13
583,方案,13
944,地球,13
233,西,13
459,伤 ,13
1939,分局,13
1049,影响,13
652,技术,13
197,官方,13
664,来源,13
3,救援 ,13
132,生命,13
516,区,13
646,讯,12
823, x ,12
106,活动,12
838,   ,12
445,事件,12
623,时间,12
398,死亡 ,12
98,形势,12
990,国家,12
270,媒体,12
561,农业,11
1124,人类,11
747,事故 ,11
175,通讯员,11
254,汽车,11
261,作者,11
232,东,11
133,财产,11
880,暴雨,11
213,基金,11
547,单位,11
1018,评估,11
378,三轮车,11
417,过程,11
65,灾难,11
122,市委,11
760,会商,10
892,负责人,10
483,乡镇,10
334,小轿车,10
437,公司,10
348,医院,10
572,管理,10
154,责任,10
118,城乡,10
360,碰撞 ,10
46,区域,10
2,抢险,10
135,水利,10
145,工作 ,9
71,火山,9
105,建设,9
844,车牌号,9
312,电话,9
763,分析,9
921,编辑,9
84,管理局,9
786,水旱,9
909,水,9
1096,降水,9
262,文章,9
866,泥石流,9
1611,电,9
281, 经,9
272,画面,9
247,出租车,9
60,发展,9
426,警,9
14,处置,9
83,资源局,8
239,受伤 ,8
937,响应,8
856,森林,8
746,级,8
753,台风,8
1802,海啸,8
293,方向,8
2078,校车,8
850,指挥,8
550,队伍,8
260,评论 ,8
200,车祸 ,8
101,规划,8
1133,社会,8
258,调查,8
596,办公室,8
563,干部,8
112,隐患点,8
36,部署,8
702,电视,8
700,降雨,8
534,隐患,8
796,治理,8
211,标题,7
403,碰撞,7
1940,操作,7
870,信息员,7
671,反馈 ,7
1712,我国,7
670,举报 ,7
543, 市,7
1055,微博,7
510,生态,7
12,力量,7
356,大道,7
953,微信,7
204,时 ,7
559,安全 ,7
1561,货物,7
169,专家,7
163,规划局,7
750,世界,7
901,管理厅,7
655,预警 ,7
87,环境,7
1146,警方,7
188,意识,7
1112,城市,7
448, 区,7
380,水库,7
195,高速,7
569,培训会,7
1244,作用,7
1286,经济,7
1786,研究,7
837,发布,6
656,伤亡,6
645,时刻,6
129,检查,6
1095,雨雪,6
384,支队,6
1601,栏板,6
826,协议,6
825,音量,6
294,收费站,6
1603,小伙,6
307,驾驶室,6
280,图片,6
1298,面积,6
824,宽高,6
30,试点,6
275,当地,6
273,速度,6
1040, 货车,6
784,委员会,6
520,统筹,6
1673,火灾,6
822,分辨率,6
