,名词,词频
13, ,472
5,灾害,253
186,经济,251
187,危机,191
73,  ,147
4,地质,121
27,自然,84
15,工作,80
191,全球,69
227,金融,57
223,国家,43
496,防治,42
423,疫情,40
218,世界,38
92,市,37
521,省,36
28,风险,35
24,情况,32
91,会议,31
67,人,31
44,部门,30
178,政府,28
26,国,28
149,汛期,27
88,气象,26
522,防御,26
293,国际,25
183,演练,23
581,地震,23
252,影响,21
35,问题,21
220,时间,20
152,组织,20
341,企业,19
134,安全,19
63,预警,18
207,市场,18
112,隐患点,17
543,管理,17
130,人民,16
499,负责人,16
138,防汛,16
429,技术,16
60,发展,16
435,记者,15
98,形势,15
219,货币,15
65,灾难,15
774,山洪,15
171,县,14
83,资源局,14
86,中心,14
167,监测,14
285,公司,14
8,人员,14
106,活动,14
296,政策,14
76,地区,14
797,会商,13
617,衰退,13
49,视频,13
332,   ,13
162,资源,13
108,减灾,13
222,国内,13
85,气象局,13
838,能力,12
450,损失,12
246,冠疫情,12
776,隐患,12
107,防灾,12
97,气候,12
261,危机 ,12
510,救灾,12
131,群众,12
29,普查,12
2,抢险,12
821,水旱,12
287,新闻,12
20,应急,11
405,历史,11
308,分析,11
64,信息,11
132,生命,11
447,消息,11
638,其中,11
295,美联储,11
469,生活,11
977,水库,11
649,病毒,11
647,天气,10
135,水利,10
850,抗旱,10
133,财产,10
658,GDP,10
245,措施,10
470,水平,10
820,委员会,10
517,单位,10
66,时候,10
1045,当地,10
363,经济学家,10
740,降雨,10
742,电话,10
1095,冠肺炎,10
270,生产,10
551,方式,9
297,利率,9
247,冲击,9
388,现场,9
952,暴雨,9
1577,财政,9
328,资金,9
813,方案,9
262,我国,9
282,媒体,9
976,水,9
511,系统,9
356,原因,9
84,管理局,9
175,通讯员,8
539,区,8
259,债务,8
991,预案,8
87,环境,8
196,价格,8
1094,卫生,8
514,指挥部,8
741,电视,8
46,区域,8
173,防范,8
357,社会,8
105,建设,7
772,水利局,7
169,专家,7
172,汛,7
662,季度,7
192,文章,7
194,萧条,7
217,美元,7
575,培训,7
701,时刻,7
558,服务,7
101,规划,7
116,保障,7
385,事故,7
272,疫情 ,7
74,月,7
42,地,7
396,冲击 ,7
36,部署,7
925,办公室,7
348,数量,7
893,灾,7
345,期间,7
1769,人数,7
273,人类,7
320,人口,7
837,队伍,7
294,基金,7
301,央行,7
501,排查,7
1258,石油,6
1340,研究院,6
367,作者,6
576,乡镇,6
277,行业,6
1104,全国,6
47,研判 ,6
1189,方面,6
291,速度,6
1199,社区,6
215,家,6
1529,可能,6
1516,失业率,6
673,气温,6
532,精神 ,6
337,报告,6
1871,失业,6
700,红网,6
99,变化,6
705,数据,6
232,周期,6
249,事件,6
870,农业,6
230,太阳,6
1696,需求,6
829,县委,6
733,准备,6
793,台风,6
400,增长,6
702,讯,6
806,投资,6
75,北部,6
145,工作 ,6
141,制度,6
992,洪水,6
62,预报,6
513,海洋,6
322,中央,5
314,客户端,5
243,爆发 ,5
525,资源厅,5
456,粮食,5
410,时代,5
401,现象,5
269,物资,5
365,图片,5
390,泡沫,5
502,辖区,5
153,领导,5
312,声明,5
143,设备,5
129,检查,5
1491,国家 ,5
834,机制,5
1044,协会,5
835,干部,5
22,关系,5
840,乡,5
848,气象台,5
851,森林,5
882,意见,5
892,滑坡,5
1566,出口,5
205,城市,5
93,业务,5
1113,统计,5
953,洪涝,5
1103,自治区,5
1,避险,5
1710,指标,5
79,草原,5
989,总体,5
832,治理,5
126,检查组,5
810,大学,5
12,力量,5
578,文化,5
1381,机构,5
1377,贸易,5
622,实体,5
10,人 ,5
666,常年,5
670,旱,5
802,研判,5
990,城区,5
1839,海啸,5
787,级,5
179,镇,5
784,核,5
177,发生 ,5
752,项目,5
1321,灾害点,5
1341,调查,4
1079,平台,4
1305,降水,4
1355,研究,4
1616,赤字,4
1354,可能性,4
325,标题,4
360,分配,4
362,家庭,4
1262,经济体,4
1587,发布,4
1342,现金,4
1542,事实,4
1444,状态,4
353,人们,4
1213,总部,4
1237,预测,4
1250,层面,4
1530,援助,4
544,节目,4
1022, 汛,4
969,培训班,4
535,支撑,4
612, 人们,4
618, 疫情,4
619,居民,4
620,消费,4
659,程度,4
530,通知,4
690,专业,4
523,任务,4
1845,管理部,4
769, 市,4
833,要求,4
480,灾难 ,4
464,民众,4
853,整治,4
854,行动,4
453,之一,4
863,范围,4
883,管理厅,4
437,来源,4
432,科技,4
894,补助,4
900,结果,4
906,模式,4
943,信息员,4
409,资产,4
963,责任人,4
1711,增速,4
397,衰退 ,4
895,使用,4
1399,时期,4
118,城乡,4
38,普查办,4
198,通缩,4
71,火山,4
127,备汛,4
203,房子,4
208,调研,4
292,地方,4
165,成员,4
164,党组,4
299,资本,4
39,主任,4
211,房,4
102,编制,4
189,芯片,4
256,状况,4
123,书记,4
119,规模,4
150,政治,4
242,压力,4
241,体系,4
713,手机,3
668,空间,3
830,副书记,3
679,内 ,3
822,水务局,3
180,小组,3
176,洪灾,3
159,常委,3
160,副市长,3
166,副局长,3
734,  一,3
807,人民币,3
163,规划局,3
193,供应,3
154,责任,3
775,村,3
1826,供电,3
743,趋势,3
716,目的,3
597,商品,3
645,冠病毒,3
542,安全 ,3
455,电,3
459,冲突,3
466,交通,3
471,举报 ,3
236,黑子 ,3
1977,债券,3
509,应急局,3
231,黑子,3
519,会议 ,3
533,局,3
540,工程,3
549,金砖,3
624,股市,3
1959,中 ,3
560,设施,3
561,议题,3
565,一行,3
566,资源部,3
571,行政村,3
573,电影,3
574,宣传,3
204,楼市,3
600,银行,3
201,钱,3
136,枢纽,3
1793,年景,3
836,意识,3
1505,面积,3
1596,联邦,3
1129,方法,3
1143,背景,3
1578,部长,3
43,水文,3
1167,降水量,3
1555,官方,3
1180,时 ,3
1547,牛奶,3
1185,生态,3
1541,研究员,3
1515,劳工部,3
1245,应对,3
1107,统筹,3
30,试点,3
1251,危,3
1253,主席,3
