,名词,词频
15, ,594
172,灾害,397
191,自然,157
19,  ,144
14,工作,136
240,地质,129
2,病虫害,98
13,防治,86
24,市,64
28,省,56
173,风险,55
246,会议,53
84,虫害,47
277,气象,44
416,地震,43
0,小麦,42
8,农业,41
29,政府,39
247,县,35
408,记者,35
10,部门,35
22,人员,33
488,天气,32
208,人,32
295,管理,29
272,普查,28
220,国,28
193,预警,28
227,减灾,27
117,安全,27
386,地区,27
33,防控,27
222,技术,26
742,气候,26
185,汛期,26
174,防御,26
198,中心,25
195,国家,25
126,监测,25
580,应急,24
226,防灾,23
332,情况,23
254,负责人,22
426,气象局,22
396,资源,22
160,能力,22
770,损失,21
100,时间,21
237,单位,21
200,演练,20
176,防汛,20
261,森林,20
900,形势,20
552,救灾,20
456,系统,20
196,环境,19
187,海洋,19
703,专家,19
144,影响,19
114,农作物,19
239,山洪,17
724,生产,17
78,公司,17
301,人民,17
360,区,17
826,病虫,17
603,群众,16
890,时期,16
225,全国,16
417,信息,15
743,气温,15
115,保障,15
32,精神 ,15
252,资源局,15
378,   ,15
670,管理部,15
990,草原,14
566,隐患点,14
499,危害,14
171,水旱,14
83,方案,14
433,乡镇,14
379,其中,14
837,农村局,14
288,水利,14
38,讯,14
948,会商,14
1212,社区,13
389,新闻,13
313,种植,13
556,生活,13
234,办公室,13
278,水,13
992,分析,13
266,工作 ,13
253,管理局,13
87,活动,13
2313,实验室,12
162,蚜虫,12
189,防范,12
601,工程,12
380,降水,12
927,人类,12
1040,水库,12
202,事件,12
104,过程,12
31,电话,12
370,问题,12
2029,我国,11
89,区域,11
354,暴雨,11
236,地,11
175,水利局,11
427,措施,11
391,通讯员,11
30,电视,11
192,资源部,11
678,现场,11
644,当地,10
53,柑桔,10
815,趋势,10
536,视频,10
737,常年,10
1071,发生,10
152,生长,10
149,花,10
1229,总体,10
177,隐患,10
1914,植物,10
223,委员会,10
577,抢险,10
231,发展,10
1272,害虫,10
128,组织,10
127,预警 ,10
400,规划,10
690,队伍,10
284,指挥部,10
390,电,10
3,赤霉病,9
506,泥石流,9
514,消息,9
207,城市,9
524,玉米,9
631,电影,9
232,基础,9
554,生命,9
1064,南方,9
145,植株,9
178,抗旱,9
135, 蚜虫,9
1829,年景,9
1015,洪涝,9
34,病 ,8
673,救援,8
7, 市,8
262,火灾,8
201,现象,8
864,面积,8
431,专题,8
347,社会,8
1283,柑橘,8
858,预防,8
928,灾难,8
364,方式,8
215,调查,8
305,街道,8
500,火山,8
828,叶片,8
632,培训,8
714,责任,8
294,建设,8
39,果树,8
1007,信息员,8
588,资源厅,8
522,程度,8
345,数据,8
341,手机,8
662,普查办,8
335,事故,8
339,方面,8
401,生态,7
73,病害,7
283,副局长,7
255,季度,7
375,预案,7
279,旱,7
816,研判 ,7
297,交流,7
303,镇,7
1434,蔬菜,7
307,主任,7
813,降雨,7
908,产量,7
2194,海啸,7
655,媒体,7
720,领导,7
605,安全 ,7
989,领域,7
604,财产,7
987,研判,7
985,因素,7
1034,物资,7
118,重点,7
1083,蜘蛛,7
1127,台风,7
1146,评估,7
493,灾情,7
606,制度,7
668,  一,7
874,居民,7
694,小编,7
421,服务,7
457,科学,7
926,世界,7
939,经济,7
1265,周围,7
782,作者,6
688,市委,6
682,知识,6
952,滑坡,6
282,人口,6
903,要求,6
634,文化,6
956,使用,6
650,学校,6
276,地震 ,6
287,一行,6
407,时刻,6
1016,治理,6
289,设施,6
780,来源,6
399,空间,6
870,树,6
430,部署,6
432,培训会,6
440,责任人,6
1175,洪水,6
479,伤亡,6
480,灾害 ,6
12,力量,6
731,国务院,6
545,干部,6
1059,时候,6
852,防控 ,6
9,农村,6
583,成员,6
411,检查,6
721,业务,6
747,原因,6
800,准备,6
190,处置,6
1827,研究,6
88,范围,6
77,生物,6
161,虫害 ,6
54,类型,6
243,县委,6
1830,偏差,6
1602,水稻,6
120,作物,6
1795,北部,6
116,粮食,6
119,任务,6
1793,道路,6
1624,庭院,5
568,排查,5
907,白菜,5
935,干旱 ,5
1045,景区,5
1540,海域,5
1033,培训班,5
758,设备,5
1717,北方,5
879,农技,5
1026,乡,5
853,条锈,5
575,应急局,5
141,处理,5
578,体系,5
26,统治,5
1315,预测,5
946,城乡,5
324,企业,5
382,交通,5
1288,下旬,5
549,辖区,5
1123,自治区,5
94,家庭,5
477,统计,5
491,山体,5
898,副市长,5
164,月,5
460,冰川,5
55, 虫害,5
455,之一,5
508,海啸 ,5
445,研究院,5
726,条件,5
674,调研,5
1482,绿化,5
1699,变化,5
1267,虫子,5
681,规划局,5
1268,种类,5
730,中央,5
1093,协会,5
311,低温,5
20,植保,5
406,红网,5
593,通知,5
1163,教育部,5
2234,民众,5
1358,猕猴桃,5
42,方法,5
280,内容,5
1363,农药,5
639,意识,5
2094,辣椒,5
248,级,5
986,减灾委,5
2337, 风雹 ,4
2195,结果 ,4
188,高发期 ,4
414,常委,4
86,鼠害,4
244,副书记,4
821,中旬,4
1259,爆发,4
1088,幼虫,4
274,会 ,4
74,果实,4
1909,草莓,4
1684,特点,4
535,图片,4
156,地方,4
539,平台,4
1072,数量,4
218,行业,4
393,时 ,4
1559,作用,4
2193,修订,4
82,解决,4
1566,废水,4
1788,家,4
184,年度,4
1518,农民,4
2196,沿岸,4
1565,核,4
481,切坡,4
1606,期间,4
1693,蝗灾,4
909, 白菜,4
489,预报 ,4
1179,风险 ,4
496,下面,4
1186,发生 ,4
2202,水利部,4
1193,降水量,4
1845,部长,4
897,市政府,4
260,洪涝 ,4
376,编制,4
1224,日报,4
2235,电力,4
1387,品质,4
265,应对,4
1237,值班,4
894,调研员,4
1381,效果,4
917,整治,4
719,项目,4
918,行动,4
1995,农村部,4
269,天气 ,4
823,虎皮兰,4
397,开发,4
25,统防,4
760,专业,4
1006,个人,4
2191,深度,4
1343,卫生,4
608,指挥,4
834,部分,4
945,住房,4
219,标准,4
1876,洪灾,4
299,精神,4
861,田间,4
1296,梢,4
585,会议 ,4
1039,水平,4
1311,消杀,4
2415,枸杞,4
954,补助,4
298,党组,4
2129,油菜,4
942,管理厅,4
1290,黑痘病,4
350,风雹,4
824,叶子,4
129,防治 ,4
2190,震源,4
652,市场,4
779,目的,4
1285,黄龙病,4
1307,螨,4
2269,中 ,4
595,局,4
1571,热带,4
1572,气旋,4
576,客户端,4
2189,群岛,4
830,土壤,4
302,副县长,4
1901,报告,4
955,资金,4
1141,保障处,3
940,指导,3
638,防汛 ,3
1137, 汛,3
664,统筹,3
98,入口,3
614,金砖,3
505,洪 ,3
1568,全球,3
2066,西部,3
2096,金龟子,3
597,支撑,3
490,降雨 ,3
964,避险,3
1509,书记,3
1151,师生,3
1553,厅,3
1019,演练 ,3
498,地灾,3
165,药物,3
138,播种,3
1134,公报,3
2300,偏差 ,3
2256,官方,3
1135,热点,3
1564,地面,3
916,防灭火,3
2259,发布,3
679,同志,3
1080,养护,3
932,春,3
544,村,3
675,调研组,3
546,派出所,3
2267,成果,3
548,卫生院,3
991,灭火,3
1060,星期,3
1067,夏季,3
2273,停电,3
1065,状态,3
150,光照,3
1063,高温,3
672,处长,3
147,生长期,3
1579,规模,3
647, 山,3
2263,温度,3
1115, 水,3
131,南瓜,3
1124,备汛,3
2221,冷冻,3
953,灾,3
2097,树莓,3
1996, 气象局,3
157,小时,3
1999,崩塌,3
642,防护,3
1562,规律,3
680,监测员,3
666,责任 ,3
610,科技,3
1002,小组,3
958,页 ,3
1086,成虫,3
1112,网 ,3
444,控制,3
368,隐患 ,3
1276,副主任,3
321,劳动者,3
1318,介绍 ,3
775,人们,3
328,公众,3
835,条锈病,3
839,分管,3
1814,地图,3
2144,阶段,3
1309,事,3
1308,大户,3
768,会商会,3
860,中心 ,3
352,历史,3
757,记载,3
756,事情,3
2187,试点,3
872,市民,3
45,春季,3
371,清单 ,3
81,药剂,3
744,同期,3
1282,害虫 ,3
384,    ,3
740,涝,3
1678,病,3
197,预报,3
392,电视台,3
1898,州,3
1329,药 ,3
778,文,3
233,宣传,3
1411,大葱,3
1655,防治师证,3
258,大风 ,3
259,冰雹,3
1412,价值,3
37,网,3
1394,枝条,3
814,副省长,3
271,等级,3
1867,供电,3
818,雨水,3
235,通知 ,3
230,筑牢,3
316,霜冻,3
822,往年,3
229,主题,3
1425,主管,3
1874,抗灾署,3
1356,背面,3
789,文章,3
788,评论 ,3
787,反馈 ,3
786,举报 ,3
44,休眠期,3
1344,虫,3
1887,观赏,3
394,栏目,3
962,结果,3
1275,推广,3
1782,死亡 ,3
891,植保站,3
398,国土,3
1489,螟虫,3
710,排查 ,3
2338,雪灾 ,3
1244,实战,3
1230,雨雪,3
1271,参考,3
1210,场所,3
56,木虱,3
423,产品,3
452,研究所,3
1228,发布会,3
182,汛,3
415,地震局,3
441,水务局,3
1174,思维 ,3
402,修复,3
1162,大学,3
443,智能,3
1785,死亡,3
194,监测司,3
902,推进,3
1173,底线,3
725,经营,3
403, 耕地,3
404,保护,3
473,南,3
1922,小白菜,3
825,外 ,2
896,传达,2
1658,官网,2
1640,局面,2
915,编辑 ,2
829,长势,2
1567,海里,2
1613, 纹,2
914,敌百虫,2
913,霜霉病 ,2
957,政策,2
951,冷冻 ,2
899,担当 ,2
912,百菌清,2
1612,病虫源,2
911,多菌灵,2
1657,收费,2
1656,报名,2
901,严峻性,2
910, 病虫害,2
904,莲座期,2
807,勘查院,2
895,推进会,2
947,建设厅,2
961,分配,2
1706,民族,2
1671,了解,2
1576,调水,2
865,政务,2
866,热线,2
1625,品种,2
2105,树干,2
906, 硫酸钾,2
885,农 ,2
2118,主人,2
1588,偏多 ,2
878,报,2
1712,节气 ,2
881,县 ,2
1587,海浪,2
883,名单,2
938,农户,2
1700,西南,2
950, 局地,2
2135,茉莉花,2
1569,元素,2
893,综合科,2
831,位置,2
1696,危机,2
832,细菌,2
1615,草地,2
1616,贪夜蛾,2
892,站长,2
1637,农产品,2
943,水利厅,2
888,原则,2
886,质量,2
850,米,2
2136,白点点,2
1633,经验,2
905,尿素,2
1407,蔬菜 ,2
969,模式,2
1301,70 甲基硫菌,2
1280,柑橘病,2
1281,高发,2
1787,期,2
1449,开花,2
1284, 木虱,2
1286,途径,2
1287,病菌 ,2
1289, 萌芽期,2
1448,观赏性,2
1291,毛毡病,2
1292,芽,2
1293,露绒期,2
1294,石硫,2
1295,合剂,2
1297,展叶,2
1298, 霜霉病,2
1299,1 0 7 ,2
1279,强度,2
1278,测报灯 ,2
1277,水稻 ,2
1780,单位 ,2
1775, 农业,2
1250,内涝,2
1251,话,2
802,基层,2
1777,林业局,2
1252,气象 ,2
1262,内部,2
1269,消长,2
1469,污染 ,2
1270,动态,2
1476,公园,2
1273,趋光性,2
1473, com,2
1274,灯,2
1786,人数,2
1470,源头,2
1300,波尔多液,2
1302,灵  ,2
1243,战勤,2
1447,花卉,2
1347,季节,2
1818,暴雨 ,2
1349,李子,2
1428,喇叭,2
1353,嫩梢,2
1426,机制,2
1354,汁液 ,2
1875,发言人,2
1422,春耕,2
1360,基地,2
1361,绿色,2
1417,北方 ,2
1369,创建,2
1374,目标,2
1832,灾害点,2
1399,土地,2
1838,愿景,2
1342,世界 ,2
1884,病菌,2
1338,疫情,2
1310,螨  ,2
1303,中下旬,2
1809,施工,2
1304,灰霉病,2
1305, 穗,2
1306,天敌  ,2
1439,布局,2
1813,清单,2
1312,人员处,2
1888,防制,2
1313,室内,2
1314,上升,2
1316,外部,2
1317,白蚁,2
1319,蟑,2
1895,病毒,2
1890,人士,2
1245,消防,2
1774,应急厅,2
972, x ,2
1747,恐慌 ,2
2058,高原,2
1551,幸福,2
1023,融,2
2057,黄土,2
1550,意识 ,2
1549,热情 ,2
1548,参与,2
1041,水电站,2
1043,培训 ,2
2040,干旱,2
1057,小区,2
1736,灾 ,2
1737,破坏 ,2
1738,水灾,2
1070,基数,2
1745,网上,2
1746,愤怒,2
2059,防治区,2
1020,气象台,2
1552,扫一扫,2
2070, 记者,2
2079,系列,2
988, 水利 ,2
1561,破坏,2
1558,时效性,2
2076,6 ,2
2075,战地,2
2073,自然灾,2
1004,车辆,2
2063,东南部,2
1005,装备,2
1557,救助,2
1556,准确性,2
1555,掌控,2
1554,专业化,2
1010,成绩,2
2065,山区,2
1075,园林,2
1085,牛奶,2
1241,枢纽,2
1095,世纪,2
1157,减灾 ,2
1973,三文鱼,2
1507,调查 ,2
1506,国力,2
1166,战略,2
1168,抗洪,2
1505,国情,2
1184,房屋,2
1187,境内,2
1952,青菜,2
1951,小鸟,2
1197,个数,2
1201,附近,2
1203,房 ,2
1232,沙尘 ,2
1235, 钟,2
1239,值守,2
1155,教,2
1154,讨论,2
1508,普查 ,2
1129,山火,2
1099,创新,2
1100,国际,2
1107, 诸,2
1410,必需品,2
1994,运输部,2
1126,防洪,2
1750,地矿,2
1751,院,2
1153,学员,2
1143,报灾,2
1145,办法,2
1514,微信群,2
1148,民兵,2
1149,素质,2
1150,讲座,2
1152,互动 ,2
2473,茄子,2
1652,蚜虫 ,2
2268,停水,2
519,棉花,2
46,翘皮 ,2
199,预警报,2
2213,底数,2
2451,芦荟,2
2216,塌陷,2
48,主干,2
2312,开放,2
110,色调 ,2
36,甘蔗,2
249,动员 ,2
2292,村民,2
113,农村厅,2
250,死守 ,2
52,裂缝,2
2314,培育,2
684,形式,2
2222,雪灾,2
242,工作会,2
317,影响 ,2
2350,全民,2
167,修剪 ,2
728,实施,2
2271,网站,2
6,丰产,2
723,自治县,2
722,瑶族,2
105,功能,2
717,规章,2
2198, S ,2
2199, W ,2
2200,震级,2
712,表,2
2201,部,2
2270,供应,2
623,座谈会,2
2301, 气象,2
16,夏粮,2
704,教授,2
565,林业,2
27,现场会,2
2316,省部,2
653,密集区,2
649,易发区,2
648,洪,2
646, 水库,2
645,山塘,2
643,屏障,2
641,互救,2
179,手,2
640,自救,2
572,对象,2
148,月季,2
146,生长 ,2
633,学生,2
504,滑坡 ,2
629,行政村,2
2298,指示,2
574,桌面,2
2297,总书记,2
651,农贸,2
654,广播,2
251,保安,2
2315,建设点,2
2293,新房,2
2261,创作者,2
462,城郊,2
669, 区,2
2441,识别,2
570,范围 ,2
667, 四,2
665,协调,2
571,威胁,2
292,堤防,2
137, 防,2
139,种子,2
291,保险,2
268,大风,2
658,间 ,2
657,直播,2
582,省海指,2
453,野外,2
729,党,2
732,决策,2
534,声明 ,2
