,名词,词频
1, ,742
0,风暴,283
665,灾害,244
75,  ,202
662,自然,122
227,舞蹈,108
296,工作,87
6,人,75
1028,节目,67
441,风暴 ,62
1614,风险,58
1567,舞者,54
2427,普查,50
81,时间,46
2431,地质,45
575,记者,42
294,会议,39
278,国,39
2584,管理部,38
730,全国,35
387,青年,34
890,国家,31
176,情况,30
1948,卫视,29
1866,防御,28
88,公司,27
2410,防治,27
475,中心,26
1097,市场,26
1588,地区,25
212,发展,25
2738,洪涝,24
2420,地震,23
346,部门,23
19,玩家,22
2454,应急,22
2423,国务院,22
250,世界,22
2753,气象,21
684,   ,21
685,省,21
639,社会,20
523,新闻,19
1877,观众,19
59,人民,19
474,经济,18
288,我国,18
808,中央,17
542,历史,17
517,游戏,17
1598,竞技,16
785,任务,16
409,城市,16
124,活动,16
2475,预警,15
84,官方,15
358,行业,15
361,企业,15
369,视频,15
376,现场,14
412,能力,14
362,事件,14
423,专家,14
228,汽车,14
2487,水旱,14
667,管理,14
302,地,14
534,救援,14
16,装备,14
63,安全,13
500,电影,13
2416,救灾,13
179,英雄,13
208,市,13
389,改革,13
104,生活,13
388,社区,13
404,头脑,13
2452,监测,13
246,力量,13
233,服务,13
210,艺术,12
1725,金融,12
1068,责任,12
60,群众,12
2153,程度,12
580,单位,12
1029,内容,12
478,发布,12
2422,普查办,12
87,媒体,12
215,精神,12
140,季,12
1115,电,12
1344,影响,12
1448,鉴证官,12
872,国际,12
61,生命,11
1730,分析,11
411,治理,11
112,舞台,11
1313,问题,11
2057,搭档,11
2444,气候,11
218,党,11
770,全球,11
79,南方,11
1114,工程,11
267,教育,11
1542,信息,11
2698,总书记,11
56,交通,10
836,天气,10
303,政府,10
888,月,10
433,系统,10
2474,资源部,10
1997,消息,10
165,大学,10
1112,疫情,10
13,小编,10
1453,综艺,10
3037,房屋,10
378,资源,10
184,比赛,10
477,来源,10
2486,水利部,10
277,台风,10
1670,气象局,10
31,科技,10
395,主题,10
29,设计,10
2713,汛期,10
2673,森林,10
2467,试点,9
1053,国内,9
1613,研究,9
1756,美债,9
2068,环节,9
293,党委,9
2458,体系,9
2552,损失,9
309,领导,9
183,方面,9
2058,排位赛,9
2065,节目组,9
2496,副部长,9
2413,防灾,9
2146,竞技秀,9
92,联赛,9
73,疫苗,9
522,集团,9
742,当地,9
636,建设,9
2421,海啸,9
555,期间,8
553,乐园,8
498,地球,8
193,前夕,8
2557,水,8
204,版本,8
614,机构,8
90,球员,8
89,青春,8
2708,火灾,8
219,周年,8
513,成员,8
287,法院,8
610,证券,8
366,案件,8
608,监管,8
55,道路,8
1878,银行,8
51,数字化,8
356,报告,8
718,足球,8
660,网站,8
1302,武器,8
1583,洪水,8
1821,技术,8
276,台风 ,7
2706, 风雹 ,7
686,工作 ,7
368,网,7
704,讯,7
1757,收益率,7
1074,中 ,7
2674,草原,7
2515, 区,7
350,调查,7
425,模式,7
859,系列,7
222,广播,7
1401,进攻,7
254,人物,7
729,时代,7
146,赛制,7
137,冠军,7
2703,年景,7
2471,深度,7
463,价值,7
1132,人员,7
1283,其中,7
2871,减灾,7
237,人士,7
1574,自治区,7
1902,强,7
3062,山洪,7
1233,之一,7
644, 市,7
783,选手,7
403,小组,7
646,办公室,7
678,农业,7
650,意见,7
2176,暴风,7
23,效果,7
1183,同时,7
663,资源厅,6
273,季度,6
2483,地震 ,6
638,大会,6
2488,部长,6
245,热带,6
643,作用,6
