"results_author","results_date","results_des","results_img","results_title","results_url"
"网易","14小时前","26.涉疫案件中妨害传染病防治罪与以危险方法危害公共安全罪的竞合与区分规则 温登平(406) 27.妨害疫情防控行为的刑法规制研究 ——从突发性公共卫生事件切入 陈禹衡(425) 28.《法律方法》稿约 ...","https://dss2.bdstatic.com/6Ot1bjeh1BF3odCf/it/u=1637728957,2154844851&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=25A06EB23C808D491637421C030060FD&sec=1618987053&t=5544b0d744ef55159b80d7bfd5a05083","《法律方法》第32卷要目|刑法|国际法|侵权法_网易订阅","https://www.163.com/dy/article/G802LACE0530W1MT.html"
"邢台文旅","昨天22:45","中华人民共和国国境卫生检疫法(2018修正)发布:2018-04-27实施:2018-04-27第一章 总则第一条为了防止传染病由国外传入或者由国内传出,实施国境卫生检疫,保护人体健康,制定本法。第二条在中华人民共和国国际通航的港口、机场以及陆地边...","https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=1514791093,140480035&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=013AD7B3E20306E21DA46C3503009061&sec=1618987053&t=a58f40a50948c43a19d74657c6bd9f8d","中华人民共和国国境卫生检疫法","https://baijiahao.baidu.com/s?id=1697480469468493791&wfr=spider&for=pc"
"潇湘晨报","昨天22:20","春夏交替时期,天气忽冷忽热,正是细菌和病毒出没和入侵高峰, 目前,我市已有个别学校出现了以下两种传染病,学校师生和家长我们都要高度重视哦。常见传染病2号预警来了,让我们一起行动起来,筑牢防疫屏障!1水痘症状:皮肤粘膜出现斑丘疹、水疱...","https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=1021441841,140478791&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=2A0C782389D341EB1D7418CF0300C022&sec=1618987053&t=7ca63d2e339b9e47f7c6af306c463416","「健康」春夏季学校常见传染病2号预警来了","https://baijiahao.baidu.com/s?id=1697479140180118228&wfr=spider&for=pc"
"央广网","昨天21:26","央广网北京4月19日消息(记者 宋雪)日前,国家卫生健康委发布通知,国家神经疾病、传染病医学中心落户上海和北京,形成南北协同、优势互补的模式,建立多中心协同工作机制,带动全国神经疾病医学和传染病医学领域的建设与发展。 国家卫健委决定,...","https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=1757952732,140475595&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=5942E01297F845887476B4C9020050B1&sec=1618987053&t=3bcd3e8cd44984203d44d7c2a3c7034a","国家卫生健康委设立神经疾病医学和传染病医学中心","https://baijiahao.baidu.com/s?id=1697475658553205786&wfr=spider&for=pc"
"搜狐网","昨天21:23","冒险家调查诺伊佩拉后发现传染病的根源是来自一个叫狄瑞吉的使徒,虽然仅仅是一个幻影就足以让周围的村庄毁灭,这就是使徒的可怕之处。","NoPicture","DNF主线剧情配音7:调查传染病的根源","http://news.sohu.com/a/461724166_120579586"
"腾讯网","昨天21:18","泊头的李先生爱吃涮羊肉,涮羊肉他喜欢五成熟,烫一烫就吃,认为这样吃起来又鲜又有嚼劲。没想到,这个习惯给他的健康带来了麻烦。近日,李先生因持续发热来到沧州市传染病医院就医,经过感染综合科耿建洪主任仔细问诊,对症检查,确诊他患上...","NoPicture","吃羊肉爱吃一口“鲜”小心布病找上门|沧州市传染病医院|布氏菌病|...","https://xw.qq.com/cmsid/20210419A0DP4K00"
"网易","昨天20:29","手足口病是由肠道病毒引起的儿童常见传染病,以手足臀口处斑丘疹、疱疹为主要特点,多伴有发热。 ● 轻型的表现为急性发病,在口腔、手足处出现疱疹和斑丘疹,在出疹的同时或者出疹前可能会出现发热,大部分是低热,小于38.3摄氏度。 ","https://dss0.bdstatic.com/6Ox1bjeh1BF3odCf/it/u=1665673956,2275838748&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=D02196568CC82549183252420300F0F9&sec=1618987053&t=9b00446297acb6fc4897d8ba148651d8","柳州家中有娃的注意了!四月这种传染病正高发!这些遛娃场所要当心!","https://www.163.com/dy/article/G7VM41SQ0534B2XZ.html"
"腾讯网","昨天17:50","专家简介:沈毅 丹东市第六人民医院感染科主任、副主任医师,丹东市感染性疾病质控中心专家委员会常委、丹东地区突发卫生公共事件应急专家之一、丹东市医学会传染病学分会委员、丹东市卫生计生行政审批评审专家。从事传染病临床工作26年来,他...","https://dss1.bdstatic.com/6OF1bjeh1BF3odCf/it/u=1506836579,796639381&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=6B531E9A8FD24CC81CE438EE0300F0F3&sec=1618987053&t=84149f97c575cf688492fd648ad3f94b","丹东市第六人民医院传染病专家健康提醒:春季、夏季传染病防控原则...","https://new.qq.com/omn/20210419/20210419A0A44F00.html"
"腾讯网","昨天17:50","在医疗技术落后、医疗物资匮乏的延安时期,党中央为有效控制传染病流行,于1940年5月成立了延安防疫委员会,李富春任主任,刘景范为副主任。党中央在延安中央大礼堂召开防疫会议,以防疫委员会为延安防疫运动中的最高领导机关。之后,健全各单位...","https://dss1.bdstatic.com/6OF1bjeh1BF3odCf/it/u=367615232,1154663328&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPG?s=FECA72234E5060C29C30F5C2010060B1&sec=1618987053&t=c264fd14332917f7550356478cfe7959","党史中的卫生健康事业(八)延安时期","https://new.qq.com/omn/20210419/20210419A0A4MW00.html"
"潇湘晨报","昨天17:40","来源:小大夫漫画 【来源:青浦科普】 声明:转载此文是出于传递更多信息之目的。若有来源标注错误或侵犯了您的合法权益,请作者持权属证明与本网联系,我们将及时更正、删除,谢谢。 邮箱地址:newmedia@xxcb.cn 举报/反馈 发表评论 发表 ...","https://cambrian-images.cdn.bcebos.com/a51d142ac7625feda1002f0c739ae255_1606863438588053.jpeg@w_100,h_100","「科普知识」养成这6个好习惯,远离传染病,全家都受益!","https://baijiahao.baidu.com/s?id=1697464580233686943&wfr=spider&for=pc"
