"results_author","results_date","results_des","results_img","results_title","results_url"
"上游新闻","1小时前","4月20日,封面新闻记者从四川甘孜州理塘县公安局交通警察大队获悉,甘孜藏族自治州227国道1675公里+700米处(理塘县境内君坝乡往新龙县方向3公里处)发生山体滑坡,导致新龙县至理塘县道路交通中断。 ","https://dss1.bdstatic.com/6OF1bjeh1BF3odCf/it/u=4120209357,4229832667&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=0F30598074052AEE441944920300C092&sec=1618986666&t=c7bba40bc1d3d5f02e054c15da38bcb0","注意!国道227发生山体滑坡 新龙至理塘交通中断","https://www.cqcb.com/shuangcheng/2021-04-20/4026689_pc.html"
"网易","2小时前","受连日降雨的影响,4月13日晚上8时至14日下午6点时,修山镇省道319凤林港地段先后发生8起山体滑坡,导致当地交通完全中断。险情发生后,当地政府第一时间赶到现场进行处置,在公路两侧设置警示牌。随后又牵头组织公路、交通、自然资源等部门...","NoPicture","桃江:省道319修山镇段8起山体滑坡?连续紧急抢修72小时半幅通车","https://www.163.com/dy/article/G81B47PF0534AANO.html"
"九派新闻","3小时前","紧邻山体防护措施缺失 经自然资源部门初步调查认定,引发本次山体滑坡事件的主要原因是:切坡建房。事发前一周,远在上海的薛女士返乡看望父亲,住进了这栋新房靠近山体部位的卧室,不料被滑坡泥土击穿墙体导致掩埋遇难。  湖南六成以上地灾...","https://dss2.baidu.com/6ONYsjip0QIZ8tyhnq/it/u=3263533499,140527369&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=28D036D05A2B2401509C007703000073&sec=1618986666&t=81da141b6b97c7e33055836716c8970b","益阳一女子不幸被滑坡体掩埋!紧急提醒:临坡切坡建房一定要注意","https://baijiahao.baidu.com/s?id=1697531279182909590&wfr=spider&for=pc"
"中华网","3小时前","展示方案:在建筑结构、建筑材料、岩土工程防震减灾的应用领域,新拓三维光学应变测量产品可用于地震震动模拟、岩石劈裂、混凝土弯曲、边坡地震台震动、山体滑坡等实验场景,为防震材料与结构性能测试提供强有力支撑。 ","https://dss2.bdstatic.com/6Ot1bjeh1BF3odCf/it/u=4167297357,779830224&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=D4D2EA2174605D1F8820E8550100C0F0&sec=1618986666&t=939bba6d29b584fb049ccf0b774edfda","这个4月,新拓三维亮相系列航空航天、材料力学、管材成形学术会议","https://tech.china.com/article/20210420/042021_757037.html"
"腾讯网","3小时前","1.防范持续降水可能造成的山体滑坡、崩塌等地质灾害的发生。 2.注意抓住降水间歇有利时机,做好早稻移栽工作。 编辑/ 小白 主编/ 飞飞 来源:湘潭气象服务 •END• 点分享 点点赞 点在看展开...","NoPicture","雨一直下!“谷雨”来了,湘潭1周后才能唱“晴”歌?","https://xw.qq.com/amphtml/20210420A03ACR00"
"网易","4小时前","受持续强降雨侵袭,4月12日凌晨0点30分左右,益阳市桃江县武潭镇崇山坪村杨家村组,突然发生了山体滑坡,一处新建的房屋因此受损。 事发时房内共住了两人,69岁的薛先生听到响声逃了出来。他37岁的女儿,却被掩埋其中。 ","https://dss2.bdstatic.com/6Ot1bjeh1BF3odCf/it/u=1434158677,418062670&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=16A1D20194526A6718A17EE10300F000&sec=1618986666&t=517737d23926ae2952b60583065bf052","山体滑坡!益阳一女子不幸被滑坡体掩埋","https://www.163.com/dy/article/G812R16B05349U5B.html"
"网易","5小时前","受持续强降雨侵袭,4月12日凌晨0点30分左右,益阳市桃江县武潭镇崇山坪村杨家村组,突然发生了山体滑坡,一处新建的房屋因此受损。 事发时房内共住了两人,69岁的薛先生听到响声逃了出来。他37岁的女儿,却被掩埋其中。 ","https://dss2.bdstatic.com/6Ot1bjeh1BF3odCf/it/u=1063286061,903337496&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=549152919C426A4718A17EE103007020&sec=1618986666&t=961e7673263c0ed5c5d26bd38aa0ee23","山体滑坡!益阳一女子不幸被滑坡体掩埋…紧急提醒:临坡切坡建房...","https://www.163.com/dy/article/G810NPLU0530S6GI.html"
"网易","昨天23:58","4月17日傍晚,S548线隆回县大水田至香溪段发生山体滑坡,公路被掩埋,交通完全中断。在接到该路大水田乡分路长报告情况后,隆回县公路建设养护中心抢险突击队紧急出动,冒雨抢险,至次日凌晨12时,道路恢复通行。 ","https://dss0.bdstatic.com/6Ox1bjeh1BF3odCf/it/u=2966951973,1954379350&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=4D41B944D2B1002735C43C8203003090&sec=1618986666&t=f412381e56a721f8fff69cf08ece6e70","邵阳这里发生一起山体滑坡,目前已恢复通行!","https://www.163.com/dy/article/G8021VSA0514BTAK.html"
"网易","昨天17:32","今天笔者想要和大家分享的内容是,大学生晒和老爸的聊天记录,父爱如山体滑坡,为何受伤的总是我,让我们一起去看一看到底是什么样的聊天记录吧! 大学生晒出和爸爸的聊天记录,看完笑到肚子疼 ...","https://dss0.bdstatic.com/6Ox1bjeh1BF3odCf/it/u=2931245675,2554429904&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=4392E72BC4EA8F0D6C55E4DB0100C0B2&sec=1618986666&t=90ea66d209c6de704e117dd9214634de","大学生晒和老爸的聊天记录,父爱如山体滑坡,直叫人哭笑不得","https://www.163.com/dy/article/G7VBUM8G05414IY4.html"
"腾讯网","昨天15:34","4月17日傍晚,S548线隆回县大水田至香溪段发生山体滑坡,公路被掩埋,交通完全中断。在接到该路大水田乡分路长报告情况后,隆回县公路建设养护中心抢险突击队紧急出动,冒雨抢险,至次日凌晨12时,道路恢复通行。 打开腾讯新闻,查看更多图片...","NoPicture","隆回:大雨致山体滑坡,公路部门连夜抢通道路","http://new.qq.com/omn/ENT20190/20210419A07FS100.html"
"潇湘晨报","2小时前","【本站4月20日讯】为切实加强今年水旱灾害风险防御工作,慈溪市水利局高度重视,提前部署,深入排查防汛安全隐患,坚持防汛抗旱两手抓,确保安全度汛。 一是提前部署,全面开展汛前自查。2月下旬,慈溪市水利局下发《关于开展2021年度水旱灾害防御...","https://cambrian-images.cdn.bcebos.com/a51d142ac7625feda1002f0c739ae255_1606863438588053.jpeg@w_100,h_100","慈溪:全面筑牢水旱灾害防御安全网","https://baijiahao.baidu.com/s?id=1697532900695276565&wfr=spider&for=pc"
"九派云旅","2小时前","4月15日,浙江进入汛期,汛期的到来意味着我省海洋灾害也进入了高发期。为切实提高海洋灾害防范和应急处置能力,4月15日下午,浙江省参加了由自然资源部海洋预警监测司指导、国家海洋环境预报中心组织的2021年海洋灾害预警报应急演练,浙江作为...","https://cambrian-images.cdn.bcebos.com/32f18f599ffb716bb3a02cb75516f3e7_1692285652438042.jpeg@w_100,h_100","浙江参加2021年海洋灾害预警报应急演练","https://baijiahao.baidu.com/s?id=1697530912888182122&wfr=spider&for=pc"
"腾讯网","2小时前","也许像这样的自然现象听起来不像是“灾难性的”,但这次事件确实很可怕。闪电落入了一个装满火药的堡垒,造成非常大规模的爆炸,摧毁了大部分城市并夺走了大约3000人的生命。事件发生后,反对避雷针的教会开始允许放置它,还制定了有利于私人...","https://dss0.bdstatic.com/6Ox1bjeh1BF3odCf/it/u=3237351950,3928177908&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=93101CC74EA38B47522B202C0300D04A&sec=1618986668&t=1c1bb93c545d36dd6cc242991ff28a70","外国历史:出现过的15个事情,带来的都是巨大灾难","https://new.qq.com/omn/20210420/20210420A04RH200.html"
"网易新闻","2小时前","近日,根据2021年第20号自然资源部公告,《HY/T 0313—2021海洋灾害承灾体调查指南》(以下简称《指南》)推荐性海洋行业标准通过全国海洋标准化技术委员会审查并批准发布,将自6月1日起正式实施。 《指南》在自然资源部海洋预警监测司指导...","NoPicture","《海洋灾害承灾体调查指南》海洋行业标准正式发布","http://dy.163.com/article/G81BEQCG0514K880.html"
"中国江西网","2小时前","今年5月12日是我国第13个全国防灾减灾日,主题是“防范化解灾害风险,筑牢安全发展基础”。5月8日至14日为防灾减灾宣传周。赣州市减灾委员会办公室发出通知,要求各地、各有关单位做好2021年全国防灾减灾日有关工作。 ","NoPicture","今年全国防灾减灾日,赣州市要求这样做…","https://jxgz.jxnews.com.cn/system/2021/04/20/019252676.shtml"
"人民资讯","2小时前","4月12日,湖南省祁东县就防汛和山洪地质灾害防治召开工作会,县委副书记、县长彭丽堂出席会议并强调,全县各级各部门要打起十二分精神,全面动员,严防死守,切实做好防汛保安、地质灾害防治工作。 县水利局、县自然资源局、县应急管理局负责人...","https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=4173400213,140526020&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=6F020BC70A62069013BDF1120300C092&sec=1618986668&t=4603cf972423c280dd6ca59f640a6358","湖南祁东:严防死守,做好防汛和山洪地质灾害防治","https://baijiahao.baidu.com/s?id=1697529858338578727&wfr=spider&for=pc"
"潇湘晨报","2小时前","二季度是自然灾害多发易发期,春旱、春汛、大风、冰雹、局地洪涝、地质灾害、森林火灾等自然灾害均由有可能出现,平阳县多措并举,切实做好防范应对工作,确保万无一失。 一是做好监测预警。监测雷电、大风等恶劣天气,盯紧森林火险等级持续偏...","https://cambrian-images.cdn.bcebos.com/a51d142ac7625feda1002f0c739ae255_1606863438588053.jpeg@w_100,h_100","平阳县全力做好二季度自然灾害防范应对工作","https://baijiahao.baidu.com/s?id=1697532275185271288&wfr=spider&for=pc"
"湖南24小时","3小时前","请在wifi下点击播放 4月16日,武陵区召开第一次全国自然灾害综合风险普查工作动员会,明确自然灾害综合风险普查工作任务。副区长高波参会。 此次普查范围涵盖地震、地质、气象、水旱、森林等自然灾害类型。内容包括主要灾害致灾调查与评估,人口...","https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=2433249635,140523651&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=EAF00DC50E01144D13284CB203005002&sec=1618986668&t=4f72b1f2a524fb6a940a93031f6df886","武陵区启动自然灾害综合风险普查工作","https://baijiahao.baidu.com/s?id=1697527279528846468&wfr=spider&for=pc"
"腾讯网","None","3月22日,无锡市水利局副局长金雪林率无锡市防汛指挥部办公室、各县水利局和无锡人保财险一行来温州调研水利设施灾害保险,并与温州市水利局就水利设施灾害保险及堤防海塘建设和管理开展了座谈交流。温州市水利局党组副书记、副局长李红健参...","NoPicture","无锡市水利局来温调研水利设施灾害保险","https://xw.qq.com/cmsid/20210324A0FO6Z00"
"湖南24小时","3小时前","4月16日,为迅速贯彻落实全省地质灾害防治工作电视电话会议精神,澧县召开地质灾害防治工作调度会,县人民政府副县长丁保国主持会议。各镇人民政府镇长,各街道办事处主任,县自然资源局主要负责人以及县委宣传部、县发改局等相关单位分管负责人参...","https://cambrian-images.cdn.bcebos.com/2b8c89bba3e0dcf633035d5892d89cfc_1671002953130924.jpeg@w_100,h_100","澧县召开全县地质灾害防治工作调度会","https://baijiahao.baidu.com/s?id=1697526163342921838&wfr=spider&for=pc"
