"results_author","results_date","results_des","results_img","results_title","results_url"
"腾讯网","2小时前","将进一步加剧干旱形势 根据预测 “舒力基”沿菲律宾东部近海北上 强度缓慢减弱 22日以后逐渐转向东北方向移去 强度继续减弱 未来天气预报 昨天开始,鹭岛冷空气离场,气温逐日升高 今起至周五,逐渐回暖 ...","https://dss2.bdstatic.com/6Ot1bjeh1BF3odCf/it/u=2121467691,3300711365&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=D0E6BC44D414F5DE9D8C49980100C090&sec=1618986827&t=8e374b2de63d4e1ec11fc6498ed35378","热热热!厦门本周气温最高将达30℃+,周末天气还将……","https://new.qq.com/omn/20210420/20210420A04Y4B00.html"
"上游新闻","None","@海客新闻消息,据台媒报道,18日晚间七点多,台湾南投日月潭迎来一场大雨,雨势可谓“倾盆”,下得又急又快。虽然这场雨仅持续10分钟,但已让当地的店家和游客兴奋尖叫,“喜雨”照也瞬间刷屏。台媒称,台湾正面临56年来最严重的干旱 ,可...","NoPicture","日月潭终于下雨持续10分钟 民众兴奋拍照但仍感慨“干干的”","https://www.cqcb.com/headline/2021-04-20/4026143_pc.html"
"网易新闻","7小时前","日月潭干旱 惊现疑似乾隆年间墓碑 专家:不似文物2021-04-20 07:21 爱小土狗 台湾久旱不雨,各地水库水位不断下降,其中日月潭水库干涸到出现“大草原”奇特景象,更于潭底发现一块疑似乾隆年间的石碑。 有人日前去往日月潭观光,惊见刻...","NoPicture","日月潭干旱 惊现疑似乾隆年间墓碑 专家:不似文物","http://dy.163.com/article/G80RD1N7054084BI.html"
"环球网","昨天18:50","台湾缺水状况严峻,日月潭水位下降见底,一块疑似乾隆年间的墓碑意外浮出水面 00:18 举报/反馈 发表评论 发表  作者最新文章 社评:美率盟国围攻俄罗斯,发人深省 新西兰:我们不喜欢“五眼”这样! 刚刚!辽篮挺进4强!杨鸣工作室辟谣并严...","https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=4101405709,140466875&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=0BA47A229DDF828C3EA079320100A0C1&sec=1618986827&t=9413631f30cb382ecd3376b14de16f48","日月潭干旱见底 惊现疑似乾隆年墓碑","https://baijiahao.baidu.com/s?id=1697465955925934932&wfr=spider&for=pc"
"网易","昨天18:35","虽然为陈先生感到开心,但是也希望干旱早日过去。毕竟,没有水的日月潭,也许就要改名叫日月盆地了。 MODs 一族最爱的复古机车再现成都 MOD 文化源自20世纪60年代的英国,二战后出生的新一代年轻人追求自由、休闲和细节中的优雅,他们穿着得...","NoPicture","别的简报 | 世界上最大的兔子从主人家里被人偷走","https://www.163.com/dy/article/G7VFJ53N0541Q6AV.html"
"海峡导报","昨天17:06","厦门大学台湾研究中心副主任唐永红指出,蔡英文当局也知道台湾在水、能源等方面是短缺的,因此当初也的确提出了一些规划,但并未解决问题,像这次长时间的干旱下就出现了水荒,“表明她(蔡英文)上任以来所做的这些规划,并没有真正产生多大成...","https://dss2.baidu.com/6ONYsjip0QIZ8tyhnq/it/u=782403907,140458767&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=1431CD377AF2769034A44CDB03007022&sec=1618986827&t=9e4c9a636ba35db2a4113e75f27d7020","台湾遇百年大旱,蔡英文束手无策又喊话:大家一起多省水、多找水","https://baijiahao.baidu.com/s?id=1697457621892642451&wfr=spider&for=pc"
"腾讯网","昨天16:54","台湾日月潭干旱见底变“草原”,惊见疑似乾隆年间墓碑打量视频之两岸妙评 2021-04-19 16:54:24 关注 央视网打量视频旗下两岸频道,聚焦海峡热点,分享两岸交流新鲜事。台湾日月潭干旱见底变“草原”,惊见疑似乾隆年间墓碑 ...","NoPicture","台湾日月潭干旱见底变“草原”,惊见疑似乾隆年间墓碑","https://xw.qq.com/amphtml/20210419V08KOB00"
"腾讯网","昨天15:27","日月潭干旱见底变“大草原” 潭底惊现疑似乾隆年间墓碑 刻字曝光 50% 75% 100% 画中画 VIDt3240urdllo 播放模式chromehls 分辨率1600 x 1600 视频宽高864 x 486 音量0% 视频协议https CDNapd-d0d1b8e8d12caca580c890d9e0a97...","NoPicture","日月潭干旱见底变“大草原” 潭底惊现疑似乾隆年间墓碑 刻字曝光","https://new.qq.com/omn/20210419/20210419V06XM900.html"
"网易新闻","昨天07:07","请求广大网友求解,并张贴年历参考数据,「乾隆丙寅年」应为乾隆11年,即公元1746年。此讯息引起网友关心纷纷留言「发财了!」、「骨董」;有熟知史学人士表示,有可能是第一批来台开垦的汉人所留墓碑。 因台湾中部干旱,日月潭水位下降见底,...","NoPicture","大旱湖底挖到宝 日月潭惊见275年前清乾隆墓碑","http://dy.163.com/article/G7U87I460534LB24.html"
"网易","前天15:31","去年就是台风来得少,雨水也少,所以今年就干旱了。基本上台湾是四年就要来一次。 那有没有解决办法,当然有的,就是修水库嘛。把台风带来的雨水存起来的, 存得多用得多,如果能存两年用得,那基本上台湾永远不会缺水。 ","https://dss2.bdstatic.com/6Ot1bjeh1BF3odCf/it/u=2270354245,544889832&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=A894619408114CCE5480701C030090D0&sec=1618986827&t=cb1ed7c840be5b2ea1548e7ab21ffd61","台湾为什么会出现50年一遇的旱情?一起来分析下","https://www.163.com/dy/article/G7SIK41105373IBB.html"
