"results_author","results_date","results_des","results_img","results_title","results_url"
"九派云旅","1小时前","强化转移避险和抢险救援,立足于防范化解重大地质灾害风险,坚决果断转移危险区人员,确保应转尽转、不落一人,统筹好抢险救援力量,全力做好突发地质灾害应急处置工作,切实做到“防”和“救”的链条无缝对接;要处理好应急与平时的关系。地质...","https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=2309039636,140532645&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=FC80429B5A5329CA0EAA6BA30300E00C&sec=1618987897&t=1c274b916ed579bfba56a5df00cb3505","应急管理部地震地灾司赴我省开展地质灾害应急管理工作调研","https://baijiahao.baidu.com/s?id=1697536955726634408&wfr=spider&for=pc"
"气象小秘书","1小时前","省级工作开展情况:一是召开安徽省第一次全国自然灾害综合风险普查试点调度会,听取试点工作进展情况汇报,研究当前存在的主要问题,部署试点近期重点工作。二是组织参加第一次全国自然灾害综合风险普查第3次省级普查办主任暨省级技术组普查工作视...","https://cambrian-images.cdn.bcebos.com/b604caf6d9c89aba9ecfca597d6f0e25_1666454311203170.jpeg@w_100,h_100","省普查办通报自然灾害综合风险普查工作进展情况(之九)","https://baijiahao.baidu.com/s?id=1697537025547396930&wfr=spider&for=pc"
"腾讯网","1小时前","大兴安岭、黑河等地的水文部门要对易卡塞江段的高风险区域实时分析研判,及时启用沿江视频监控,在易发冰凌卡塞的江段要提前设立临时监测站点,安排专人观测和巡视,全面掌握易发生冰凌灾害的河段水情、凌情发展变化,提前发布预报预警信息。 ","https://dss0.bdstatic.com/6Ox1bjeh1BF3odCf/it/u=3906178209,646530564&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=6EB008C556F381CA0A2C25B00300D092&sec=1618987897&t=d63d0b2b8c554dd76fe221e2cfa2c53b","警惕!4月下旬,黑龙江上游或发生灾害","https://new.qq.com/omn/20210420/20210420A05QVF00.html"
"有书","1小时前","当灾难真正来临的时候,没有一个人能够幸免。 近几年,自然灾害频发。 澳洲山火,东非蝗灾,火山喷发,这一切都好像还是昨天的事儿,可一波未平一波又起。 就在一个月前,蒙古国北部地区出现暴风雪,戈壁草原地带则出现了强沙尘暴。 天空...","https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=2310213054,140532052&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=09A3DD170CD85CCC3CD9CD7403001030&sec=1618987897&t=1a8ab755ba807fcfd1d661e45763689e","日本强行将核污水排入大海,疫情尚未结束,另一场灾难又起","https://baijiahao.baidu.com/s?id=1697536326671771296&wfr=spider&for=pc"
"气象小秘书","1小时前","近日,贵港市自然资源局联合市应急管理局、市气象局、贵港水文中心、贵港地质环境监测站等四个部门召开2021年地质灾害气象风险预报预警会商会。 会议就进一步加强全市地质灾害气象预警预报业务合作事宜进行讨论,并对2021年气候形势变化及近年来...","https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=1893329480,140532262&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=BF104F85080226CC0A3DC0A70300E052&sec=1618987897&t=afc01a4f462a9fffa8784a37e90dee10","贵港市召开2021年地质灾害气象风险预报预警会商会","https://baijiahao.baidu.com/s?id=1697536538075332321&wfr=spider&for=pc"
"邯郸之窗","1小时前","各地要切实加强村庄规划编制实施,村庄各类开发建设活动应严格遵循村庄规划和防灾减灾要求,村民选址必须避开地质灾害危险区域;要加大对地质灾害隐患点和削坡建房风险点避险搬迁用地的保障力度,允许使用预留城乡建设用地规模,实施避险搬迁的农民...","https://dss1.bdstatic.com/6OF1bjeh1BF3odCf/it/u=2494218053,652495683&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=38AC7432054C55E94C48F8D6010050A0&sec=1618987897&t=127c980ef0378c1e4e7df12fb33aea44","常德地质灾害危险性评估单位丙级申请所需设备","http://www.hdzc.net/qysx/99m57py/17982522.html"
"潇湘晨报","1小时前","4月18日,梧州市市委书记全桂寿、市长钟畅姿率队组成检查组,对全市防汛备汛和防地质灾害工作进行检查,切实保障人民群众生命财产安全。 检查组来到旺村水利枢纽、长洲水利枢纽,检查防汛备汛工作、值班值守制度落实情况、枢纽设备运行等情况。","https://cambrian-images.cdn.bcebos.com/a51d142ac7625feda1002f0c739ae255_1606863438588053.jpeg@w_100,h_100","梧州市开展防汛备汛和防地质灾害工作检查","https://baijiahao.baidu.com/s?id=1697537004020681830&wfr=spider&for=pc"
"网易","1小时前","今天上午,市委书记全桂寿、市长钟畅姿率队检查防汛备汛和防地质灾害工作,并履行总河长职责开展巡河工作。他们强调,当前我市已进入汛期,各级各有关部门要进一步提高政治站位,加强组织领导和协同配合,狠抓责任落实,强化督查检查,扎实做好今年...","https://dss1.bdstatic.com/6OF1bjeh1BF3odCf/it/u=2564986770,2860179292&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=2AB247810201355700083512030010C0&sec=1618987897&t=cb7aff1e807b01c7c8069931d8335a37","...全桂寿钟畅姿检查防汛备汛防地质灾害工作及开展巡河工作","https://www.163.com/dy/article/G81ET8CF0537FKU8.html"
"湖北身边的事","2小时前","副省长曹广晶、赵海山和荆州市委常委、常务副市长向斌关于恩施市龙凤镇大转拐村滑坡的批示,4月12日至16日,荆州市自然资源和规划局党组成员、副局长谢俊刚率荆州地质环境监测保护站专家一行,对各县、市汛前地质灾害防范工作进行了为期一周...","https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=3880290465,140535683&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=F88923D176E3BAF81495401B030080D3&sec=1618987897&t=fe49378a664ab4015f3cc8a90723745c","市自然资源和规划局督办检查县市汛前地质灾害防范工作","https://baijiahao.baidu.com/s?id=1697540222964434827&wfr=spider&for=pc"
"九派云旅","2小时前","溆浦融媒讯 (通讯员 江林峰) 汛期即将到来,为确保人民群众生命财产安全,有效预防洪灾及地质灾害的发生,4月17日下午,桥江镇政府组织镇应急小组、镇卫生院医护人员共同开展了防汛及地质灾害应急演练。 演练前集结队伍 本次演练由桥江镇...","https://cambrian-images.cdn.bcebos.com/32f18f599ffb716bb3a02cb75516f3e7_1692285652438042.jpeg@w_100,h_100","...做实确保群众生命财产安全——桥江镇开展防汛及地质灾害应急演练","https://baijiahao.baidu.com/s?id=1697539089946835697&wfr=spider&for=pc"
