"results_author","results_date","results_des","results_img","results_title","results_url"
"腾讯网","None","当拉尼娜事件发生时,海洋上热带气旋一般数量偏多,非洲中部、美国东南部等地常发生干旱,巴西东北部、印度和非洲南部等地容易出现洪涝。而我国往往出现冷冬,降雨格局以“南旱北涝”为主。 不过,影响天气和气候的因素非常复杂,不确定性很大...","NoPicture","海洋温度上升0.5℃将会给天气气候带来怎样的变化?","http://new.qq.com/omn/ENT20190/20210322A06ULB00.html"
"周老师说科普","3小时前","如今为了使得干旱季节田地可以拥有充足的水源,中国也在不断地对水坝进行扩建,修建水坝不光可以提高水能的利用还可以治理大范围的洪涝灾害。但如今水坝的争议也越来越多,美国到目前为止已经拆掉了1600多座水坝,而中国的水坝数量已经来到了世...","https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=1143358368,140522001&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=B0256EB0164262EC4EB64952030010FA&sec=1618986940&t=bafe0d1c95b7da8f3fb9620235ccee45","美国已拆1600多座水坝,中国水坝数量世界第一,继续建还是该拆?","https://baijiahao.baidu.com/s?id=1697525541733296088&wfr=spider&for=pc"
"洛南通","5小时前","去年“8·6”暴雨洪涝灾害之后,洛南县灾后重建的思路更清、步伐更快。成立工作专班,全面推进农村村庄规划工作,专门设立村庄规划编制专项推进办公室,对全县215个行政村进行实地调查收集资料,将村庄规划分类工作相关目标任务进行细化分解。目...","https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=3346363836,140517836&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=972B62A1440A3D4754101C40030030D8&sec=1618986940&t=dc9b916f724d500bd18299916743208d","洛南通:当好秦岭生态卫士 让山更绿天更蓝水更清","https://baijiahao.baidu.com/s?id=1697521073602499085&wfr=spider&for=pc"
"网易","6小时前","区域性、阶段性暴雨洪涝灾害可能性大 部分地区可能有夏旱 江河水情总体属平水年景 可能出现旱涝并存局面 (网络配图) 湘江、郁江,柳江、桂江、贺江 及西江中下游干流等主要江河 可能发生2~5年一遇洪水 ...","https://dss1.bdstatic.com/6OF1bjeh1BF3odCf/it/u=2655825992,852869077&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=A5B5CC7C88506DCE553F85530300B09B&sec=1618986940&t=2b0d260215d2e1324816fac16be16486","最低18℃!超强台风+7天雨+冷空气!梧州人挺住了,更可怕的是...","https://www.163.com/dy/article/G80UIUON0534B3G7.html"
"网易","9小时前","阶段性暴雨洪涝灾害的可能性较大 降雨集中期出现在5-6月 全市主要河流干支流仍有 较大可能出现超警洪水 部分中小河流可能发生 20-50年一遇大洪水 (网络配图) 最后,小编还要提醒大家 下周日(4月25日),我们还得上班! ","https://dss2.bdstatic.com/6Ot1bjeh1BF3odCf/it/u=3142733065,1127763491&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=0922E8128BA0668486AFC0C6030060AB&sec=1618986940&t=4d8fb040171cb73336c05871ac258dc0","哭!桂林已进入汛期,连下13天雨,“5·1”假期又“泡汤”啦!","https://www.163.com/dy/article/G80KVRM60534FL09.html"
"网易","13小时前","近20年来,成功防御了2005年强台风“麦莎”、2010年中华人民共和国成立以来最严重春涝、2012年强台风“海葵”、2013年“菲特”特大洪涝、2016年太湖流域超标准洪水、2019年超强台风“利奇马”、2020年超长梅雨期等洪涝台灾害。","https://dss2.bdstatic.com/6Ot1bjeh1BF3odCf/it/u=1645473073,862638500&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=1CFF4A969C8148456893CDAE0300A01A&sec=1618986940&t=e19ffd92aab4d1208fa367d4c33d3c8d","榜样!我局张桂凤同志获评第二届浙江省“最美公务员”","https://www.163.com/dy/article/G804UO8U0534NDWJ.html"
"新浪财经","10小时前","原标题:新加坡宣布开发海岸内陆洪水模拟系统 本报曼谷4月19日电 (记者刘慧)新加坡消息:新加坡公用事业局日前宣布,将与新加坡国立大学和一家水务管理公司合作,开发海岸内陆洪水模拟系统。该系统根据新加坡建筑物密集和城市化环境特点而研发,投...","https://cambrian-images.cdn.bcebos.com/90a3cc56048cc77b55e93b3d1ba00c0b_1642383032504386.jpeg@w_100,h_100","新加坡宣布开发海岸内陆洪水模拟系统","https://baijiahao.baidu.com/s?id=1697514280571895373&wfr=spider&for=pc"
"国脉电子政务网","13小时前","多年来,广大群众对于洪水救灾坚定不移的信心仍未根本切实有效地保障受灾群众的生命财产安全。部分防汛区存在地震灾害缺口地区,集中于目前我国蔬菜苗木产地极少,几乎全国所有地区所有蔬菜基地都受灾。合肥、无锡及四川北部、西部、甘肃西部等地...","https://dss0.bdstatic.com/6Ox1bjeh1BF3odCf/it/u=2110008326,1505242231&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=0A8E2FC0485896CE0E94B3170300D0D3&sec=1618986940&t=b970ef142e516427c1c678400dfde3df","防汛石笼网箱","http://www.echinagov.com/qynews/e121193895.html"
"央媒头条","14小时前","中经报道湖南祁阳4月19日讯(何荣华 通讯员李伟民)近期雨水增多,使洪涝灾害风险明显提升,为响应全国防汛抗洪工作,检验各项应急预案的实用性和可操作性,强化指战员水域救援能力,4月16日,湖南省祁阳县消防大队在湘江河畔组织开展水域救援综合...","https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=2720891962,140485477&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=83214BA030380B8CEEBCB9F40300D0B1&sec=1618986940&t=e7f95e20be607733f013859f62c02fb1","祁阳消防大队积极开展防汛抗洪应急综合演练","https://baijiahao.baidu.com/s?id=1697486325046891130&wfr=spider&for=pc"
"网易","昨天16:43","今年降水量较往年同期略偏少,但可能出现阶段性降水集中期,预计降水集中期开始时间在5月下旬中后期,较常年偏早,结束时间在6月下旬中前期,出现暴雨洪涝或内涝的可能性较大。 气温 今年平均气温偏高,盛夏有较为明显的阶段性高温热浪,35℃...","https://dss1.bdstatic.com/6OF1bjeh1BF3odCf/it/u=346053491,4286801664&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=3CB4A51B13AFCCED0E4D79EB0300E034&sec=1618986940&t=d785c6b636976ceab464a765f782dd30","龙泉已经入汛了!汛期趋势预测早知道早预防","https://www.163.com/dy/article/G7V967HV0526PH73.html"
