"results_author","results_date","results_des","results_img","results_title","results_url"
"九派云旅","1小时前","强化转移避险和抢险救援,立足于防范化解重大地质灾害风险,坚决果断转移危险区人员,确保应转尽转、不落一人,统筹好抢险救援力量,全力做好突发地质灾害应急处置工作,切实做到“防”和“救”的链条无缝对接;要处理好应急与平时的关系。地质...","https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=2309039636,140532645&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=FC80429B5A5329CA0EAA6BA30300E00C&sec=1618987632&t=4e2c8faa508a0305cb82f854781e33e8","应急管理部地震地灾司赴我省开展地质灾害应急管理工作调研","https://baijiahao.baidu.com/s?id=1697536955726634408&wfr=spider&for=pc"
"气象小秘书","1小时前","省级工作开展情况:一是召开安徽省第一次全国自然灾害综合风险普查试点调度会,听取试点工作进展情况汇报,研究当前存在的主要问题,部署试点近期重点工作。二是组织参加第一次全国自然灾害综合风险普查第3次省级普查办主任暨省级技术组普查工作视...","https://cambrian-images.cdn.bcebos.com/b604caf6d9c89aba9ecfca597d6f0e25_1666454311203170.jpeg@w_100,h_100","省普查办通报自然灾害综合风险普查工作进展情况(之九)","https://baijiahao.baidu.com/s?id=1697537025547396930&wfr=spider&for=pc"
"腾讯网","1小时前","大兴安岭、黑河等地的水文部门要对易卡塞江段的高风险区域实时分析研判,及时启用沿江视频监控,在易发冰凌卡塞的江段要提前设立临时监测站点,安排专人观测和巡视,全面掌握易发生冰凌灾害的河段水情、凌情发展变化,提前发布预报预警信息。 ","https://dss0.bdstatic.com/6Ox1bjeh1BF3odCf/it/u=3906178209,646530564&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=6EB008C556F381CA0A2C25B00300D092&sec=1618987632&t=d3cbf5ee52210d400be8fd47da5b3e54","警惕!4月下旬,黑龙江上游或发生灾害","https://new.qq.com/omn/20210420/20210420A05QVF00.html"
"有书","1小时前","当灾难真正来临的时候,没有一个人能够幸免。 近几年,自然灾害频发。 澳洲山火,东非蝗灾,火山喷发,这一切都好像还是昨天的事儿,可一波未平一波又起。 就在一个月前,蒙古国北部地区出现暴风雪,戈壁草原地带则出现了强沙尘暴。 天空...","https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=2310213054,140532052&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=09A3DD170CD85CCC3CD9CD7403001030&sec=1618987632&t=707aba4e248b2e89388be9e5e3c9c960","日本强行将核污水排入大海,疫情尚未结束,另一场灾难又起","https://baijiahao.baidu.com/s?id=1697536326671771296&wfr=spider&for=pc"
"气象小秘书","1小时前","近日,贵港市自然资源局联合市应急管理局、市气象局、贵港水文中心、贵港地质环境监测站等四个部门召开2021年地质灾害气象风险预报预警会商会。 会议就进一步加强全市地质灾害气象预警预报业务合作事宜进行讨论,并对2021年气候形势变化及近年来...","https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=1893329480,140532262&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=BF104F85080226CC0A3DC0A70300E052&sec=1618987632&t=61f72045165c0841f6617a0feddce341","贵港市召开2021年地质灾害气象风险预报预警会商会","https://baijiahao.baidu.com/s?id=1697536538075332321&wfr=spider&for=pc"
"邯郸之窗","1小时前","各地要切实加强村庄规划编制实施,村庄各类开发建设活动应严格遵循村庄规划和防灾减灾要求,村民选址必须避开地质灾害危险区域;要加大对地质灾害隐患点和削坡建房风险点避险搬迁用地的保障力度,允许使用预留城乡建设用地规模,实施避险搬迁的农民...","https://dss1.bdstatic.com/6OF1bjeh1BF3odCf/it/u=2494218053,652495683&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=38AC7432054C55E94C48F8D6010050A0&sec=1618987632&t=079b013540d524c59e8d83be7377af06","常德地质灾害危险性评估单位丙级申请所需设备","http://www.hdzc.net/qysx/99m57py/17982522.html"
"潇湘晨报","1小时前","4月18日,梧州市市委书记全桂寿、市长钟畅姿率队组成检查组,对全市防汛备汛和防地质灾害工作进行检查,切实保障人民群众生命财产安全。 检查组来到旺村水利枢纽、长洲水利枢纽,检查防汛备汛工作、值班值守制度落实情况、枢纽设备运行等情况。","https://cambrian-images.cdn.bcebos.com/a51d142ac7625feda1002f0c739ae255_1606863438588053.jpeg@w_100,h_100","梧州市开展防汛备汛和防地质灾害工作检查","https://baijiahao.baidu.com/s?id=1697537004020681830&wfr=spider&for=pc"
"网易","1小时前","今天上午,市委书记全桂寿、市长钟畅姿率队检查防汛备汛和防地质灾害工作,并履行总河长职责开展巡河工作。他们强调,当前我市已进入汛期,各级各有关部门要进一步提高政治站位,加强组织领导和协同配合,狠抓责任落实,强化督查检查,扎实做好今年...","https://dss1.bdstatic.com/6OF1bjeh1BF3odCf/it/u=2564986770,2860179292&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=2AB247810201355700083512030010C0&sec=1618987632&t=4913880d8d987f4bd5255a0fe31aacc7","...全桂寿钟畅姿检查防汛备汛防地质灾害工作及开展巡河工作","https://www.163.com/dy/article/G81ET8CF0537FKU8.html"
"湖北身边的事","2小时前","副省长曹广晶、赵海山和荆州市委常委、常务副市长向斌关于恩施市龙凤镇大转拐村滑坡的批示,4月12日至16日,荆州市自然资源和规划局党组成员、副局长谢俊刚率荆州地质环境监测保护站专家一行,对各县、市汛前地质灾害防范工作进行了为期一周...","https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=3880290465,140535683&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=F88923D176E3BAF81495401B030080D3&sec=1618987632&t=ccf1084538beaa7c1d53a0edb012db28","市自然资源和规划局督办检查县市汛前地质灾害防范工作","https://baijiahao.baidu.com/s?id=1697540222964434827&wfr=spider&for=pc"
"九派云旅","2小时前","溆浦融媒讯 (通讯员 江林峰) 汛期即将到来,为确保人民群众生命财产安全,有效预防洪灾及地质灾害的发生,4月17日下午,桥江镇政府组织镇应急小组、镇卫生院医护人员共同开展了防汛及地质灾害应急演练。 演练前集结队伍 本次演练由桥江镇...","https://cambrian-images.cdn.bcebos.com/32f18f599ffb716bb3a02cb75516f3e7_1692285652438042.jpeg@w_100,h_100","...做实确保群众生命财产安全——桥江镇开展防汛及地质灾害应急演练","https://baijiahao.baidu.com/s?id=1697539089946835697&wfr=spider&for=pc"
"腾讯网","3小时前","“二锅头”白酒在车里独自喝闷酒,酒后的景某意识模糊,竟驾驶车辆进入高速公路,在高速公路逆向行驶,十分危险,接过路驾驶人报警后,德顺高速大队民警迅速出警处置,在青兰高速1663Km处,发现了已与因重型半挂车相撞的景某所驾驶车辆,幸好没...","https://dss1.bdstatic.com/6OF1bjeh1BF3odCf/it/u=3568956274,2228309433&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=25512B6E865205DE92D8389903005090&sec=1618987634&t=d0c025c04045b1000c4d553cc8a4865d","糊涂!男子喝闷酒后在静宁高速路上逆行与重型半挂车相撞","https://new.qq.com/omn/20210420/20210420A04DZ600.html"
"法制视界","3小时前","4月20日,壹粉“Power elde”向齐鲁晚报官方客户端齐鲁壹点情报站报料,潍坊市安丘新成街十字路发生车祸,两辆轿车相撞,交警正在现场处理。 “早上8点左右,路过时,车祸已发生,看到现场白色轿车车头损坏严重,另一辆事故车被撞出绿化带,由...","https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=2300070635,140525368&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=E4A420F4D426B6ED42297107030080C0&sec=1618987634&t=2adbec90ef3256cab48e72ded44dfccf","注意!潍坊安丘新成街发生两车相撞事故,路过请注意避让","https://baijiahao.baidu.com/s?id=1697529127775770549&wfr=spider&for=pc"
"新浪财经","3小时前","原标题:档期相撞 新基金发行“去库存”压力大 基金发行遇冷,公募新基金发售却停不下来。数据显示,截至4月19日,目前处于发行期的公募基金数量多达111只(份额合并计算),处于历史较高水平。而从去年四季度以来新获批的基金中,也有383只基...","https://cambrian-images.cdn.bcebos.com/90a3cc56048cc77b55e93b3d1ba00c0b_1642383032504386.jpeg@w_100,h_100","档期相撞 新基金发行“去库存”压力大","https://baijiahao.baidu.com/s?id=1697528704330756920&wfr=spider&for=pc"
"腾讯网","3小时前","2021年3月26日9时48分,马某某驾驶货车由东向西行驶至国道108线杨堡村口,往南左转弯时,与由南向北遆某某驾驶的货车相撞,致遆某某受伤,双方车辆损坏的道路交通事故。 经调查,事故发生当日,马某某驾驶车辆从洗煤厂装完货后,行驶到赵城...","https://dss1.bdstatic.com/6OF1bjeh1BF3odCf/it/u=3159039443,267332821&fm=217&app=2&size=f242,162&n=0&g=0n&f=PNG?s=B5B15295485301C21A1529A103005023&sec=1618987634&t=61c1c0490953d96368ca5d694a0d5f0e","【事故】洪洞108国道杨堡村,两货车相撞,司机当场昏迷","https://new.qq.com/omn/20210420/20210420A03P8L00.html"
