,动词,词频
53, ,2727
24,发生,1946
74,造成,1127
34,进行,1031
11,要,899
51,开展,858
73,会,736
13,召开,699
28,  ,687
9,做好,667
32,出现,582
274,到,567
25,发布,559
33,加强,461
214,说,441
202,引发,437
233,落实,430
489,可能,400
148,导致,381
365,影响,367
17,组织,341
37,要求,336
528,获悉,292
245,贯彻,290
369,为主,280
90,能,280
55,提高,278
341,表示,272
583,报道,259
54,进入,257
213,可以,255
5,应,253
0,强化,241
454,死亡,238
88,称,226
159,提升,219
205,了解,218
68,可,217
71,带来,215
477,让,200
278,部署,200
204,为,199
741,举行,198
2,防范,197
18,参加,197
222,开始,195
225,注意,192
211,看,189
336,建立,189
244,指出,188
221,预计,186
166,推进,186
679,显示,183
81,包括,179
629,遭遇,178
19,分析,178
289,发现,177
116,完成,172
374,印发,170
118,受,168
318,坚持,167
46,保障,162
4,转移,161
178,简称,159
561,应对,156
1032,需,154
280,来,153
128,出席,152
240,需要,151
52,强调,147
449,受伤,146
111,采取,145
62,确保,145
30,喷发,144
22,安排,141
487,发表,140
130,负责,140
29,频发,139
174,发,139
203,启动,136
1585,倒塌,136
123,成为,135
387,介绍,135
199,出,134
626,达,129
609,看到,129
411,引起,128
226,关注,127
379,预测,125
83,提供,124
3074,相撞,123
674,达到,120
91,遭受,120
498,位于,119
708,请,119
378,主持,119
66,公布,119
677,发展,117
433,成立,115
1033,安置,114
513,认为,113
57,抓,110
162,实现,108
442,受到,107
125,产生,106
579,指导,106
1141,讯,106
16,存在,105
595,在,105
366,减少,105
27,能够,103
260,讲话,102
235,重视,101
220,结合,100
299,减轻,99
35,实施,99
617,起来,98
568,做,98
198,排查,97
351,作出,97
282,来自,95
434,入,93
453,宣布,93
425,爆发,93
377,完善,91
120,测定,91
368,降低,91
602,形成,90
187,邀请,89
850,损坏,88
270,发挥,88
563,面对,87
357,继续,87
860,下降,87
140,得到,86
1725,致,85
372,打开,85
445,避免,85
47,来到,85
414,恢复,85
755,至,84
587,应该,84
113,接到,84
331,制定,81
14,听取,81
210,分享,80
283,提醒,80
848,具有,80
26,来临,79
437,结束,78
913,迎来,77
275,利用,76
671,处于,76
562,提出,76
622,总结,75
1041,至上,75
43,使用,74
63,预防,74
121,超过,73
250,增强,73
457,认识,73
23,掌握,73
303,保护,73
31,起,73
992,同意,72
747,查明,72
376,明确,72
915,相比,72
69,使,71
465,调查,70
624,集中,70
509,作为,69
323,增加,68
167,调研,67
522,建设,67
709,保持,66
619,面临,66
133,知道,66
87,推动,66
186,举办,66
281,赴,66
523,支持,65
58,滑坡,65
8,统筹,65
461,处置,64
155,想,64
928,经历,64
816,没有,64
107,深入,63
48,检查,63
667,传递,63
1000,摸清,63
1147,偏少,62
704,建议,62
803,主演,62
370,说明,62
12,处理,61
10,做到,61
228,威胁,61
1280,防御,60
925,赶赴,60
137,开,59
911,下发,59
61, 为,59
900,选择,59
132,通报,59
409,令,58
861,联系,58
131,传达,58
98,上,58
150,希望,57
488,持续,57
665,打造,57
182,参与,57
785,用,56
114,覆盖,56
537,来源,56
181,发动,56
1046,推荐,56
216,相信,56
15,研究,55
277,谋划,54
1588,过,54
315,代表,54
3,化解,54
371,扫,54
1815,失踪,54
890,发出,54
170,查看,54
407,排放,53
686,响应,53
917,中断,53
2694,扑灭,52
76,见,52
1035,如下,51
201,模拟,51
290,修订,51
637,加快,51
288,联合,51
322,成,50
1115,获得,50
567,分布,50
821,看看,50
103,决定,50
141,指,49
40,加大,49
264,主办,49
1047, 请,49
541,该,49
1105,吃,48
1026,斗,48
173,建,48
1210,失联,48
678,拥有,48
576,出来,48
3058,爆炸,48
813,撤离,48
763,去,47
185,取得,47
681,陷入,46
483,保证,46
956,住,46
897,设置,46
1072,严防,46
615,给,45
344,学习,45
241,打,45
812,遭到,45
238,拍摄,45
100,涉及,44
247,走进,44
396,行动,44
45,组成,44
490,   ,44
206,下,44
597,突发,44
901,前往,43
591,帮助,43
695,体现,43
697,投入,43
1629,用于,43
991,抵御,43
1091,到达,42
287,夯实,42
687,转,42
291,带领,42
1407, 让,42
1151,肆虐,42
743,问,42
1165,消除,42
914, 有,41
698,伴有,41
86,打好,41
321,围绕,41
982,建成,41
