,动词,词频
53, ,182
51,开展,71
34,进行,68
24,发生,62
11,要,60
74,造成,50
13,召开,47
28,  ,47
9,做好,46
32,出现,40
121,到,39
110,会,34
106,落实,34
33,加强,32
17,组织,30
37,要求,28
387,影响,26
25,发布,26
46,保障,24
154,能,24
105,贯彻,24
109,可能,23
54,进入,22
64,确保,20
210,引发,20
136,说,20
129,发现,20
391,为主,19
61,部署,19
404,让,19
123,畏,18
0,强化,18
283,提升,17
5,应,17
256,应对,17
522,遭遇,17
251,获悉,17
272,推进,17
137,完成,16
55,提高,16
396,印发,15
518,达到,14
534,导致,14
173,在,14
212,为,14
83,简称,14
253,举行,14
27,能够,14
78,开始,13
87,出席,13
113,表示,13
346,报道,13
220,可以,13
18,参加,13
482,带来,13
257,建立,13
281,关注,12
623,坚守,12
226,结合,12
114,受,12
390,减少,12
148,看,11
22,安排,11
350,显示,11
1084,介绍,11
280,注意,11
211,启动,11
57,抓,11
213,了解,11
2,防范,10
227,预计,10
252,完善,10
19,分析,10
797,冒,10
52,强调,10
102,来,10
63,坚持,10
67,指导,10
245,减轻,9
60,重视,9
29,频发,9
285,增强,9
553,恢复,9
277,负责,9
80,制定,9
618,抵御,9
475,可,9
143,适应,9
107,主持,8
328,讲话,8
343,响应,8
258,邀请,8
118,保证,8
536,遭受,8
198,守护,8
491,迎来,8
447,成立,8
254,总结,8
207,出,8
318,指出,8
1004,损坏,8
4,转移,8
26,来临,7
305,至,7
356,受到,7
399,预测,7
830,发挥,7
70,起来,7
338,深入,7
278,来自,7
191,达,7
469,死亡,7
551,相比,7
304,降低,7
206,采取,7
1020,中断,7
460,避免,7
35,实施,7
94,请,7
449,入,7
918,处于,7
1102,公布,7
859,降温,7
639,斗,6
138,希望,6
359,称,6
683,打,6
316,发表,6
868,下降,6
68,作为,6
877,如下,6
194,克服,6
156,经历,6
629,成为,6
62,排查,6
548,提供,6
100,包括,6
433,实现,6
710,提出,6
43,使用,6
231,知道,6
90,发,6
806,分为,6
442,需要,6
407,看到,6
729,作出,6
214,下,6
398,传达,6
417,发展,5
587,令,5
595,引起,5
14,听取,5
244,选择,5
10,做到,5
596,下 ,5
894,超过,5
230,威胁,5
468,宣布,5
167,推动,5
470,认识,5
947, 请,5
47,来到,5
218,分享,5
486,保,5
510,到来,5
393,扫,5
605,集中,5
581,做,5
833,巡查,5
288,修订,5
292, 有,5
3,化解,5
695,来袭,5
1205,同意,5
829,承担,5
117, 冒,5
738,打造,5
126,到达,5
164,没有,5
1259,安置,5
825,位于,5
324,消除,5
45,组成,4
335,保护,4
910,主演,4
801,感受,4
133,覆盖,4
