,动词,词频
40, ,136
13,要,60
198,进行,59
87,发生,58
165,造成,47
59,召开,46
53,会,43
82,开展,42
80,做好,37
115,加强,35
224,到,31
20,发布,29
98,  ,29
12,出现,28
229,表示,25
103,落实,24
172,引发,23
151,提高,23
182,说,23
52,可能,20
48,引起,20
121,传播,20
113,强化,19
134,包括,18
83,预防,18
191,应,18
105,报告,17
517,能,16
194,注意,16
49,为,16
257,要求,16
104,为主,15
111,推进,15
216,举行,15
25,建立,15
220,进入,15
258,贯彻,14
118,可以,14
218,部署,14
89,采取,14
375,可,14
90,组织,14
143,提醒,13
214,获悉,13
209,影响,13
94,导致,13
389,完成,12
174,了解,12
189,预计,12
248,提升,12
270,印发,12
554,建议,12
292,提出,11
396,需要,11
219,出席,11
513,需,11
81,防范,11
0,妨害,11
42,带来,11
29,发现,11
133,介绍,10
157,简称,10
344,指出,10
223,应对,10
5,实施,10
197,提供,10
85,参加,10
57,控制,10
107,死亡,9
99,强调,9
454,发,9
226,主持,9
195,关注,9
215,完善,9
58,成立,9
30,来自,9
72,发表,9
555,公布,9
304,保持,9
367,感染,9
432,坚持,8
266,居,8
655,存在,8
469,频发,8
92,成为,8
66,请,8
311,具有,8
14,重视,8
661,分析,8
538,报道,8
190,开始,8
173,启动,7
609,增加,7
155,邀请,7
27,决定,7
109,保障,7
39,认为,7
402,入,7
129,爆发,7
336,降低,7
345,预测,7
462,安置,7
146,打开,7
360,推动,7
144,看,7
601,修改,7
77,增强,7
286,接种,7
264,设置,7
16,让,7
44,来到,7
88,应当,7
508,受,7
238,利用,7
93,威胁,7
242,纳入,7
362,防控,6
306,作出,6
278,规定,6
280,取得,6
79,流行,6
267,占,6
147,分享,6
970,转移,6
9,保护,6
153,举办,6
78,传染,6
820,讲话,6
154,负责,6
213,讯,6
50,伴有,6
490,做,6
334,减少,6
596,称,6
593,显示,6
327,继续,6
792,遭遇,6
973,损坏,5
411,受到,5
410,使,5
652,面对,5
395, 到,5
271,查看,5
320,推荐,5
208,查明,5
251,联合,5
374,提防,5
715,得到,5
181,使用,5
205,减轻,5
343,安排,5
23,形成,5
363,体现,5
18,起来,5
338,说明,5
629,达,5
912,同意,5
627,提示,5
575,作,5
140,打造,5
600,抗击,5
3,研究,5
731,主演,5
35,吃,5
116,担当,4
414,避免,4
114,树立,4
848,发挥,4
467,波动,4
21,通知,4
339,扫,4
217,总结,4
597,相比,4
17,行动,4
945,颁布,4
100,维护,4
323,明确,4
699,摸清,4
858,克服,4
962,斗,4
793,编制,4
247,来临,4
60,健全,4
61,转载,4
63,传递,4
682,   ,4
550,在,4
250,夯实,4
889,加快,4
245,听取,4
314,获得,4
244,赴,4
811,如下,4
542,应该,4
302,加大,4
533,指导,4
236,筑牢,4
707,突如其来,4
453,掌握,4
650,遭受,4
262,超过,4
438,确保,4
427,建设,4
351,接受,4
179,感,4
369,接触,4
141,点,4
423,认识,4
184,相信,4
188,结合,4
433,至上,4
357,集中,4
565,恢复,3
382,告诉,3
424,主办,3
418,受伤,3
870,评估,3
265,收到,3
963,积累,3
556,宣判,3
303,必须,3
1034,检出,3
377,患,3
639,转,3
637,转变,3
403,立足,3
298,外出,3
1,危害,3
287,涉嫌,3
982, 请,3
422,宣布,3
626,扩散,3
836,消灭,3
546,帮助,3
675,能够,3
838,防治,3
452,严防,3
310,得,3
908,走,3
451, 为,3
616,采访,3
342,传达,3
354,改变,3
448,至,3
359,蔓延,3
443,参与,3
361,专访,3
846,支持,3
607,处于,3
621,面临,3
598,分,3
840,出台,3
364, 让,3
496,消除,3
591,用,3
857,开学,3
827,收治,3
430,经历,3
428,下降,3
859,获取,3
860,考虑,3
370,暴露,3
319,代表,3
816,呼吁,3
164,如,3
122,读懂,3
128,知道,3
15,来,3
228,围绕,3
176,喷发,3
746,称为,3
730,领衔,3
714,侵入,3
139,引领,3
232,汇报,3
97,返贫,3
241,谋划,3
240,抓,3
186,合作,3
695,用于,3
769,登陆,3
689,阻止,3
96,致,3
110,统筹,3
168,排查,3
73,走进,3
62,出于,3
64,标注,3
120,上,3
65,侵犯,3
67,持,3
1038,表明,3
204,去,3
221,带领,3
618,打,2
119,参考,2
620,死于,2
440,到位,2
740,通报,2
614,肆虐,2
458,处置,2
456,分布,2
455,接近,2
444,针对,2
445,面授,2
447,简介,2
126,出门,2
125,带,2
449,接到,2
431,迎来,2
435,沉降,2
132,担任,2
399,了,2
400,制订,2
401,督促,2
721,构建,2
722,改革,2
160,刮起,2
964,下去,2
1076,关系,2
776,成,2
724,过境,2
685,陷入,2
413,切断,2
726,损毁,2
415,扩大,2
961,治水,2
417,丧生,2
774,维持,2
628,表现,2
729,杀青 ,2
145,设立,2
425,承办,2
732,出演,2
839,提交,2
36,喜欢,2
34,爱,2
461,突发,2
261,踏青,2
463,在线,2
465,起 ,2
84,规范,2
51,出疹,2
913, 定于,2
515,产生,2
54,小于,2
911,抵御,2
861,配合,2
909,定于,2
55,从事,2
521,包含,2
56,落后,2
862,做出,2
581,前往,2
901,作为,2
900,解除,2
752,达到,2
537,拍摄,2
571,紧闭,2
892,降到,2
71, 谢谢,2
70,删除,2
568,袭 ,2
69,更正 ,2
68,联系 ,2
557,判处,2
86,来源,2
47,患上,2
46,确诊,2
41,想到,2
466,呈现,2
741,撤离,2
612,持续,2
108,输入,2
475,摄 ,2
476,询问,2
971, 现,2
602,通过,2
482,该,2
483,穿,2
106,发病,2
43,发热,2
759,掩埋,2
762,失踪,2
489,答复,2
491,保证,2
492,返,2
595,发文,2
497,防御,2
498,令,2
499,遭到,2
924,下发,2
923,指示,2
504,减弱,2
603,允许,2
880,获,2
199,享受,2
1004,恐慌,2
348,叠加,2
349,防,2
677,刷到,2
647,停止,2
1002,找,2
657,犯,2
1044,进,2
1015, 处,2
654,花,2
659,审视,2
356,点击,2
678,气愤,2
24,互补,2
800,提请,2
193,播种,2
679,发泄,2
648,排放,2
324,属于,2
200,上班,2
325,遵守,2
996,问,2
293,符合,2
289,违反,2
807,创造,2
808,担心,2
702,塌陷,2
329,预言,2
1023,牵头,2
22,落户,2
222,化解,2
788,建成,2
705,流离失所,2
340,配建,2
993,过去,2
203,选择,2
254,调研,2
277,住,2
26,带动,2
683,沉没,2
978,希望,2
169,出,2
383,战胜,2
977,护理,2
386,收听,2
387,收看,2
717,供,2
8,传出,2
684,讲述,2
390,实现,2
801,审议,2
391,征求,2
779,偏少,2
237,选取,2
315,观看,2
170,发放,2
376,污染,2
233,放映,2
276,看到,2
680,气大伤身 ,2
366,发展,2
681,看看,2
1039,任重而道远 ,2
28,调查,2
368,危及,2
291,执行,2
983,回答,2
175,下,2
272,肯定,2
6,防止,2
812,地勘,1
856, 作,1
810,落地,1
809,抓好,1
855,紧缺,1
796,破损,1
797,抛物,1
760,失联,1
778,划定,1
806,增进,1
805,碰触,1
878,失控,1
802,惩治,1
877,列举,1
876, 向死而生,1
875,讲授,1
874,完,1
873,听证,1
872,必不可少 ,1
871,谈及,1
869,区分,1
868,教会,1
757,俗称,1
758,触发,1
867,回来,1
866,区别,1
761,降雨,1
803,闻风丧胆 谈,1
865,掉,1
864,疏忽,1
863,诊治,1
799,解析,1
798,严惩,1
804,变 ,1
854,显现,1
850,给,1
813,聚焦,1
843,有待,1
825,开放,1
767,下起,1
842,看来,1
826,确定,1
768,起,1
841,补齐,1
785,转换,1
784,储备,1
783,证实,1
782,爆料,1
770,偏多  ,1
771,封冻,1
772,利于,1
781,偏高,1
828,记录,1
773,减产,1
780, 自,1
829,情同手足,1
830,守望相助,1
831, 共克,1
837,困扰,1
835,置身事外 ,1
777,缴,1
832,艰  ,1
834,裹挟,1
786,配置,1
824,查清,1
814,贯通,1
823,把,1
815,发出,1
879,创,1
795,听说,1
853,用好,1
817,运用,1
818,融合,1
794,有没有,1
852,抽烟,1
819, 省,1
851,躲避,1
833,善待,1
849,免疫,1
791,无所谓,1
790,加上,1
763,失,1
847,指定,1
764,转移 ,1
765,惊悉,1
821,促,1
789, 对,1
845,救治,1
787,配备,1
844,强制,1
822,把握,1
766,距,1
775,必不可少,1
966,愚公移山,1
881,投保,1
1005,兜售,1
1033,转冷,1
1035,增长,1
1036,合并,1
1037,暴发,1
1040,立体 ,1
1041,细分 ,1
1042,展示,1
1043,    ,1
1045,可控,1
1046,谨防,1
1047,安装,1
1048,转发,1
1049,施行,1
1050,采,1
1051,战斗,1
1052,荣膺,1
1053,荣立,1
1054,荣获,1
1055,诠释,1
1056,展现,1
1057,确认,1
1032,做足,1
1031,力争,1
1030,谈到,1
1017,树牢,1
1007,毛骨悚然,1
1008,走入,1
1009,筛选,1
1010,挑选,1
1011,送给,1
1012,领略,1
1013,收获,1
1014,就 ,1
1016,动员,1
1018,履职,1
1029,抑制,1
1019,抗灾,1
1020,夺,1
1021,导向,1
1022,函复,1
1024,开,1
1025,指挥,1
1026,分管,1
1027,超出,1
1028,见,1
1058,回升,1
1059,上升,1
1060,夺走,1
1096,领会,1
1087,次生,1
1088,摆到,1
1089,放过,1
1090,错过,1
1091,留下,1
1092, 据,1
1093,垂直,1
1094,正值,1
1095,学习,1
1097,统一,1
1085,遗漏,1
1098,不懈,1
1099,作恶多端,1
1100,管制,1
1101,让位于,1
1102,探究,1
1103,行之有效,1
1104,列入,1
1105,授权,1
1106,旨在,1
1086,倡导,1
1084,漏,1
1061,加,1
1071,当成,1
1062,布设,1
1063,刻制,1
1064,培育,1
1065,会同,1
1066,受灾,1
1067,落实习,1
1068,践行,1
1069,从医,1
1070,恪守,1
1072,穿上,1
1083,疏,1
1073,意味,1
1074,委托,1
1075,透露,1
1077,散播,1
1078, 冒,1
1079,覆盖,1
1080,1 4,1
1081,作战,1
1082,隔,1
1006,侵占,1
1003,拿出,1
882,降临,1
1001,出去,1
916,得知,1
917,预报 ,1
918,响应,1
919,得益于,1
920,约合,1
921, 致,1
922,观摩,1
925,发于,1
926,送走,1
927,舒,1
928,捕捉,1
929,聚集,1
930,治 重在,1
931,誉为,1
932,奉命,1
933,家喻户晓 ,1
934,鲜为人知,1
935,尝试,1
936,痊愈,1
937,致力,1
938,上调,1
915,提要,1
914,奠定,1
910,属,1
894,抚慰,1
883,苦不堪言 ,1
884,表彰,1
885,弘扬,1
886,激发,1
887,投身,1
888,激励,1
890,调动,1
891,力求,1
893,送到,1
895,做到,1
907,刊发,1
896,称之为,1
897,设计,1
898,难得一见,1
899,相当于,1
902,凝冻,1
903,多发,1
904,不容小觑,1
905,加剧,1
906,绷紧,1
939,可否,1
940,延期,1
941,获刑,1
988,说到,1
975,全力以赴,1
976,抢险,1
979,下达,1
980, 习,1
981,致贫,1
984,核定,1
985,讨论,1
986,清醒,1
987,实行,1
989,熟悉,1
972,统计,1
990,讨厌,1
991,感受,1
992,至今,1
994,没有,1
995,逃脱,1
997,好过,1
998,构成,1
999,生,1
1000,锻炼,1
974,应对 ,1
969,相处 ,1
942,乘坐,1
953,组建,1
943,返回,1
944,谎报,1
946,历经,1
947,显,1
948,登机,1
949,吃药,1
950,退烧 ,1
951,隐瞒,1
952,申报,1
954,猜,1
968,顺应,1
955,考察,1
956,探访,1
957,开闸,1
958,蓄洪,1
959,特有,1
960,移山,1
965,学,1
755,熟知,1
967,尊重,1
756,忽视,1
583,死,1
754,冒,1
484,脱,1
333, 神得,1
335,提早,1
337,制定,1
341,下称,1
346,提前,1
347,加之,1
350,履行,1
352,限制,1
353,服从,1
355,停留,1
358,有所,1
365,服务,1
371,使得,1
372, 说,1
373,高发,1
378,断,1
379,独居,1
380,干扰,1
381,风驰,1
332,得 ,1
331, 天得 ,1
330,走到,1
308,难于,1
295,赏春,1
296, 当道 ,1
297,到来,1
299,记得,1
300,提到,1
301,新增,1
305,应用,1
307,立法 ,1
309,听到,1
328,感觉,1
312, 守护,1
313,购买,1
316,开线,1
317,培训,1
318,按住,1
321,卸任,1
322,挥别,1
326,经过,1
384,回溯,1
385,致力于,1
388,研判,1
468,起伏,1
441,邀,1
442,充,1
446,改编自,1
450,报警,1
457,偏,1
459,处理,1
460,得当 ,1
464,奔赴,1
470,率队,1
437,巡查,1
471,检查,1
472,对照,1
473,致电,1
474,抽查,1
477,遂行,1
478,检验,1
479,编辑,1
480,不定,1
439,领导,1
436,临近,1
392,明白,1
407,拯救,1
393,意识,1
394,缺,1
4,切入,1
397,种,1
398,活,1
404, 于,1
405,结束,1
406,做实,1
408,点起,1
434,预警,1
409,度,1
412,统计 ,1
416,名叫,1
419,称 ,1
420,烧伤,1
421,送往,1
426,上线,1
429,为什么,1
294,春暖花开,1
7,传入,1
290,拒绝,1
159,守护,1
33,毁灭 ,1
148,改掉,1
149,庆祝,1
150,宣传,1
32,足以,1
152, 养,1
156,藏,1
158,像,1
161,坠入,1
138,受益,1
162,停 ,1
163, 清,1
31,叫,1
166,伤亡,1
167,有关,1
171,模拟,1
177,崩解,1
178,搜,1
142,看 ,1
137,远离,1
183,串通,1
112, 商,1
74,聆听,1
75,增添,1
76,提倡,1
91,会商,1
45,问诊,1
95,丧失,1
101,促进,1
102,放,1
38,吃 ,1
136,养成,1
37,烫,1
117, 落实,1
123,春暖花开 ,1
124,迫不及待,1
127,踏春,1
130,凑热闹,1
131,预,1
135,发生于,1
180,入股,1
185,投资,1
288,侦查,1
269,依托,1
253,组成,1
255,倾听,1
256,宣读,1
10,通航,1
259,在于,1
260,准备,1
263,按 ,1
268,批准,1
273,驶去,1
249,识灾,1
274, 拐,1
275,进去,1
279,报,1
281,给全,1
282,曲解,1
283,言论,1
284,质疑,1
285,驳斥,1
252,修订,1
11,入侵,1
187,生产,1
212, 发,1
192,调整,1
196,上传,1
201, 等,1
202,放松,1
206,适合,1
207,拥有,1
210,推演,1
211,供图,1
19, 筑牢,1
246,下载,1
225,解读,1
227,与会,1
230,欢迎,1
231,感谢,1
234,丰富,1
235,播放,1
239,扛起,1
243,陪同,1
481,备好,1
485,脱 ,1
753, 称,1
486,留意,1
656,给予,1
658,深入,1
