,动词,词频
53, ,125
115,倒塌,84
24,发生,77
79,造成,59
34,进行,42
11,要,41
137,会,36
28,  ,33
51,开展,33
13,召开,29
293,死亡,27
32,出现,26
9,做好,24
198,说,24
145,受伤,23
214,倒塌 ,22
25,发布,21
188,引发,18
284,导致,17
266,到,17
149,称,16
17,组织,14
33,加强,14
283,获悉,13
111,落实,12
157,可以,11
151,发现,11
37,要求,11
191,了解,11
55,提高,11
148,显示,11
105,包括,10
196,看,10
428,带来,10
548,表示,10
54,进入,9
614,调查,9
359,可能,9
333,举行,9
147,报道,9
347,发表,9
117,分享,8
265,影响,8
644,在,8
95,发,8
453,完成,8
83,开始,8
69,坚持,8
402,为主,8
144,建,8
0,强化,8
18,参加,8
43,使用,8
5,应,8
92,出席,7
88,简称,7
212,提供,7
152,采取,7
22,安排,7
221,事发,7
67,部署,7
223,没有,7
225,需要,7
16,存在,7
29,频发,7
330,查明,7
132,可,7
438,致,7
101,播放,7
114,砸,7
110,贯彻,7
190,为,6
142,让,6
120,引起,6
170,赶到,6
380,看到,6
19,分析,6
27,能够,6
470,提升,6
107,来,6
285,受损,6
2,防范,6
274,能,6
329,实现,6
355,推进,6
216,砸中,6
349,指出,6
62,确保,6
599,受,5
476,受到,5
264,居住,5
317,成为,5
407,印发,5
139,下来,5
237,代表,5
189,启动,5
231,路过,5
683,遭遇,5
528,遭到,5
483,称 ,5
208,注意,5
205,预计,5
175,负责,5
12,处理,5
430,做,5
146,位于,5
68,排查,5
837,搜救,5
451,总结,5
501,应对,5
57,抓,5
46,保障,5
834,建立,5
350,至上,4
218,倒下,4
8,统筹,4
73,作为,4
209,关注,4
361,讲话,4
814,想,4
371,住,4
734,撤离,4
502,突如其来,4
378,达,4
52,强调,4
384,许 ,4
531,超过,4
162,观看,4
545,令,4
464,成立,4
555,建造,4
230,带,4
945,摸清,4
298,见,4
48,检查,4
573,来源,4
933,相比,4
47,来到,4
268,坍塌,4
318,重建,4
319,偏少,4
320, 有,4
60,到来,4
336,降低,4
240,曝光,4
606,集中,4
232,倒,4
161,继续,4
14,听取,4
404,扫,4
102,明确,4
99,请,4
403,说明,4
716,处置,4
418,发展,4
654,面对,4
870,主演,4
444,查看,4
435,该,4
112,主持,4
411,预测,4
35,实施,4
498,具有,3
236,来自,3
235,移动,3
234,按住,3
500,希望,3
420,呈现,3
496,打造,3
554,知道,3
612,救出,3
717,接到,3
66,重视,3
222,砸坏,3
648,属于,3
72,指导,3
70,下发,3
495,建设,3
23,掌握,3
972,封锁,3
678,遭受,3
858,公布,3
835,困 ,3
486,宣布,3
279,成,3
760,决定,3
475,使,3
757,转,3
774,赴,3
4,转移,3
660,发挥,3
485,送往,3
316,得到,3
836,展开,3
118,至,3
754,体现,3
324,肆虐,3
920,停工,3
331,覆盖,3
204,结合,3
332,安装,3
75,起来,3
539,   ,3
26,来临,3
623,过,3
369,结束,3
44,率,3
183,伤亡,3
472,减轻,3
292,塌陷,3
456,转载,3
45,组成,3
165,清理,3
192,下,3
31,起,3
639,抢救,3
794,认为,3
153,停,3
409,完善,3
628,去,3
442,告诉,3
185,出,3
564,波动,2
385,了,2
514,到位,2
479,避免,2
1,立足于,2
480,扩大,2
312,救,2
383,砸在,2
322,尽,2
446,发 ,2
788,执行,2
799,上演,2
569,摄 ,2
767,停止,2
491,承办,2
768,保持,2
769,作出,2
429,欢迎,2
449,收听,2
878,处于,2
577,穿,2
770,排放,2
302,感觉,2
400,减少,2
833,赚,2
450,收看,2
572,检验,2
880,通报,2
773,花,2
570,询问,2
452,研判,2
784,应该,2
863,过境,2
405,打开,2
846,听到,2
503,下降,2
871,出演,2
552,用,2
902,凉,2
353,抓好,2
855,恢复,2
546,降雨,2
895,失踪,2
458,爆发,2
547,证实,2
482,丧生,2
507,迎来,2
356,消除,2
908, 让,2
360,值得,2
553,毁坏,2
847,以为,2
490,主办,2
368,断,2
825,改建,2
376,拍摄,2
812,交代,2
337,出于,2
338,传递,2
339,标注,2
340,侵犯,2
541,得,2
341,持,2
343,联系,2
899,产,2
370,支撑,2
421,折叠,2
868,杀青 ,2
345,删除,2
869,领衔,2
244,画,2
489,认识,2
176,邀请,2
91,发出,2
625,找到,2
992,响应,2
1041,行动,2
85,制定,2
195,感,2
669,提及,2
986,谋划,2
985,统计,2
670,改变,2
206,调整,2
703,赶赴,2
76,像,2
215,砸到,2
74,听,2
611,埋,2
219,抱,2
220,离开,2
224,施工,2
702,疏通,2
607,产生,2
178,刮起,2
174,举办,2
701,冒雨,2
629,回复,2
1020,抗击,2
124,记载,2
123,获,2
1027,加快,2
136,爱,2
645,昭示,2
141,藏,2
1031,降到,2
725,探讨,2
726,位,2
108,调研,2
106,评估,2
728,救援,2
160,返回,2
636,估计,2
661,形成,2
1036,解除,2
634,说 ,2
168,埋 ,2
94,严防,2
93,打起,2
238,推荐,2
745,救治,2
958,把握,2
963,突出,2
256,变得,2
39,避开,2
258,防止,2
259,感到,2
595,减弱,2
604,需,2
267, 到,2
30,喷发,2
593,伴有,2
955,融合,2
272,给,2
275,担任,2
589,防御,2
3,化解,2
763,警告,2
947,增强,2
764,建议,2
288,评论,2
583,见到,2
40,加大,2
126,留,2
50,履行,2
254,损失,2
246,到达,2
252,抱入,2
251,爆料,2
675,设,2
49,率队,2
61, 为,2
42,允许,2
488,讲解,2
676,分,2
600,诱发,2
970,承建,2
713,外乎,1
693,拆掉,1
694,上吊,1
815,问,1
692, 令,1
706,疏理,1
691,开车,1
714,安拆,1
695,走车,1
715,高频,1
813,恨,1
811,等于,1
810,进,1
823,等待,1
824,肯定,1
816,化,1
711,剩下,1
712,怎么办,1
826,解释,1
705,抢通,1
707,查询,1
708, 据,1
704, 冒,1
709,候车,1
822,维持,1
697,失稳,1
821,保存,1
820,想好,1
699,普降,1
827,变成,1
710,买,1
696,增大,1
819, 下意识,1
718,满 ,1
818,看出,1
817,痛心,1
698,死,1
700,拦住,1
765,躲到,1
719,涂鸦 ,1
747,应急,1
783,谷雨,1
751, 合理化,1
750,科学化,1
749,满足,1
785,温暖如春,1
748,研发,1
746,介入,1
753,亟须,1
786,竭尽,1
787,夯实,1
744,掉落 ,1
743,安置,1
742,身亡,1
741, 经,1
752,经济化,1
782, 怪,1
720,焚烧,1
775,给予,1
762,遇,1
771,哗然  ,1
761, 去,1
772, 在,1
759,创建,1
758,吹响,1
776,犯,1
781,袭 ,1
777,带领,1
756,投入,1
755,转变,1
778,深入,1
779,审视,1
780,互动,1
740,压砸 ,1
739,玩耍,1
738,冲垮,1
804,熄火,1
801,切割,1
802,招,1
727,着火 ,1
803,跟进,1
724,怀念,1
723,留在,1
805,疏导,1
789,上报,1
722,装饰,1
806,打通,1
721,扔进,1
807,淹没,1
808,摄,1
809,缺乏,1
800,紧邻,1
729,类似,1
766,摇晃,1
797,丧失,1
796,失修,1
795,反映,1
730,飞,1
731,出去,1
793,不以为然,1
732,炸飞,1
733,爆炸,1
792,表现,1
791,说起,1
735,记录,1
790,加密,1
736,惊险,1
737,揪心,1
798,称之为,1
914,涉嫌,1
828,断定,1
997,碰,1
984,出厂,1
987,创新,1
988,取得,1
989,有,1
990,中断,1
991,选择,1
993,对不起,1
994,欠,1
995, 晃荡,1
996,算是,1
998,冲走,1
829,涉事,1
999,怎样,1
1000,打扫,1
1001,开,1
1002,上 ,1
1003,降水,1
1004,指,1
1005,予以,1
1006,现代化,1
1007,着眼于,1
1008,会商,1
983,想要,1
982,看 ,1
981,管理,1
980,损坏,1
954,运用,1
956, 省,1
957,促,1
959,把,1
960,设置,1
961,查清,1
962,开放,1
964,更新,1
965,待,1
966,相近,1
967,勘察,1
968,设计,1
969,建筑,1
971,异响,1
973,倾斜 ,1
974,堆积,1
975,抵达,1
976,  突发 ,1
977,靠,1
978,描述,1
979,清除,1
1009,核定,1
1010,寓意,1
1011,参与,1
1040,加剧,1
1043,持续,1
1044,刊发,1
1045,走,1
1046,定于,1
1047,介绍,1
1048,属,1
1049,获取,1
1050,抵御,1
1051,同意,1
1052, 定于,1
1053,编制,1
1054,奠定,1
1055,提要,1
1056,得知,1
1057,预报 ,1
1058,得益于,1
1059,包含,1
1060,约合,1
1061, 致,1
1062,观摩,1
1063,指示,1
1042,绷紧,1
1039,不容小觑,1
1012,列举,1
1038,多发,1
1013,失控,1
1014,创,1
1015,流离失所,1
1016,投保,1
1017,控制,1
1018,降临,1
1019,苦不堪言 ,1
1021,树立,1
1022,表彰,1
1023,弘扬,1
1024,激发,1
1025,投身,1
1026,激励,1
1028,推动,1
1029,调动,1
1030,力求,1
1032,送到,1
1033,抚慰,1
1034,难得一见,1
1035,相当于,1
1037,凝冻,1
953,呼吁,1
952,贯通,1
951,聚焦,1
862,涉及,1
865,损毁,1
866,估量,1
867,扩散,1
872,天崩地裂,1
873,献映,1
874,开机,1
875,备受,1
876,占领,1
877,值爆,1
879,丰收,1
881,拿到,1
882,想到,1
883,插足,1
884,进来,1
885, 抢走,1
886,及,1
887,走出,1
888,纳言,1
889,骑马,1
890,赶来,1
891, 对,1
864,倾倒,1
861,逝去,1
893,安,1
860,病逝,1
830,搜集,1
831,给出,1
832,推卸,1
838,生死相隔,1
839,诉 ,1
840,顺,1
841, 顺,1
842,顺应,1
843,违反,1
844,突破,1
845,吃饭,1
848,出动,1
849, 开,1
850,治疗,1
851,目睹,1
852,回头,1
853,塌掉,1
854,四起,1
856,接入,1
857,参考,1
859,离校,1
892,视说 ,1
894,斩断,1
950,生活,1
924,调集,1
926,传播,1
927,过去,1
928,丧命,1
929, 惊呼,1
930,道 ,1
931,再现,1
932,过关 ,1
934,偏高,1
935,持平 ,1
936,偏多 ,1
937,想想,1
938,足以,1
939,炸毁,1
940,悬,1
941,移开,1
942,天马行空,1
943,制造,1
944,讯,1
946,在于,1
948, 勿忘,1
949,学会,1
925,刷屏  ,1
923,送医,1
896,接受,1
922,维修,1
897,采访,1
898,坠落,1
900,扩产,1
901,冲,1
903,遭,1
904,崩盘,1
905,取消,1
906,轰鸣 ,1
907,走红 轰,1
909,叫,1
910,火,1
911,约会,1
912,留灯,1
913,压垮,1
689,警惕,1
915,吸收,1
916,立案,1
917,侦查,1
918,创立于,1
919,摸排,1
921,坏,1
690,停放,1
532,披露,1
688,修路,1
300,围观,1
287,扫描,1
289,整理,1
290, 不出所料 ,1
291,上榜,1
294,牵,1
295,回家,1
296,砸向,1
297,躲闪 ,1
299,前来,1
301,卖,1
314,疯掉,1
303,沦为,1
304,喜,1
305,磕头 ,1
306,收,1
307,下凡,1
308,报恩,1
309,嫁,1
310,成家,1
311,记得,1
286,直播,1
282, 见,1
281,流向,1
280, 习,1
245,走来,1
247,断裂,1
248,砸落,1
249,砸 ,1
250,缓冲,1
253,栽,1
255,释放,1
257,活动,1
260,反思 ,1
261,制止,1
262,付出,1
263,破败,1
269,拆除,1
270,收回,1
271,分配,1
273,沾亲带故 ,1
276,当,1
277,变为,1
278,演变,1
313,听说,1
315,打,1
242,砸下,1
388,来源于,1
373,撒落,1
374,露,1
375,脱落,1
377,躺,1
379,横跨,1
381,压变形   ,1
382,上路,1
386,横扫,1
387,飞升,1
389,高于,1
321,知,1
390,展现,1
391,创立,1
392,爆出,1
393,层出不穷 ,1
394,读懂,1
395,预言,1
396,走到,1
397, 天得 ,1
398,得 ,1
372,落下,1
367,断裂 ,1
366,工作,1
365,探访,1
323,盛行,1
325,存 ,1
326,易,1
327,食,1
328,入网,1
334, 受,1
335,预知,1
342,证明,1
344,更正,1
346,谢谢,1
348, 砰,1
351,用心,1
352,用情,1
354,堵点,1
357,分布,1
358,划定,1
362,说到,1
363,坐落,1
364,充满,1
243,搂入,1
241, 碾,1
401,提早,1
109,参,1
87,公告,1
89,审查,1
90,批准,1
96,发期,1
97,万无一失,1
98,盯紧,1
100,点击,1
103,参会,1
104,涵盖,1
113,分管,1
133,谓,1
116,举报,1
119,超载,1
121,陷入,1
122,超,1
125,梳妆楼,1
127, 盖,1
128,用为,1
129,倾圯 ,1
130,登,1
86,有利于,1
84,放置,1
82,反对,1
81,夺走,1
6,转尽转 ,1
7,落,1
10,做到,1
15,研究,1
20,启用,1
21,设立,1
36,遵循,1
38,必须,1
41,避险,1
56,配合,1
58,滑坡,1
59,为期,1
63,预防,1
64,演练,1
65,集结,1
71,意味,1
77,落入,1
78,装满,1
80,摧毁,1
131,老相传 ,1
134,家喻户晓,1
239,应付,1
203,生产,1
186,发放,1
187,模拟,1
193,崩解,1
194,搜,1
197,入股,1
199,串通,1
200,相信,1
201,投资,1
202,合作,1
207,播种,1
135,懂,1
210,点,1
211,上传,1
213,威胁,1
217,经过,1
226,搂住,1
227,紧护,1
228,蛀 ,1
229,掏空,1
233,护住,1
184,有关,1
182,如,1
181, 清,1
180,停 ,1
138,掉,1
140,传说,1
143,解密,1
150,到位 ,1
154,省,1
155,扣,1
156,压坏,1
158, 刷新 ,1
159,下载 ,1
163,时隔,1
164,净负门兴,1
166,埋藏,1
167,发掘,1
169,接警,1
171,靠近,1
172, 满,1
173,倒扣,1
177,守护,1
179,坠入,1
399, 神得,1
406,配建,1
687,增多,1
605,抓住,1
591,相伴,1
592, 谨防,1
594,东移,1
596,下 ,1
597,标志,1
598,拉开,1
601,销售,1
602,方便,1
603,购票,1
608,警觉,1
622,拿回,1
609,说道,1
610,指引,1
613,遇难,1
615,值,1
616,传,1
617,辟邪 ,1
618,偷走,1
619,挖走,1
620,盗,1
590,创下,1
588,宣告,1
587,耕作,1
586,返,1
560,改造,1
561,在线,1
562,奔赴,1
563,起 ,1
565,起伏,1
566,对照,1
567,致电,1
568,抽查,1
571,遂行,1
574,编辑,1
575,不定,1
576,备好,1
578,脱,1
579,脱 ,1
580,提醒,1
581,留意,1
582,碰到,1
584,答复,1
585,保证,1
621,保佑,1
624,神秘莫测,1
558,透露,1
672,联合,1
659, 接,1
662,逢,1
663,闭眼,1
664, 流泪,1
665,挖,1
666,坐像,1
667,刻有,1
668,剜 ,1
671,喘息,1
673,分裂 ,1
626,看来,1
674,面临,1
677,构成,1
679,降,1
680,发动,1
681,请求,1
682,派出,1
684,打印,1
685,转移 ,1
686,爬,1
658,出来,1
657,跑,1
656,受访,1
655,突发,1
627,不可思议,1
630,出云,1
631,承重,1
632,平安  0,1
633,受困,1
635,坍塌 ,1
637,介于,1
638,送至,1
640,出院,1
641,架设,1
642,封,1
643,遗憾,1
646,灭,1
647,统一,1
649,篡夺,1
650,提起,1
651,执勤,1
652,听见,1
653,拉起,1
559,支持,1
557,发文,1
408,下称,1
461,种,1
443,升至,1
445,搜寻,1
447,回溯,1
448,致力于,1
454,征求,1
455,收到,1
457,明白,1
459,意识,1
460,缺,1
462,活,1
478,切断,1
463,制订,1
465,督促,1
466,入,1
467,立足,1
468, 于,1
469,做实,1
471,拯救,1
473,点起,1
474,度,1
441,去到,1
440,种植,1
439,起火,1
437,购买,1
410,传达,1
412,提前,1
413,加之,1
414,叠加,1
415,防,1
416,出售,1
417,负债,1
419,撞毁,1
422,燃烧,1
423,逐帧,1
424,还原,1
425,撞,1
426,赢,1
427,点开,1
431,放任,1
432,设 ,1
433,倒塌  ,1
434,接,1
436, 欠,1
477,统计 ,1
481,名叫,1
556,困,1
535,连线,1
523,坐上,1
524,侍读,1
525,开府,1
526,建牙 ,1
527,袭击,1
529,停靠,1
530,撞上,1
533,加盖,1
534,占有,1
536,庆祝,1
484,烧伤,1
537,纪念,1
538, 就,1
540,变,1
542,反,1
543,惊醒,1
544,睡午觉,1
549,劫持,1
550,撞向,1
551,流入,1
522,攒,1
521,登临,1
520,埋首,1
519,走地,1
487,入户,1
492,引领,1
493,上线,1
494,围绕,1
497,保护,1
499,共享,1
504,为什么,1
505,经历,1
506,吃,1
508,担当,1
509,预警,1
510,沉降,1
511,临近,1
512,巡查,1
513,领导,1
515,邀,1
516,充,1
517,自小,1
518,过人,1
1064,通知,1
