,动词,词频
24,发生,293
53, ,194
79,造成,95
166,测定,86
11,要,63
34,进行,54
9,做好,48
28,  ,46
25,发布,46
51,开展,44
210,到,44
115,会,43
13,召开,41
33,加强,37
512,位于,34
118,表示,32
111,落实,30
295,引发,29
121,说,29
32,出现,28
269,获悉,25
37,要求,24
127,可,23
114,可能,23
268,举行,22
17,组织,20
5,应,20
340,影响,18
110,贯彻,18
0,强化,18
514,震,17
55,提高,16
95,发,16
219,建立,15
19,分析,15
120,能,15
418,死亡,15
69,坚持,15
223,发表,14
154,提升,14
2,防范,14
175,了解,14
343,为主,14
504,导致,13
284,指出,13
741,介绍,13
67,部署,13
557,称,13
234,推进,13
446,为,12
54,进入,12
105,包括,12
318,距,12
145,显示,11
57,抓,11
139,出,11
119,受,10
75,起来,10
620,报道,10
22,安排,10
151,实现,10
29,频发,10
204,成为,10
218,成立,10
350,完善,10
144,注意,10
172,建设,10
147,利用,10
199,带来,10
174,让,10
163,得到,9
4,转移,9
99,请,9
27,能够,9
370,发展,9
214,感觉,9
140,完成,9
143,需,9
52,强调,9
18,参加,9
352,预测,9
211,来自,8
92,出席,8
62,确保,8
83,开始,8
107,来,8
68,排查,8
513,为准,8
142,预计,8
586,可以,8
493,引起,8
348,印发,8
160,联系,7
714,相比,7
178,倒塌,7
275,传递,7
136,采取,7
485,减轻,7
47,来到,7
341,减少,7
35,实施,7
289,结合,7
362,启动,7
131,支持,7
333,继续,7
781,遭遇,7
227,打开,7
85,制定,7
203,该,7
403,经历,6
328,下降,6
391,达,6
405,感受,6
1033,抖,6
435,迎来,6
1008,问,6
196,宣布,6
545,发挥,6
319,有感,6
904,恢复,6
276,标注,6
274,出于,6
611,释放,6
155,讯,6
254,偏少,6
242,关注,6
228,查看,6
173,达到,6
569,失踪,6
908,损坏,6
72,指导,6
112,主持,6
8,统筹,6
108,调研,6
88,简称,6
43,使用,6
70,下发,6
73,作为,6
12,处理,6
26,来临,6
255, 有,5
16,存在,5
482,做,5
292,分布,5
1011,反映,5
102,明确,5
23,掌握,5
505,需要,5
669,想,5
430,希望,5
456,安置,5
31,起,5
351,传达,5
575,地震,5
655,认为,5
523, 请,5
431,应对,5
642,积累,5
46,保障,5
48,检查,5
239,负责,5
316,提供,5
235,谋划,5
249,发现,5
183,保护,5
428,具有,5
809,转载,5
66,重视,5
91,发出,4
982,构建,4
415,称 ,4
879,建成,4
822,在,4
1034,激动,4
40,加大,4
724,致,4
345,扫,4
421,认识,4
344,说明,4
570,帮助,4
866,编制,4
307, 让,4
198,确认,4
645,分享,4
222,看,4
540,面对,4
564,总结,4
425,上线,4
80,摧毁,4
1028,分为,4
325,代表,4
277,侵犯,4
962,提出,4
133,遭受,4
238,赴,4
272,降低,4
357,看到,4
561,面临,4
250,修订,4
312,给,4
699,通报,4
260,肆虐,4
750,投入,4
14,听取,4
471,来源,4
258,尽,4
10,做到,4
689,主演,4
794,取得,4
381,学习,4
285,至上,4
494,下 ,4
181,应该,4
361,失联,4
447,接到,4
897,斗,4
106,评估,4
1060,反馈,4
414,受伤,4
662,出台,4
502,集中,4
581,属于,4
61, 为,4
438,沉降,4
748,结束,4
580, 据,3
298,提前,3
942,健全,3
278,持,3
294,划定,3
281,删除,3
56,配合,3
566,行驶,3
297,讲话,3
956,映,3
308,知道,3
1,立足于,3
355,到达,3
960,挂牌,3
796,中断,3
1050,确定,3
15,研究,3
459,奔赴,3
455,突发,3
453,处置,3
404,住,3
450,入,3
441,到位,3
437,预警,3
436,担当,3
422,主办,3
810,指,3
1029,留言,3
434,吃,3
432,使,3
475,穿,3
484,防御,3
497,诱发,3
817,核定,3
542,跑,3
45,组成,3
974,调查,3
537,用,3
44,率,3
527,过,3
517,想到,3
805,建,3
39,避开,3
814,摸清,3
509,威胁,3
363,响应,3
364,赶赴,3
503,产生,3
63,预防,3
864,同意,3
824,提示,3
246,夯实,3
630,开,3
240,提醒,3
236,纳入,3
159,记得,3
162,保持,3
164,发放,3
639,小于,3
1117,维护,3
697,处于,3
780,暴露,3
755,应当,3
212,相信,3
774,设置,3
209,监测,3
906,如下,3
773,塌陷,3
930,受灾,3
90,批准,3
660,预报,3
200,名叫,3
197,加入,3
94,严防,3
195,晃动,3
663,打通,3
184,好,3
245,增强,3
700,撤离,3
920,作出,3
265,查明,3
257,知,3
1144,亟待,3
