,动词,词频
1,发生,158
45, ,157
30,造成,98
107,要,62
7,进行,62
33,做好,56
31,注意,52
14,引发,51
112,出现,50
2,导致,49
74,开展,49
186,需,47
118,召开,46
99,发布,43
187,影响,39
63,到,38
22,滑坡,36
40,  ,34
67,加强,31
129,落实,30
164,会,29
4,受,28
29,可能,27
168,死亡,25
9,组织,25
104,要求,23
0,获悉,23
349,为主,23
76,进入,22
159,倒塌,22
78,提高,21
128,贯彻,21
158,提醒,21
115,请,20
219,带来,18
101,防范,18
170,说,17
160,防御,17
335,转移,16
175,遭遇,15
69,部署,15
162,报道,15
24,可,15
79,参加,14
354,印发,14
166,预计,14
265,表示,14
3,中断,14
46,掩埋,13
266,遇难,13
172,建立,13
675,分析,13
710,撤离,13
368,启动,12
322,指出,12
106,强调,12
221,埋 ,12
188,致,12
478,安置,12
244,应,12
169,引起,12
449,强化,12
47,接到,12
96,简称,11
148,失踪,11
167,公布,11
146,介绍,11
105,出席,11
359,预测,11
178,举行,11
227,了解,11
130,主持,11
125,来,11
35,看,10
90,开始,10
612,作出,10
313,频发,10
51,恢复,10
462,应对,10
132,为,10
110,发,9
41,住,9
589,称,9
418,提升,9
210,降雨,9
238,搜救,9
382,讯,9
331,负责,9
193,避免,9
818,讲话,9
502,困 ,8
231,保护,8
276,能,8
367,失联,8
136,达,8
283,显示,8
71,坚持,8
738,主演,8
65,打开,8
34,来源,8
307,关注,7
72,抓,7
157,具有,7
73,确保,7
421,减轻,7
58,让,7
306,伴有,7
57,受伤,7
346,减少,7
122,包括,7
447,采取,7
752, 请,7
16,事发,7
703,出行,7
196,赶赴,7
28,提供,7
358,安排,7
411,成立,7
407,发现,7
405,需要,7
237,前往,6
224,救援,6
142,通报,6
216,保障,6
393,总结,6
396,实现,6
357,传达,6
250,看到,6
171,涉及,6
17,在,6
48,出动,6
415,推进,6
437,成为,6
36,展开,6
241,出,6
263,遭受,6
709, 致,6
659,建议,6
908,同意,6
119,明确,6
103,发出,6
538,做,6
295,困,6
83,起来,6
228,完成,6
664,听取,5
269,接近,5
577,发挥,5
535,威胁,5
12,调查,5
388,上,5
70,排查,5
302,继续,5
247,处于,5
163,上升,5
109,严防,5
1012,提出,5
197,属,5
924,损坏,5
498,产生,5
433,认识,5
75,下发,5
192,处置,5
284,来到,5
469,赴,5
93,制定,5
629,排放,5
375,发展,5
630,可以,5
26,模拟,5
149,联系,5
153,得到,5
380,来自,5
413,入,4
356,完善,4
100,实施,4
225,调集,4
419,举办,4
602,往,4
736,杀青 ,4
737,领衔,4
599,派出,4
739,出演,4
87,摧毁,4
983,修订,4
579,形成,4
395,结合,4
989,批示,4
214,选择,4
553,应该,4
573,面对,4
137,受到,4
351,扫,4
531,集中,4
525,拉开,4
760,降水,4
333,增强,4
126,调研,4
80,指导,4
6,赶到,4
316,担当,4
452,发表,4
44,出来,4
348,降低,4
955,赶往,4
440,建设,4
280,起,4
471,掌握,4
434,主办,4
150,处理,4
8,设置,4
853,行动,4
350,说明,4
643,转,4
327,拟定,3
315,来临,3
314,预防,3
773,及,3
726,聚焦,3
328,邀请,3
329,组建,3
298,开往,3
768,确定,3
286,指挥,3
1014,会同,3
311,办,3
300,外出,3
1005,牵头,3
769,返回,3
569,用,3
369,响应,3
657,遇,3
467,报警,3
468,树立,3
470, 为,3
935,疏散,3
497,降,3
500,避开,3
508,施救,3
511,实行,3
921,抢通,3
518,遭到,3
854,通知,3
527,加大,3
911,编制,3
613,存在,3
536, 见,3
537,包含,3
855,建成,3
906,获取,3
899,问,3
594,设,3
557,帮助,3
633,达到,3
460,参与,3
722,想,3
663,保持,3
371,拟,3
374,推动,3
711,逃生,3
386,学习,3
401,爆发,3
974,研究,3
972,如下,3
966, 受,3
424,使,3
957, 现,3
432,宣布,3
707,归,3
801,摸清,3
438,上线,3
442,下降,3
698,推荐,3
455,领导,3
459,联合,3
679,过,3
668,花,3
824,侧翻,3
504,拍摄,3
383,统筹,3
182,破坏,3
1072,监测,3
25,用于,3
144,救治,3
143,结束,3
141,持续,3
42,听到,3
123,评估,3
253,开,3
49,冒雨,3
53,分享,3
108,打起,3
220,称 ,3
1039,受灾,3
239,埋,3
81,作为,3
68,重视,3
147,确认,3
138,服务,3
173,面临,3
165,减弱,3
15,建,3
13,认定,3
879,降到,2
875,成,2
578,尽,2
1094,表明,2
878,力求,2
880,送到,2
870,表彰,2
571,普降,2
884,设计,2
102,化解,2
953,冲进,2
446,迎来,2
903,估计,2
584,挖,2
472,分布,2
588,提及,2
539,开采,2
869,抗击,2
444,经历,2
591,给,2
595,分,2
863,超过,2
601,压塌,2
605,传递,2
857,旅游,2
954,涌入,2
77,意味,2
181,远离,2
907,抵御,2
448,至上,2
943,浸 ,2
117,播放,2
475,突发,2
466,至,2
481,覆盖,2
484,暴发,2
485,救出,2
463,面授,2
145, 据,2
487,滞留,2
492,前进,2
929,饱和,2
496,据,2
161,增减,2
499,经过,2
503,接,2
174,谨防,2
505,夹杂,2
506,落下,2
507,路过,2
851,观看,2
509,压塌 ,2
513,通行,2
131,分管,2
281,送,2
951,解封,2
910,谋划,2
909, 定于,2
451,沉降,2
852,指示,2
279,承担,2
618,掩埋 ,2
731,倾倒,2
782,感受,2
784,记得,2
786,撞上,2
789,受阻,2
716,陪同,2
32,抓住,2
37,侵袭,2
708,致敬,2
38,新建,2
705,决策,2
704,来源于,2
39,受损,2
799,制造,2
43,逃,2
697,看看,2
730,过境,2
732,损毁,2
619,询问,2
733,重建,2
770,切忌,2
771,垂直,2
755,抢救,2
751,喝,2
780,准备,2
746,值爆,2
745,占领,2
744,备受,2
743,开机,2
742,献映,2
741,天崩地裂,2
740,呈现,2
19,看望,2
735,扩散,2
734,估量,2
802,查明,2
692,认为,2
691,毁坏,2
690,能够,2
645,研发,2
644,应急,2
639,陷入,2
844,遇到,2
1103,拍,2
66,查看,2
628,塌陷,2
627,指,2
626,保证,2
625,上报,2
848,许 ,2
849,约合,2
439,围绕,2
621,埋压,2
620,得知,2
646,满足,2
837,查,2
836, 住,2
815,运用,2
807,生活,2
809,促进,2
812,地勘,2
682,发 ,2
813,贯通,2
814,呼吁,2
822,查清,2
652,投入,2
823,开放,2
55,记录,2
56,如,2
662,停止,2
655,决定,2
831,抵达,2
850,观摩,2
765,牢记,2
1067,规划,2
398,收到,2
259,没有,2
260,变成,2
399,转载,2
978,维护,2
262,避让,2
309,中标,2
975,讨论,2
207,希望,2
973,核定,2
341,预言,2
1055,登陆,2
1006,规范,2
969,回答,2
1057,领会,2
267,维持,2
378,督导,2
414,立足,2
258,属于,2
318,深入,2
268,升高,2
319,走访,2
389,回溯,2
332,检查,2
252,摄 ,2
390,致力于,2
1032,构建,2
334,检验,2
391,收听,2
392,收看,2
336,演练,2
394,研判,2
324,讲述,2
337,支持,2
323,相信,2
1030,事关,2
338,代表,2
364,到达,2
387,作,2
377,搬迁,2
1047, 减轻,2
301,防,2
990,会商,2
963,搬到,2
1022,分为,2
427,扩大,2
1017,堆积,2
1021,防治,2
352,配建,2
353,下,2
285,垮塌,2
236,打通,2
1011,落实习,2
229,治理,2
235,找到,2
191,   ,2
190,买,2
233,解决,2
185,居住,2
435,承办,2
362,叠加,2
293,溺亡,2
213,控制,2
297,脱轨,2
373,激励,2
1010,挂牌,2
1026,发放,2
299,摄,2
843,前所未有 ,1
1034,相比 ,1
1040,践行,1
993,相比,1
992,成长,1
1035, 温和 ,1
826,判断,1
825,头着,1
1107,冲塌,1
1041,从医,1
1104,实拍,1
841,降温,1
991,减,1
1033,排除,1
838,暴涨,1
988,创新,1
821,把,1
839,过水,1
820,把握,1
994,为零 ,1
819,促,1
832,淹浸,1
827,致 ,1
833,触,1
834,漏电,1
1036,布设,1
845,躲避,1
996,思考,1
997,动员,1
835,涉水,1
1037,刻制,1
846,逗留,1
847,偏低,1
840,得,1
830,知悉,1
1038,培育,1
1105,铭记,1
829,提示,1
1106,挂断,1
995,蔓延,1
828,挑衅,1
842,添加,1
1102,制约,1
805, 勿忘,1
1108,埋住,1
1109,跋山涉水 ,1
1007,克服,1
785,行经,1
1111, 至,1
1008,担任,1
783,趋于,1
1009,相关,1
1025,答,1
1112,袭击,1
1113,砸坏,1
1114,灌满,1
1024,施行,1
1023, 履责,1
1013,配合,1
1015,跟随,1
781,到货,1
1016,退 ,1
779,以为,1
778,缺乏,1
777,得以,1
776,紧贴,1
775,拍照,1
774,贪恋,1
1020,陡涨,1
772,逃离,1
1115,使得,1
1019,下拨,1
1018,堆满,1
1116,悬空,1
1117,垮塌 ,1
787,轻伤,1
788,运行,1
1027,入选,1
1002,夺,1
817, 省,1
816,融合,1
998,树牢,1
1031,深化,1
999,履职,1
811,制作,1
810,编写,1
1000,创造,1
808,讲解,1
806,学会,1
1001,抗灾,1
804, 让,1
803,在于,1
1003,导向,1
790,持平 ,1
800,损失,1
1029,打好,1
798,变得,1
797,天马行空,1
1004,函复,1
1028,取得,1
1110,围困,1
796,移开,1
795,悬,1
794,炸毁,1
793,足以,1
792,想想,1
791,偏多 ,1
987,划定,1
1099,积累,1
986,健全,1
1078,称为,1
1077,滑动,1
927,算,1
1056,正值,1
971,采访,1
970,定于,1
928,大 ,1
930,增高,1
968,出动 ,1
931,控,1
932,提,1
933,上班,1
934,行走 ,1
1058,统一,1
1059,来信,1
967,暴涨 ,1
1054,留下,1
1053,错过,1
913,提要,1
976,清醒,1
914,预报 ,1
1082,增援,1
915,得益于,1
977,汇报,1
917,抽查,1
918,改,1
919,走出,1
920,冲上,1
1081,转化,1
922,摄影,1
923,俯瞰,1
1080,滚动,1
925,生产,1
1079,崩落 ,1
926,增长,1
936,营救,1
937,解救,1
1060,回复,1
938,松动,1
961,走,1
947,退缩 ,1
948,畏惧,1
949,录得,1
960,休息,1
950,分流,1
959,住上,1
1071, 称,1
958,竞渡,1
952,定,1
1070,滑落,1
1069,评议,1
1065,调整,1
1068, 经,1
956,定 ,1
946,从化,1
962,下雨,1
1064,查询,1
965,露出,1
939,暴晒,1
1061,有,1
940,开裂 ,1
941,延伸,1
1062,出版,1
942,阅读,1
1063,购买,1
945,出口,1
1076,传,1
1075,堵塞,1
1074,伤亡,1
1073,赶,1
964,动弹 ,1
944,派,1
1083,活跃,1
912,奠定,1
985,熟悉,1
866,投保,1
867,降临,1
868,苦不堪言 ,1
1046,组成,1
982,入汛,1
1096,批准 ,1
871,弘扬,1
872,激发,1
981,专访,1
873,投身,1
874,加快,1
876,突如其来,1
1095,发给,1
980,待,1
1048,占,1
877,调动,1
1097,废止,1
865,获,1
1052,放过,1
864,流离失所,1
1042,恪守,1
1043,当成,1
1101,趋重,1
1100,趋多,1
856,出去,1
858,有所,1
859,对待,1
860,列举,1
984,因地制宜,1
861,失控,1
862,创,1
1066, 明起,1
1044,穿上,1
1045,恳请,1
1098,偏轻,1
767,教训,1
979,严阵,1
1093,评价,1
1049,阐述,1
897,瞒,1
898,怀孕,1
900,撒谎 ,1
901,集训,1
902,心疼,1
904,致信,1
905,祝贺,1
1089,废弃,1
1088,社评,1
1087,暴露,1
1086,全力以赴,1
1050,次生,1
1085,争分夺秒 ,1
1051,摆到,1
1084,往返,1
896,吃完,1
895,鸣 ,1
894,核对,1
887,竖起,1
881,抚慰,1
1092,脱离,1
882,做到,1
883,称之为,1
885,寻找,1
886,以赴,1
888,写,1
893,许,1
889,搬运,1
890,拥抱,1
1091,如同,1
891,悲痛如斯,1
1090,改作,1
892,定格,1
916,报告,1
559,洗脑 ,1
766,传来,1
764,自救,1
305,避风 ,1
308,下属,1
310,计,1
312,高发,1
317,构筑,1
320, 摸,1
321,梳理,1
325,名为,1
326,获得,1
330,带队,1
339,读懂,1
340,感觉,1
342,走到,1
343, 天得 ,1
344,得 ,1
345, 神得,1
347,提早,1
355,下称,1
360,提前,1
304,回,1
303,小觑,1
296,生还,1
275,距离,1
257,推演,1
261,淹,1
264,死亡 ,1
270,毁 ,1
271,占到,1
272,值,1
273,开学,1
274,位于,1
277,送达,1
