,动词,词频
28, ,128
113,发生,63
97,开展,51
184,进行,47
110,造成,46
30,出现,43
130,做好,34
10,报道,31
142,召开,31
245,影响,28
48,要,27
123,发布,25
29,到,25
159,说,23
89,会,22
518,导致,21
155,可能,20
127,  ,19
212,引发,19
90,加强,17
179,预计,17
249,获悉,16
104,组织,15
16,持续,15
152,落实,15
101,提高,15
430,遭遇,15
99,进入,14
388,发展,14
158,受,14
74,应,14
102,参加,13
192,提升,12
215,了解,12
362,为主,12
182,显示,12
84,带来,12
170,遭受,12
78,表示,11
88,能,11
12,可,11
5,开始,11
254,应对,10
151,贯彻,10
120,简称,10
406,存在,10
173,采取,10
214,为,9
274,来自,9
177,完成,9
103,指导,9
213,启动,9
222,可以,9
92,部署,9
480,介绍,9
27,下降,9
17,让,9
728,抗旱,8
54,指出,8
129,要求,8
331,频发,8
125,防范,7
79,来,7
4,继续,7
197,安排,7
420,称,7
255,保障,7
287,偏少,7
268,推进,7
560,达到,7
91,重视,7
146,包括,7
61,产生,7
60,做,7
350,转移,7
96,确保,7
94,坚持,6
180,需,6
233,提供,6
193,讯,6
93,排查,6
199,负责,6
929,斗,6
360,减少,6
400,投入,6
186,深入,6
251,举行,6
153,主持,6
322,分布,6
23,疑似,6
39,发表,6
200,邀请,6
66,分享,6
36,缺,6
463,安置,6
278,强化,6
273,听取,6
567,达,6
414,面对,6
8,起,5
181,注意,5
185,利用,5
124,实施,5
272,赴,5
302,降低,5
228,结合,5
131,出席,5
367,印发,5
305,传递,5
365,打开,5
139,请,5
407,集中,5
149,调研,5
220,看,5
135,发,5
21,面临,5
413,受到,5
1,减弱,5
543,应该,5
766,降到,5
781,降雨,5
86,起来,5
87,用,5
244,查明,5
64,关注,5
419,作出,5
672,摸清,5
492,死亡,5
519,需要,5
618,决定,5
456,入,5
539,成为,4
341,获得,4
716,主演,4
225,相信,4
551,在,4
277,来临,4
303,至,4
242,减轻,4
315,至上,4
502,防御,4
168,支持,4
211,模拟,4
300,能够,4
584,保持,4
603,陷入,4
596,排放,4
281,夯实,4
176,出,4
593,形成,4
589,打造,4
607,转,4
408,降水,4
487,用于,4
431,遇,4
126,化解,4
105,作为,4
82,干旱,4
132,强调,4
412,涉及,4
190,公布,4
189,实现,4
253,带领,4
399,上,4
455,来到,4
75,引起,4
457,接近,4
364,扫,4
363,说明,4
143,明确,4
467,恢复,4
482,结束,4
401,蔓延,4
343,看到,4
234,威胁,4
252,总结,3
265,筑牢,3
235,享受,3
256,建立,3
240,选择,3
0,加剧,3
282,联合,3
494,分为,3
743,维持,3
542,宣布,3
708,过境,3
555,成立,3
701,想,3
563,处于,3
574,考虑,3
583,执行,3
587,调动,3
591,上报,3
592,指,3
606,回升,3
614,体现,3
621,建议,3
636,分析,3
658,推荐,3
