,动词,词频
53, ,191
24,发生,80
34,进行,67
115,会,56
11,要,54
28,  ,52
79,造成,51
9,做好,42
51,开展,41
120,能,41
121,说,35
490,爆发,35
205,结束,33
265,发动,30
206,让,30
32,出现,29
25,发布,28
194,到,27
13,召开,25
181,打,24
33,加强,24
253,看,23
54,进入,22
83,开始,21
111,落实,21
127,可,19
17,组织,18
140,完成,17
339,报道,17
237,获悉,17
118,表示,17
202,没有,16
37,要求,16
160,可以,16
204,认为,15
114,可能,15
302,称,15
46,保障,15
243,建立,14
685,在,13
918,为主,13
198,导致,13
296,成为,13
105,包括,13
5,应,13
494,需要,13
197,引发,13
391,获得,12
2,防范,12
284,宣布,12
343,避免,12
233,影响,12
519,死亡,12
18,参加,12
154,提升,12
201,负责,11
75,起来,11
678,应该,11
294,给,11
279,为,11
393,看到,11
110,贯彻,10
88,简称,10
55,提高,10
4,转移,10
257,知道,10
242,应对,10
419,达,10
66,重视,10
107,来,10
142,预计,10
188,发起,9
484,印发,9
239,举行,9
387,指出,9
496,发现,9
643,引起,9
184,面对,9
174,令,9
598,付出,9
471,发展,9
67,部署,9
136,采取,9
288,带来,9
213,具有,8
418,投入,8
29,频发,8
72,指导,8
52,强调,8
792,建成,8
31,起,8
354,想,8
139,出,7
500,成立,7
19,分析,7
543,用,7
1193,安置,7
152,公布,7
388,相信,7
790,站,7
372,取得,7
817,过,7
502,入,7
610,改变,7
230,减轻,7
316,作出,7
850,作战,7
95,发,7
692,发挥,7
727,了解,7
69,坚持,7
319,继续,7
547,称为,7
43,使用,7
348,同意,7
62,确保,7
159,决定,7
524,认识,6
1194,恢复,6
199,形成,6
903,算,6
3,化解,6
16,存在,6
145,显示,6
323,上,6
594,提供,6
131,支持,6
712,遭遇,6
209,产生,6
436,值得,6
504,推进,6
47,来到,6
270,挑起,6
119,受,6
536,敢,6
652,集中,6
92,出席,6
647,诱发,6
485,结合,6
511,受到,6
240,总结,6
143,需,6
477,来自,5
401,模拟,5
630,做,5
381,保护,5
800,体现,5
947,成,5
433,解决,5
293,出来,5
289,叫做,5
286,撤出,5
860,得到,5
225,吃,5
463,启动,5
732,保持,5
313,使,5
218,撤军,5
412,参与,5
625,发表,5
214,显得,5
368,代表,5
470,推动,5
208,下去,5
168,留下,5
0,强化,5
38,必须,5
569,如下,5
22,安排,5
132,拥有,5
144,注意,5
57,抓,5
14,听取,5
45,组成,5
148,深入,5
27,能够,5
85,制定,5
151,实现,5
134,遭到,5
155,讯,5
164,战胜,5
102,明确,5
35,实施,5
1437,减少,5
82,反对,5
869,提到,4
229,去,4
452,升级,4
