,动词,词频
26, ,116
0,发生,92
64,造成,67
1,出现,55
43,开展,51
84,做好,41
7,进行,41
3,影响,37
96,召开,36
21,要,32
18,可能,30
329,到,27
110,会,26
77,发布,26
323,转移,25
81,  ,24
199,导致,24
166,引发,22
127,遭受,22
230,遭遇,22
42,组织,21
107,落实,21
116,说,21
2,为主,20
106,贯彻,18
268,获悉,17
83,要求,17
443,安置,16
54,进入,16
46,加强,16
169,了解,15
68,开始,14
114,受,14
10,提高,13
138,显示,12
56,参加,12
38,提升,12
167,启动,12
151,安排,11
113,表示,11
79,防范,11
100,包括,11
235,印发,11
240,死亡,11
48,部署,11
5,可以,10
183,应,10
447,带来,10
52,确保,10
74,简称,10
122,可,10
130,采取,10
134,完成,10
50,坚持,9
591,分析,9
31,保障,9
16,推进,9
303,频发,9
444,损坏,9
168,为,9
436,应对,9
41,强化,9
85,出席,8
234,恢复,8
153,负责,8
771,建立,8
89,发,8
115,能,8
392,入,8
286,指出,8
136,需,8
34,受灾,8
458,降雨,8
45,预计,8
401,受到,7
86,强调,7
49,排查,7
182,结合,7
108,主持,7
15,成立,7
57,指导,7
612,指,7
203,该,7
232,介绍,7
137,注意,7
253,达,7
218,发现,7
22,提醒,7
386,需要,7
189,提供,6
485,来源,6
27,宣布,6
659,致,6
287,至上,6
423,经历,6
297,讲话,6
273,降低,6
442,统计,6
241,称,6
219,减少,6
147,讯,6
342,预测,6
238, 请,6
526,倒塌,6
145,公布,6
267,举行,5
270,能够,5
265,查明,5
236,说明,5
51,抓,5
663,困,5
668,摄,5
144,实现,5
275,传递,5
325,继续,5
186,关注,5
527,相比,5
421,下降,5
534,报道,5
559,用,5
434,参与,5
863,同意,5
217,拍摄,5
563,面对,5
581,设,5
316,让,5
525,形成,5
445,认为,5
496,做,5
658,超警,4
205,预防,4
201,组成,4
175,分享,4
206,查看,4
200,增加,4
193,撤离,4
176,看,4
304,保护,4
244,覆盖,4
730,失踪,4
762,摸清,4
776,淹没,4
519,出来,4
797,超过,4
754,掌握,4
440,准备,4
412,认识,4
408,受伤,4
400,使,4
834,作出,4
353,赶赴,4
340,完善,4
254,冲毁,4
336,扫,4
567,发挥,4
318,组建,4
317,看到,4
307,起,4
305,担当,4
293,消除,4
284,发表,4
704,主演,4
617,达到,4
255,偏少,4
341,传达,4
660,在,4
165,模拟,4
93,请,4
71,制定,4
152,举办,4
154,邀请,4
60,起来,4
58,作为,4
53,下发,4
141,深入,4
40,检验,4
39,响应,4
78,实施,4
82,发出,4
20,遇,4
33,集中,4
133,出,4
139,走进,4
104,调研,4
862,抵御,3
397,减轻,3
813,会商,3
814,核定,3
816,体现,3
404,避免,3
271,来临,3
280,联系,3
292,统筹,3
72,有利于,3
295,划定,3
337,打开,3
376,总结,3
840,用于,3
879,行动,3
101,评估,3
359,发展,3
315,拟定,3
417,上线,3
97,明确,3
857,批示,3
320,检查,3
416,成为,3
433,联合,3
419,建设,3
424,吃,3
6,拥有,3
649,没有,3
664,包围,3
9,修建,3
638,成,3
631,抗击,3
687,想,3
11,治理,3
614,排放,3
608,产生,3
697,过境,3
699,损毁,3
594,处于,3
13,来到,3
586,派出,3
539,降,3
746,具有,3
504,遭,3
503,告急,3
482,摄 ,3
463,投入,3
47,重视,3
455,得到,3
448,降到,3
438,调动,3
805,赔,3
126,支持,3
429,巡查,3
425,迎来,3
246,至,3
413,主办,3
208,结束,3
170,下,3
215,袭击,3
197,掩埋,3
156,守护,3
143,透露,3
223,保证,3
221,开闸,3
470,淹,2
475,呈现,2
190,威胁,2
464,接触,2
476,波动,2
778,泛滥,2
192,出动,2
195,讨论,2
191,中断,2
454,变得,2
128,遭到,2
775,持续,2
486,编辑,2
489,穿,2
494,见到,2
767,促进,2
765,生活,2
506,延期,2
982,规范,2
760,制造,2
510,适应,2
512,运抵,2
513,调拨,2
449,专访,2
150,领导,2
61,像,2
380,转载,2
358,推动,2
360,做出,2
361,搬迁,2
363,前往,2
369,学习,2
370,作,2
945,返贫,2
374,收听,2
375,收看,2
377,研判,2
382,爆发,2
439,接到,2
827,树立,2
395,做实,2
212,肆虐,2
915,捐赠,2
414,承办,2
420,打造,2
944,克服,2
427,沉降,2
202,展开,2
516,突发,2
514,驰援,2
157,刮起,2
847,致使,2
521,出去,2
600,有所,2
696,涉及,2
691,聚焦,2
616,重于,2
625,下起,2
680,打通,2
630,采访,2
675,开,2
635,帮助,2
672,在于,2
671,波及,2
670,供图,2
669,堪,2
642,浸泡,2
667,受阻,2
666,积水,2
665,增派,2
662,吓坏,2
651,解读,2
652,走向,2
653,观察,2
654,牵动,2
655,加码,2
656,多 ,2
657,占,2
597,暴露,2
596,扩散,2
702,杀青 ,2
545,谨防,2
522,开启,2
523,控制,2
32,存在,2
29,合作,2
28,开发,2
25,防御,2
925,期待,2
184,调整,2
541,喝,2
