,动词,词频
53, ,157
30,喷发,112
24,发生,110
79,造成,81
34,进行,62
51,开展,60
137,会,58
11,要,56
25,发布,44
13,召开,43
9,做好,43
28,  ,42
133,说,42
287,可能,41
32,出现,36
114,报道,35
219,到,35
117,导致,32
171,引发,28
182,可以,25
121,位于,25
33,加强,24
111,落实,24
341,为主,23
128,称,23
208,影响,23
301,形成,22
17,组织,22
83,开始,20
54,进入,19
37,要求,19
513,能,19
223,表示,19
105,包括,18
19,分析,18
110,贯彻,18
123,达,18
5,应,17
55,提高,16
241,提升,15
88,简称,15
129,出,15
292,产生,15
145,发现,15
144,覆盖,15
122,喷出,15
120,显示,14
313,死亡,14
0,强化,13
423,可,13
346,印发,13
173,为,13
135,预测,13
212,获悉,13
46,保障,13
278,指出,12
214,举行,12
435,带来,12
69,坚持,12
67,部署,11
95,发,11
157,负责,11
92,出席,11
174,了解,11
131,达到,11
127,关注,11
355,看到,11
18,参加,10
138,爆发,10
2,防范,10
305,介绍,10
615,遭遇,10
4,转移,10
265,至,10
234,推进,10
172,启动,9
180,看,9
115,使,9
218,建立,9
384,认为,9
732,公布,9
426,需要,9
107,来,9
29,频发,9
366,发展,9
35,实施,9
149,来自,8
102,明确,8
140,讯,8
310,让,8
289,讲话,8
916,同意,8
118,撤离,8
668,确认,8
392,遭受,8
139,增加,8
22,安排,8
52,强调,8
572,受到,8
62,确保,8
217,应对,8
189,预计,8
195,提供,8
232,利用,7
560,超过,7
295,引起,7
614,派出,7
168,采取,7
23,掌握,7
501,得到,7
573,宣布,7
264,降低,7
306,在,7
207,查明,7
433,恢复,7
484,安置,7
317,受,7
478,入,7
57,抓,6
788,相比,6
574,处于,6
391,令,6
15,研究,6
307,知道,6
204,减轻,6
70,下发,6
68,排查,6
954,斗,6
416,用,6
717,摸清,6
246,修订,6
99,请,6
188,结合,6
279,至上,6
457,下降,6
467,成立,6
192,注意,6
495,成,6
112,主持,6
331,继续,6
509,做,6
119,拍摄,6
512,完成,6
540,需,6
206,拥有,5
290,受伤,5
175,下,5
179,分享,5
10,做到,5
196,威胁,5
16,存在,5
249,偏少,5
158,邀请,5
235,谋划,5
14,听取,5
440,应该,5
552,出来,5
26,来临,5
470,参与,5
85,制定,5
448,成为,5
47,来到,5
427,指,5
542,集中,5
966,损坏,5
641,排放,5
964,如下,5
31,起,5
453,具有,5
955,积累,5
66,重视,5
359,响应,5
61, 为,5
342,说明,5
136,表明,5
594,发挥,5
963, 现,4
245,联合,4
250, 有,4
456,突如其来,4
215,总结,4
244,夯实,4
590,避免,4
608,面临,4
767,主演,4
238,赴,4
589,面对,4
455,希望,4
323,伴随,4
449,上线,4
451,打造,4
644,来源,4
343,扫,4
315,持续,4
344,打开,4
312,经历,4
868,中断,4
671,迫使,4
365,推动,4
928,指示,4
417,开,4
915,抵御,4
450,建设,4
634,保持,4
428,称为,4
845,设置,4
628,作出,4
619,建,4
285,分布,4
444,认识,4
330,支持,4
276,发表,4
670,上升,4
1048,疏散,4
72,指导,4
202,选择,4
43,使用,4
91,发出,4
40,加大,4
94,严防,4
12,处理,4
45,组成,4
75,起来,4
73,作为,4
130,扩散,4
8,统筹,4
80,摧毁,4
125,超,4
27,能够,4
3,化解,4
108,调研,4
901,降到,3
387,过,3
389,流离失所,3
304,游玩,3
672, 据,3
917, 定于,3
527,遭到,3
665,警告,3
913,属,3
981,讨论,3
653,研发,3
524,居住,3
990,观察,3
536,诱发,3
640,塌陷,3
909,行动,3
648,陷入,3
48,检查,3
921,得知,3
918,编制,3
956,下去,3
63,预防,3
60,到来,3
150,代表,3
151,推荐,3
947,考察,3
946,相关,3
339,减少,3
953,治水,3
937,遇到,3
71,意味,3
358,失联,3
972,停止,3
609,设,3
612,发动,3
1029,会同,3
319,看看,3
617,转移 ,3
44,率,3
681,倒塌,3
547,包含,3
370,前往,3
1150,构建,3
502,释放,3
991,确定,3
1042,喷,3
755,失踪,3
252,知,3
465,领导,3
734,订购,3
462,沉降,3
736,事发,3
459,迎来,3
243,增强,3
199,吃,3
452,保护,3
855,加快,3
101,播放,3
1022,规范,3
812,证实,3
226,汇报,3
445,主办,3
106,评估,3
796,致,3
216,带领,3
255,肆虐,3
348,传达,3
713,用于,3
260,实现,3
488,提出,3
867,有,3
477,树立,3
262, 受,3
267,传递,3
479,接近,3
272,联系,3
883,核定,3
962,提示,2
1008,照亮,2
1163,发给,2
555,展开,2
957,学,2
446,承办,2
100,点击,2
526,防御,2
949,开闸,2
952,移山,2
1164,批准 ,2
489,   ,2
439,说起,2
951,特有,2
437,距离,2
434,描述,2
950,蓄洪,2
74,听,2
481,处置,2
483,突发,2
965,统计,2
531,伴有,2
475,接到,2
533,减弱,2
976,返贫,2
466,到位,2
975,克服,2
516,结束,2
77,落入,2
504,突出,2
460,担当,2
989,关闭,2
76,像,2
93,打起,2
549,带出,2
1166,偏轻,2
1165,废止,2
514,震撼,2
550,估计,2
474,简介,2
86,有利于,2
213,完善,2
948,探访,2
715,假设,2
742,工作,2
739,接受,2
735,相当于,2
733,升至,2
726,站,2
851,暴露,2
721,查看,2
712,收集,2
745,充满,2
707,下令,2
706,阻止,2
864,下达,2
697,毁坏,2
877,研判,2
882,会商,2
683,调查,2
743,治疗,2
839,融合,2
886,列举,2
822,变得,2
802, 让,2
794,降雨,2
793,掩埋,2
806,维持,2
787,冒,2
786,位,2
811,爆料,2
768,出演,2
834,地勘,2
766,领衔,2
765,杀青 ,2
828,生活,2
761,损毁,2
