,动词,词频
24,发生,223
53, ,173
71,造成,88
34,进行,80
51,开展,61
11,要,55
28,  ,50
93,扑灭,46
13,召开,41
124,引发,40
110,到,38
25,发布,37
33,加强,34
9,做好,33
232,会,33
457,死亡,31
17,组织,30
247,获悉,28
74,了解,27
32,出现,27
188,接到,26
84,说,24
265,落实,23
90,导致,23
55,提高,23
242,影响,22
348,位于,21
322,可能,21
376,调查,20
360,起火,20
351,处置,19
5,应,18
398,赶赴,18
137,扑救,18
0,强化,17
347,称,17
79,举行,17
150,引起,16
462,通报,16
422,完成,16
96,可以,16
37,要求,16
482,报道,15
646,可,15
252,建立,15
349,调派,15
283,贯彻,15
743,出动,14
164,为,14
116,发现,14
555,能,14
129,提升,14
223,注意,14
526,带来,13
91,表示,13
2,防范,13
108,看到,12
613,为主,12
135,蔓延,12
170,利用,12
77,分享,12
29,频发,12
19,分析,12
18,参加,12
46,保障,12
16,存在,11
83,开始,11
201,伤亡,11
54,进入,11
186,发表,11
246,讯,11
52,强调,11
453,受伤,11
212,看,11
162,到达,11
584,在,10
362,成为,10
220,预计,10
367,得到,10
421,印发,10
228,提供,10
740,致,10
895,到场,10
181,请,10
312,指出,10
631,引燃,10
156,显示,10
592,燃烧,9
747,减少,9
368,疏散,9
204,出,9
552,产生,9
630,烧,9
4,转移,9
224,关注,9
121,着火,9
153,调集,9
435,成立,9
250,部署,9
430,需要,9
384,发,9
340,让,8
48,检查,8
190,负责,8
75,打开,8
601,介绍,8
47,来到,8
207,启动,8
22,安排,8
31,起,8
134,赶到,8
602,确定,8
226,包括,8
268,推进,8
599,抢救,7
57,抓,7
12,处理,7
313,坚持,7
690,公布,7
155,报警,7
343,指导,7
498,突发,7
350,前往,7
81,出席,7
193,简称,7
248,完善,7
95,防,7
295,实现,7
420,预测,7
238,减轻,7
43,使用,7
62,确保,7
87,采取,7
271,来,7
353,具有,7
115,至,7
307,联系,7
390,存放,7
176,看看,7
166,来自,6
608,统计,6
449,避免,6
370,应该,6
179,来源,6
404,发展,6
460,困 ,6
276,增强,6
189,冒出,6
191,邀请,6
203,排查,6
241,查明,6
383,接报,6
500,安置,6
544,受,6
163,举办,6
136,烧毁,6
27,能够,6
76,查看,6
744,救出,6
23,掌握,6
126,许 ,6
753,点燃,6
26,来临,6
1103,达,6
35,实施,6
697,应急,6
692,作出,6
254,主持,5
723,面对,5
598,推荐,5
119,带领,5
251,应对,5
529,做,5
837,失踪,5
474,爆料,5
184,设置,5
371,接,5
549,需,5
40,加大,5
1101,燃起,5
219,结合,5
790,涉及,5
302,传递,5
206,模拟,5
128,见,5
502,建设,5
394,认定,5
947,困,5
984,遭遇,5
667,达到,5
279,修订,5
637,住,5
641,灭火,5
612,发挥,5
160,上,5
437,入,5
446,受到,5
324,讲话,5
1081,事发,5
180,转载,5
319,消除,5
229,威胁,4
830, 让,4
813,遭受,4
991,同意,4
412,传达,4
413,学习,4
100,逃生,4
958,行动,4
70,遇到,4
61, 为,4
372,赶往,4
456,送往,4
1098,冲天,4
280,调研,4
85,重视,4
80,主办,4
249,总结,4
1096,提出,4
263,筑牢,4
922,灼伤,4
445,使,4
300,作为,4
284,偏少,4
92,参与,4
650,成,4
1035,恢复,4
10,做到,4
664,处于,4
172,持续,4
748,清理,4
589,接警,4
800,主演,4
745,核查,4
183,到位,4
165,打造,4
8,统筹,4
314,至上,4
140,给,4
606, 请,4
177,保护,4
345,检验,4
679,遇,4
320,分布,4
761,侦查,4
3,化解,4
323,值得,4
515,询问,4
660,形成,4
764,用,4
554,起来,4
1179,分为,4
769,告诉,4
113,赴,4
551,集中,4
782,想,4
539,伴有,4
1040,损坏,4
1056,健全,3
339,拟定,3
341,组建,3
1292,亟待,3
387,烧掉,3
366,没有,3
1259,批复,3
1088,浓烟滚滚,3
1223,属,3
382,损失,3
1222,表明,3
380,展开,3
378,失火,3
377,   ,3
373,运用,3
1125,喷出,3
1137,受灾,3
364,遭到,3
1235,占,3
470,继续,3
400,拟,3
946,搜救,3
786,聚焦,3
534,防御,3
535,令,3
775,制定,3
767,准备,3
574,拍摄,3
580,帮助,3
590,火光冲天,3
734,认为,3
604,意味,3
691,焚烧,3
682,控制,3
681,超过,3
617,考虑,3
622,冲,3
663,排放,3
662,塌陷,3
661,沉降,3
328,办,3
1,立足于,3
648,灭,3
520,该,3
514,摄 ,3
791,过境,3
468,有待,3
426,爆发,3
937,检修,3
929,遇难,3
921,完毕,3
914,治疗,3
885,查,3
876,负,3
852,认识,3
851,摸清,3
469,得,3
503,支持,3
839,相比,3
653,用于,3
475,问,3
476,有所,3
494,严防,3
495,接近,3
828,登陆,3
827,距,3
809,反映,3
332,深入,3
659,指,3
64,演练,3
82,宣布,3
215,相信,3
278,联合,3
94,熟悉,3
301,出于,3
69,撤离,3
88,覆盖,3
63,预防,3
277,夯实,3
154,增加,3
14,听取,3
317,抓好,3
117,浓烟滚滚 ,3
321,划定,3
187,报料,3
157,通知,3
109,想到,3
262,播放,3
15,研究,3
143,吸烟,3
67,有,3
237,去,3
236,选择,3
86,出台,3
616,依赖,2
103,失控,2
1186, 经,2
59,为期,2
531,返,2
530,保证,2
536,创下,2
543,拉开,2
985,希望,2
541,减弱,2
105,蒙受,2
981,上线,2
545,诱发,2
58,滑坡,2
993,购买,2
1175,获取,2
994,给予,2
208,下,2
995, 至,2
205,发放,2
202,有关,2
1172,领会,2
558, 见,2
983,旅游,2
798,杀青 ,2
217,合作,2
524,留意,2
481,致敬,2
1219,构建,2
821,涉嫌,2
484,走,2
962,外出,2
966,吞噬,2
815,下降,2
814,烧死,2
492,简介,2
99,指示,2
233,吃,2
1208,阻碍,2
231,上班,2
230,享受,2
501,透露,2
225,点,2
508,呈现,2
509,波动,2
801,出演,2
222,播种,2
221,调整,2
516,遂行,2
517,编辑,2
978,下去,2
799,领衔,2
776,打通,2
521,穿,2
522,脱,2
979,建成,2
997,相关,2
768,在于,2
561,开采,2
1090,防止,2
705,搜寻,2
658,上报,2
706,送,2
656,有利于,2
44,率,2
1089,扑灭 ,2
707,救治,2
1041,能否,2
1049,维护,2
1093,核定,2
1094,挂牌,2
1095,落实习,2
159,报,2
713,明确,2
1051,待,2
701,关闭,2
45,组成,2
1053,入汛,2
698,    ,2
49,率队,2
1075, 据,2
671,陷入,2
673,下起,2
1058,批示,2
1059,会商,2
1071,站,2
677,含有,2
1062,感受,2
141,制造,2
683,挽回,2
1067,消防,2
1104,留下,2
50,履行,2
1168,放过,2
112,带队,2
751,回应,2
752,拆除,2
1007,积累,2
1006,斗,2
114,行,2
763,过去,2
765,携带,2
1107,堵住,2
200,如,2
111,高达,2
479,整理,2
1000,经历,2
565,升高,2
107,烧没,2
196,刮起,2
591,传出,2
118,疑似,2
595,呼救,2
596,开,2
746,清除,2
30,喷发,2
1136,会同,2
185,起到,2
122,停放,2
1133,牵头,2
175,下 ,2
1119,培育,2
726,保持,2
56,配合,2
1037,克服,2
1038,返贫,2
480,归,2
974,属于,2
688,放,2
419,研判,2
406,搬迁,2
1267,靠,2
860,地勘,2
1264,怀疑,2
273,提醒,2
272,陪同,2
857,促进,2
936,解决,2
1260,负有,2
7,落,2
855,生活,2
270,纳入,2
940,痛心,2
303,标注,2
1297,感应,2
888,谋取,2
1255,判,2
424,收到,2
266,走进,2
357,着火 ,2
356,出来,2
355,暴露,2
850,变得,2
889,收受,2
861,贯通,2
919,救援,2
299,降低,2
274,下载,2
290,肆虐,2
925,加快,2
873,双开,2
924,接受,2
871,开放,2
285, 有,2
870,查清,2
869,建议,2
388,失火 ,2
389,殃及,2
1277,揭牌,2
1276,赢得,2
867,把握,2
882,致使,2
883,过火,2
369,居住,2
297, 受,2
396,失联,2
397,响应,2
1271,批准,2
863,呼吁,2
862,发出,2
403,推动,2
264,选取,2
304,侵犯,2
305,持,2
337,名为,2
896,拉起,2
256,围绕,2
834,维持,2
912,查处,2
