,动词,词频
53, ,177
24,发生,117
74,造成,92
34,进行,85
51,开展,77
13,召开,69
9,做好,67
11,要,65
33,加强,50
106,落实,44
25,发布,43
28,  ,41
110,会,40
37,要求,38
32,出现,37
109,可能,34
216,到,33
168,引发,32
17,组织,31
320,为主,31
316,影响,31
105,贯彻,30
5,应,29
209,获悉,28
55,提高,26
116,说,25
149,提升,22
0,强化,22
61,部署,21
54,进入,21
325,印发,21
215,建立,20
469,导致,20
2,防范,20
19,分析,19
170,为,18
63,坚持,17
211,举行,17
83,简称,16
135,完成,16
100,包括,16
137,预计,16
52,强调,15
272,指出,15
228,推进,15
46,保障,15
171,了解,15
214,应对,15
18,参加,15
398,死亡,15
4,转移,14
204,减轻,14
155,负责,14
122,可,14
113,表示,13
107,主持,13
457,带来,13
67,指导,13
22,安排,13
115,能,13
637,介绍,13
87,出席,13
29,频发,12
493,报道,12
57,抓,12
546,遭遇,12
80,制定,12
376,成立,11
147,公布,11
64,确保,11
131,采取,11
128,遭受,11
210,完善,11
169,启动,11
179,可以,11
371,需要,10
378,入,10
346,发展,10
328,预测,10
114,受,10
140,显示,10
184,结合,10
432,安置,10
62,排查,10
890,损坏,10
138,需,9
319,减少,9
146,实现,9
60,重视,9
90,发,9
603,作出,9
282,讲话,9
97,明确,8
235,关注,8
492,成为,8
14,听取,8
139,注意,8
94,请,8
212,总结,8
156,邀请,8
134,出,8
150,讯,8
886,恢复,7
711,相比,7
719,得到,7
229,谋划,7
10,做到,7
838,同意,7
241,发现,7
627,认为,7
238,增强,7
389,避免,7
468,产生,7
557,达到,7
532,称,7
399,认识,7
68,作为,7
521,发挥,7
517,面对,7
403,具有,7
65,下发,7
26,来临,7
35,实施,7
466,防御,7
78,开始,7
661,出台,6
273,至上,6
23,掌握,6
386,受到,6
717,失踪,6
698,核定,6
522,形成,6
70,起来,6
906, 请,6
397,宣布,6
232,赴,6
412,沉降,6
639,摸清,6
48,检查,6
102,来,6
599,建议,6
338,失联,6
571,指,6
27,能够,6
126,支持,6
242,修订,6
573,排放,6
327,传达,6
8,统筹,6
16,存在,6
636,提供,6
15,研究,6
258,降低,6
558,提出,6
505,在,5
279,分布,5
47,来到,5
177,看,5
852,建成,5
470,引起,5
840,编制,5
245,偏少,5
251,肆虐,5
187,威胁,5
255,查明,5
496,应该,5
770,加快,5
426, 为,5
270,发表,5
357,上,5
3,化解,5
167,模拟,5
829,行动,5
103,调研,5
339,响应,5
572,塌陷,5
563,保持,5
946,分为,5
950,问,5
89,严防,5
323,打开,5
911,维护,5
542,达,5
537,面临,5
143,深入,5
460,做,5
784,中断,5
299,让,5
888,如下,5
289,保护,5
203,选择,5
407,下降,5
31,起,5
230,纳入,4
790,倒塌,4
767,暴露,4
332,防,4
239,夯实,4
345,推动,4
433,建设,4
415,到位,4
405,希望,4
467,集中,4
568,打造,4
367,爆发,4
584,转,4
322,扫,4
240,联合,4
321,说明,4
655,开,4
288,预防,4
266,联系,4
261,传递,4
259,至,4
765,承担,4
574,处于,4
781,取得,4
954,构建,4
45,组成,4
86,发出,4
934,会同,4
961,受灾,4
928,规范,4
837,抵御,4
919,批示,4
58,滑坡,4
141,走进,4
142,利用,4
949,答,4
154,举办,4
799,会商,4
30,喷发,4
12,处理,4
652,准备,3
927,牵头,3
298,拟定,3
362,研判,3
355,学习,3
591,投入,3
300,看到,3
931,挂牌,3
342,拟,3
341,调度,3
301,组建,3
796,予以,3
336,认定,3
153,领导,3
918,健全,3
660,预报,3
127,拥有,3
101,评估,3
633,推荐,3
306,演练,3
307,继续,3
909,讨论,3
318,降水,3
915,入汛,3
217,解读,3
85,批准,3
556,满足,3
447,来源,3
461,保证,3
462,返,3
431,突发,3
484,出来,3
429,处置,3
427,接近,3
40,加大,3
43,使用,3
44,率,3
500,帮助,3
506,游玩,3
410,迎来,3
409,经历,3
406,突如其来,3
56,配合,3
1000,确定,3
998,诱发,3
986,应当,3
