,动词,词频
7, ,162
175,发生,70
162,造成,56
16,会,56
108,进行,53
47,  ,51
25,到,47
97,出现,43
43,要,42
101,可能,41
349,召开,40
59,发布,39
176,说,36
99,影响,33
570,做好,32
474,开展,29
159,报道,28
391,要求,26
32,导致,25
208,引发,25
551,落实,25
98,预计,25
155,达到,22
51,为主,22
246,加强,20
1,来袭,20
729,遭遇,19
327,能,19
40,来,17
86,看,17
354,达,17
645,获悉,17
586,组织,17
106,可,16
602,贯彻,16
91,进入,16
20,让,16
60,称,15
306,指出,15
35,需要,14
103,带来,14
79,发表,14
264,为,14
800,可以,14
657,防范,13
30,成为,13
605,强化,13
163,增加,13
244,表示,12
257,了解,12
113,举行,12
608,包括,12
568,部署,12
534,完成,12
236,开始,12
420,提高,12
502,持续,11
152,迎来,11
413,提升,11
596,应对,11
128,关注,11
164,分析,11
57,宣布,11
1013,建立,11
549,印发,11
154,显示,11
589,出席,10
280,推进,10
247,应,10
480,介绍,10
1023,主持,10
450,预测,10
449,死亡,10
207,席卷,10
603,坚持,9
44,注意,9
281,发展,9
233,频发,9
286,成立,9
269,看到,9
214,经历,8
289,掀起,8
52,开,8
288,发现,8
320,出,8
869,强调,8
566,入,8
36,考虑,8
161,受,8
528,负责,8
484,在,8
411,转移,8
195,作出,7
190,提供,7
419,发挥,7
677,产生,7
732,形成,7
120,举办,7
902,公布,7
0,过,7
337,启动,7
638,安置,7
361,来到,7
543,请,7
673,保障,7
613,确保,7
125,做,7
643,安排,7
18,起来,7
124,想,6
14,开启,6
594,具有,6
574,减轻,6
553,实现,6
19,选择,6
21,结束,6
505,超过,6
501,创,6
390,避免,6
467,引起,6
456,遭受,6
433,认为,6
249,提出,6
56,感受,6
83,掌握,6
48,   ,6
1200,损坏,6
1021,讲话,6
39,起,6
50,迎,6
1026,建议,5
590,认识,5
601,采取,5
801,处于,5
622,至,5
166,看看,5
630,发,5
177,喜欢,5
675,防御,5
577,受到,5
676,集中,5
100,接近,5
703,指,5
719,减少,5
189,代表,5
234,讯,5
227,来源,5
799,排放,5
153,推荐,5
27,主演,5
1146,同意,5
490,更新,5
536,见,5
498,参加,5
993,相比,5
540,联系,5
963,需,5
377,应该,5
488,增强,5
135,开放,5
548,打破,5
550,结合,5
421,降低,5
8,令,5
140,希望,5
477,分,4
24,出来,4
707,用于,4
569,抓,4
720,预报,4
722,转,4
63,能够,4
695,指导,4
400,使,4
1037,加快,4
412,实施,4
766,面临,4
768,总结,4
789,保持,4
384,控制,4
49,提醒,4
252,去,4
611,排查,4
355,超,4
81,邀,4
325,升级,4
598,下降,4
600,吃,4
604,至上,4
503,高于,4
681,威胁,4
627,来临,4
628, 为,4
297,位于,4
87,该,4
291,相信,4
1105,研究,4
29,接到,4
1018,融合,4
838, 请,4
946,核定,4
38,承担,4
960,简称,4
194,来自,4
37,拥有,4
109,处理,4
110,打造,4
908,摄,4
911,出台,4
912,制定,4
970,抵御,4
674,重视,3
491,带,3
351,上升,3
489,变得,3
263,走进,3
1019,得到,3
991,偏少,3
582,受伤,3
261,覆盖,3
980,登陆,3
319,体现,3
134,确定,3
1176,抵达,3
256,拉开,3
688,升高,3
1005,摸清,3
253,冲,3
1052,中断,3
653,摄 ,3
661,穿,3
523,执行,3
629,严防,3
631,分布,3
635,突发,3
904,聚焦,3
292,有所,3
1142,听取,3
88,没有,3
89,掀,3
284,响应,3
5,备受,3
617,联合,3
1222,变暖,3
609,沉降,3
279,推出,3
278, 于,3
1150,建成,3
625,赴,3
1265,分为,3
1036,保护,3
387,建,3
955,发出,3
742,破解,3
855,明确,3
448,创下,3
330,参与,3
767,设,3
444,始于,3
430,住,3
1208,讨论,3
572,邀请,3
784,做到,3
422, 让,3
1274,构建,3
107,取得,3
41,飙升,3
127,刷到,3
950,谋划,3
414,建设,3
796,传递,3
1103,警告,3
798,塌陷,3
748,面对,3
302,到来,3
1016,呼吁,3
708,上线,3
741,待,3
830,降水,3
392,忘记,3
323, 冲,3
1015,统筹,3
245,增长,3
846,成,3
1207,如下,3
156,陷入,3
1194,传达,3
740,继续,3
831,使用,3
555,收到,2
965, 至,2
1127, 受,2
558,爆发,2
556,转载,2
962,辞去,2
1138,旅游,2
1107,展现,2
1290, 以,2
951,纳入,2
958,告诉,2
552,完善,2
1305,领会,2
1294, 减轻,2
802,预估,2
1144,阐述,2
447,困扰,2
1192,恢复,2
464,讲,2
463,挂牌,2
457,说起,2
454,预言,2
1196,克服,2
443,健身,2
1181,过来,2
436,担忧,2
1020, 省,2
423,做出,2
1199,致,2
1197,返贫,2
1017,运用,2
1324,诱发,2
468,呈现,2
535,赶到,2
975,致使,2
1308,获取,2
973,逾,2
514,听,2
511,拿,2
509,送到,2
1148,购买,2
1158,考察,2
1312,合作,2
500,作,2
1024,把握,2
985,维持,2
988,失踪,2
486,觉得,2
1165,斗,2
492,隐身,2
621,简介,2
583,称 ,2
853,肆虐,2
1048,下达,2
1051,有,2
833,模拟,2
718,降雨,2
706,发放,2
704,解,2
1248,坚守,2
702,称为,2
1236,编制,2
865,发 ,2
691,上,2
1257,失联,2
683,包含,2
883,监测,2
1206,通知,2
885,逼近,2
728,走 ,2
1247,袭,2
815,编写,2
810,研发,2
797,上报,2
795,打开,2
794,化解,2
792,有利于,2
791,调动,2
785,预防,2
783,深入,2
782,满足,2
779,耐,2
773,派出,2
771,发动,2
769,构成,2
808,下起,2
762,改变,2
761,提及,2
1261,批示,2
1234,牵头,2
1204,采访,2
1270,问,2
933,领衔,2
803,重于,2
1091,设计,2
607,预警,2
1096,戏水,2
1029,突出,2
1028,查清,2
1097,降温,2
671,居住,2
943,加大,2
948,打好,2
597,突如其来,2
1272,事关,2
1102,体验,2
593,引领,2
591,主办,2
1264,防治,2
623,报警,2
624,树立,2
626,调研,2
887,关闭,2
666,见到,2
660,备好,2
1068,予以,2
651,致电,2
1072,会商,2
1081,抗击,2
650,对照,2
646,波动,2
1082,表彰,2
888,滚滚,2
1087,力求,2
639,支持,2
1030,游玩,2
925,过境,2
669,返,2
668,保证,2
353,统计,2
357,暴露,2
66,观看,2
332,消除,2
65,联动,2
105,侵犯,2
111,相约,2
112,筑,2
224,言,2
340,等,2
116,闪,2
221,想要,2
55,开幕,2
217,规定,2
122,退 ,2
213,生活,2
34,突破,2
382,决定,2
205,上市,2
362,落地,2
199,讲述,2
366,放火,2
28,搭档,2
26,扮演,2
191,演唱,2
367,烧,2
139,拿出,2
371,过去,2
22,在于,2
15,当,2
146,装,2
379,不断,2
228,评,2
318,占,2
317,拼,2
67,行,2
80,评论,2
78,审核,2
77,中,2
82,相聚,2
76,接受,2
84,易览,2
275,加入,2
75,抓 ,2
241,出发,2
276,推动,2
285,透露,2
287,围绕,2
74,来回,2
238,回,2
73,流 ,2
237,回升,2
294,入市,2
72,指挥 ,2
71,前行,2
70,踏浪,2
298,难得一见,2
300,制订,2
69,移动,2
304,使得,2
305,笼罩,2
231,减 ,2
68,按住,2
230,刷新,2
310,出版,2
147,供,2
258,涵盖,2
167,玩,2
401,切断,2
4,促进,2
393,愿,2
174,呈,2
405,集结,2
158,涉及,2
388,忍受,2
397,加剧,2
416,抢,2
170,惧,2
1060,怎样,1
1058,倒塌,1
1057,碰,1
923,整治,1
1059,冲走,1
924,治,1
148,注入,1
1061,打扫,1
926,倾倒,1
922,抗拒,1
1063,上 ,1
921,回到,1
920,家 ,1
1064,出于,1
919,分开,1
918,发誓,1
1062,研判,1
1055, 晃荡,1
1056,算是,1
917,互认,1
1039,亏空 ,1
931,扩散,1
1040,摧毁,1
930,估量,1
1041,停电,1
1042,停暖,1
1043,蒙受,1
929,重建,1
1044,调度,1
1045,防患于未然,1
1046,波及,1
1047,下发,1
104,归,1
928,花,1
927,损毁,1
1049, 有,1
1050,创新,1
102,提防,1
96,对标,1
1053,对不起,1
1054,欠,1
1065,标注,1
914,陪同,1
1066,持,1
1092,相当于,1
1083,弘扬,1
1084,激发,1
1085,投身,1
1086,激励,1
90,成团出道 ,1
1088,降到,1
1089,抚慰,1
1090,称之为,1
85,趁热打铁,1
1093,照耀,1
93, 瞧,1
1094,展开,1
1095,夺走,1
905,见面,1
171,玩到,1
903,换新,1
172,扎进,1
1098,纵贯,1
901,铺天盖地,1
1099, 烧,1
92,各显神通,1
1080,苦不堪言 ,1
916, 就,1
1071,着眼于,1
915,搬迁,1
913,打通,1
168,晒,1
1067,删除,1
95,身为,1
169,想念,1
1069,现代化,1
1070,立足于,1
910,获得,1
94,摇旗呐喊,1
1079,降临,1
1073,寓意,1
1074,列举,1
1075,失控,1
1076,流离失所,1
1077,获,1
909,出名,1
907,稳定,1
1078,投保,1
906,经,1
1038,筹划,1
1035,投入,1
932,杀青 ,1
997,想想,1
979,距,1
151,感觉,1
981,偏多  ,1
949,量 ,1
157,驱动,1
982,封冻,1
947,杜绝,1
983,利于,1
984,减产,1
138,做足,1
986,必不可少,1
987,缴,1
137,蛰伏,1
989,划定,1
990,伴有,1
136,点燃,1
992, 自,1
133,锁定,1
994,偏高,1
995,爆料,1
945,决策,1
978,散,1
977,远胜于,1
976,灌溉,1
967,歉收,1
959,离职,1
956,瞎 ,1
961,递交,1
149,充满,1
954,付,1
145,提,1
964,公认,1
144,兼具,1
966,表明,1
968,抵消 ,1
141,扳回,1
953,焕发,1
969,存储,1
143,百花齐放 ,1
971,接下来,1
952,优化,1
150, 暖,1
972,高出,1
142,殊途同归,1
974,延续,1
996,证实,1
944,圈定,1
957,摆明,1
998,足以,1
940,通报,1
939,用,1
121,到达,1
119,助,1
1022,促,1
118,建党,1
117,献礼,1
938,丰收,1
937,值爆,1
1025,把,1
936,占领,1
935,开机,1
1027,设置,1
115,围观,1
114,献给,1
934,出演,1
165,融创,1
1031,前往,1
1032,开发,1
1033,避开,1
1034,关心,1
123,何去何从 ,1
126,下手,1
129,拍,1
1006,查明,1
999,炸毁,1
1000,悬,1
160,凸显,1
1001,移开,1
1002,天马行空,1
1003,制造,1
1004,损失,1
942,撤离,1
132,敌,1
1007, 勿忘,1
130,战罢,1
1008,学会,1
1100,烤 ,1
1009,讲解,1
1010,准备,1
941,遭到,1
1011,制作,1
1012,地勘,1
131,收藏,1
1014,贯通,1
418,得以,1
1125,形容,1
1101,升高 ,1
1254,堆积,1
1256,下拨,1
23,公开,1
1258,滑坡,1
1259,暴发,1
1260,陡涨,1
1262,许 ,1
1263,埋 ,1
17,拉,1
1266, 履责,1
1267,认定,1
1268,施行,1
1269,答,1
13, 猜,1
1271,入选,1
12,议论,1
1273,深化,1
11,获奖,1
1275,排除,1
1276,相比 ,1
1277, 温和 ,1
1278,布设,1
1279,刻制,1
1280,培育,1
1255,堆满,1
1253,跟随,1
1282,受灾,1
1252,未雨绸缪,1
1227,重创,1
1228,首当,1
1229,涌动,1
1230,身处,1
1231,主导,1
1232, 现,1
1233,函复,1
33,飙到,1
1235,规范,1
31,参演,1
1237,指挥,1
1238,分管,1
1239,担任,1
1240,变化,1
1241,翻,1
1242,说明,1
1243,上演,1
1244,卖断货,1
1245,下班,1
1246,供应,1
1249,诠释,1
1250, 入伏,1
1251,啃,1
1281,会同,1
1283,落实习,1
1104,爆表,1
1311,行动,1
1313,应当,1
1314,发育,1
1315, 经,1
1316,评议,1
1317,拟,1
1318,抢救,1
1319,动 ,1
1320,对抗,1
1321,在一起,1
1322,测定,1
1323,相伴而生,1
2, 承古开,1
1325,干涸,1
1326,补助,1
1327,息息相关,1
1328,得知,1
1329,诞生,1
1330,注定,1
1331,共存,1
1332,好,1
1333,防灾,1
1334,少,1
1335,疏散,1
3,求,1
1310,查询,1
1284,践行,1
1309,回复,1
1285,从医,1
1286,恪守,1
1287,当成,1
1288,穿上,1
1289,意味,1
10,领奖,1
1291,恳请,1
1292,解决,1
1293,组成,1
9,不解,1
1295,存在,1
1296,次生,1
1297,摆到,1
1298,放过,1
1299,错过,1
1300,留下,1
1301, 据,1
1302,垂直,1
1303,正值,1
1304,学习,1
6,颁发,1
1306,统一,1
1307,来信,1
1226,收成,1
1225,提示,1
1224,融化,1
1133,迎战,1
1135,点,1
1136,安装,1
1137,出去,1
1139,外出,1
1140,遇到,1
1141,对待,1
1143,管,1
1145,派员,1
1147,出资,1
1149,给予,1
1151,选定,1
1152,普查,1
1153,引入,1
1154,服务,1
1155,奉献,1
1156,身临其境,1
1157,相关,1
1159,探访,1
1160,开闸,1
1161,蓄洪,1
1162,特有,1
1163,移山,1
1164,治水,1
1134,遇上,1
1132,迈出,1
1223,强 ,1
1131,近 ,1
1106,登场 ,1
1108,呼,1
1109,挑战,1
1110,飞花,1
1111,燃爆,1
1112,对出,1
1113,摇头晃脑,1
1114,跳,1
1115,往来,1
1116,赢取,1
1117,生存,1
1118,援引,1
1119,消退,1
1120,接撞,1
1121,褪去,1
1122,死亡 ,1
1123,驻,1
1124,吞噬,1
899, 奋勇,1
1126,走向,1
1128,阻挡,1
1129,身着,1
1130,赢下,1
1166,积累,1
1167,下去,1
1168,学,1
1169,身亡,1
1198,致贫,1
54,绽,1
1201,帮助,1
1202,回答,1
1203,定于,1
53,盛开,1
1205, 定于,1
46,脱衣服,1
45,升温,1
42,逼,1
1209,清醒,1
1210,汇报,1
1211,维护,1
1212,严阵,1
1213,专访,1
1214,入汛,1
1215,嗷嗷,1
1216,分享,1
1217,荣耀,1
1218,上线 ,1
1219,怎么样,1
1220,显形,1
1221,云集,1
58,退出,1
61,开出,1
1195,指示,1
1182, 乱套 ,1
1170,接连,1
1171,前所未有 ,1
1172,待命,1
1173,应对与,1
1174,看 ,1
1175,远至,1
1177,延迟,1
1178,任,1
1179,创办,1
1180,开花  ,1
1183,高达,1
62,离开,1
1184,前所未有,1
1185,预期,1
1186,创造,1
1187,应对 ,1
1188,全力以赴,1
1189,抢险,1
1190,停止,1
1191,护理,1
64,饰演,1
1193, 习,1
900, 向,1
877,如,1
898,斗志昂扬,1
338,体会,1
342,惊喜,1
571,做实,1
341,活动,1
573,拯救,1
575,点起,1
576,度,1
339,打烊,1
578,统计 ,1
579,扩大,1
580,名叫,1
581,丧生,1
336,汇入,1
326, 在,1
584,烧伤,1
585,送往,1
335,下来,1
587,收听,1
588,收看,1
334,接,1
333,推,1
592,承办,1
331,改善,1
329,动员,1
595,共享,1
343,间断,1
344,果不其然,1
567,立足,1
345,进场,1
541,找来,1
542,包围,1
359,见 ,1
544,集合,1
545, 多元化,1
546,帮,1
547,逃离,1
358,撬动,1
356,专电,1
352,解读,1
350,分成,1
554,征求,1
348,吸引,1
347,暗藏,1
557,明白,1
346,震撼,1
559,意识,1
560,缺,1
561, 到,1
562,种,1
563,活,1
564,了,1
565,督促,1
328,停    ,1
324,逛,1
664,留意,1
648,率队,1
634,得当 ,1
636,利用,1
