,动词,词频
24,发生,210
53, ,201
109,造成,110
34,进行,98
11,要,54
51,开展,53
28,  ,53
13,召开,48
25,发布,44
67,爆炸,43
9,做好,41
191,引发,36
161,落实,34
33,加强,34
130,会,33
32,出现,33
75,报道,33
271,到,32
79,称,31
231,导致,29
102,说,29
118,死亡,28
232,受伤,26
17,组织,25
37,要求,24
133,表示,24
135,能,21
290,贯彻,20
129,可能,20
90,可以,20
370,为主,20
55,提高,19
159,显示,18
194,了解,18
862,建立,17
19,分析,17
5,应,16
305,获悉,16
126,负责,16
0,强化,16
97,产生,15
324,坚持,15
304,举行,14
171,提升,14
154,完成,14
323,指出,14
69,引起,14
257,发现,13
134,受,13
366,影响,13
2,防范,12
16,存在,12
321,发表,12
169,公布,12
180,简称,12
153,出,12
156,预计,12
18,参加,12
274,部署,11
586,介绍,11
213,提供,11
149,采取,11
22,安排,11
82,让,11
473,应对,11
158,注意,11
193,为,10
829,着陆,10
224,推进,10
146,遭受,10
52,强调,10
54,进入,10
4,转移,10
481,发,10
225,成立,9
403,作出,9
374,印发,9
440,减轻,9
957,同意,9
157,需,9
377,完善,9
259,成为,9
66,位于,9
141,可,9
192,启动,9
387,驻,9
95,开始,9
268,事发,8
380,预测,8
200,看,8
1045,恢复,8
414,在,8
238,来,8
168,实现,8
206,结合,8
86,突发,8
608,达,8
29,频发,8
172,讯,7
247,提出,7
335,讲话,7
451,宣布,7
223,面对,7
434,入,7
822,遭遇,7
378,主持,7
152,排查,7
46,保障,7
211,包括,7
444,受到,7
864,发展,7
603,认为,7
334,出席,7
43,使用,7
106,得到,7
165,指导,7
283,增强,7
14,听取,7
369,制定,7
209,关注,7
178,邀请,7
308,至,7
62,确保,7
176,重视,7
10,做到,7
266,失联,6
26,来临,6
367,减少,6
1050,损坏,6
35,实施,6
47,来到,6
215,打开,6
485,安置,6
376,明确,6
509,带来,6
226,参与,6
302,查明,6
115,起来,6
556,应该,6
286,修订,6
119,接受,6
1146,合格,6
325,至上,6
89,拍摄,6
512,做,6
227,许 ,6
650,过,6
452,认识,6
576,想,5
167,透露,5
420,总结,5
347,讲述,5
437,结束,5
933,起飞,5
792,发出,5
311,传递,5
164,调研,5
314,请,5
177,举办,5
267,调查,5
716,看看,5
317,联系,5
777,听到,5
105,没有,5
253,超过,5
163,深入,5
120,满载,5
575,知道,5
627,保持,5
652,发射,5
622,达到,5
57,抓,5
123,需要,5
1057,涉,5
121,拥有,5
732,摸清,5
162,利用,5
1175,开庭,5
769,传出,5
309,作为,5
728,用于,5
27,能够,5
331,分布,5
12,处理,5
81,降低,5
203,相信,4
255,失败,4
350,获得,4
15,研究,4
613,建,4
242,送往,4
260,爆炸 ,4
717,推荐,4
1101, 请,4
330,消除,4
23,掌握,4
214,威胁,4
230,处置,4
342,担当,4
753,出台,4
8,统筹,4
1056,辖,4
389,致,4
606,具有,4
278,来自,4
670,研发,4
400,称 ,4
969,行动,4
447,避免,4
410,   ,4
959,编制,4
61, 为,4
284,夯实,4
1158,构建,4
285,联合,4
297,肆虐,4
91,看到,4
63,预防,4
503,该,4
85,面临,4
529,诱发,4
80,冒出,4
77,起火,4
513,保证,4
695,形成,4
277,赴,4
386,处于,4
273,谋划,4
30,喷发,4
31,起,4
187,伤亡,4
778,困,4
463,吃,4
371,说明,4
175,领导,4
372,扫,4
252,投放,4
379,传达,4
994,确定,4
145,支持,4
591,销毁,4
810,相比,4
48,检查,4
585,扑灭,4
1082,承担,3
1203,分为,3
675,体现,3
480,严防,3
1072,用,3
678,转,3
310,出于,3
479,树立,3
658,住,3
464,迎来,3
316,证明,3
1153,问,3
582,伴随,3
453,主办,3
574,出生,3
393,烧伤,3
395,排除,3
450,丧生,3
560,帮助,3
1155,取得,3
466,沉降,3
412,袭击,3
534,集中,3
421,研判,3
1223,表明,3
424,转载,3
1165,受灾,3
1176,审理,3
681,决定,3
1186,升起,3
458,建设,3
459,打造,3
626,执行,3
620,适应,3
341,保护,3
616,考虑,3
348,选择,3
351,拟定,3
1112,如下,3
611,派出,3
356,检验,3
357,继续,3
605,有,3
1113,牵头,3
1205,应当,3
1196,领会,3
592,找到,3
1070,研制,3
721,阻止,3
291,偏少,3
744,准备,3
195,下,3
767,涉及,3
763,聚焦,3
752,预报,3
205,生产,3
747,开,3
78,拍下,3
189,发放,3
217,遇难,3
737,席卷,3
872,查清,3
222,下来,3
734,塌陷,3
233,睡觉,3
190,模拟,3
92,说起,3
719,陷入,3
147,遭到,3
1331,亟待,3
970,下发,3
978,带到,3
965,评估,3
818,失踪,3
962,得知,3
995, 据,3
186,如,3
996,传来,3
955,获取,3
160,走进,3
954,属,3
953,前往,3
1009,逃过,3
879,中止,3
216,查看,3
117,证实,3
906,突出,3
279,提醒,3
275,纳入,3
903,指,3
56,配合,3
254,拦截,3
58,滑坡,3
918,抗击,3
3,化解,3
927,力求,3
897,倒塌,3
261,安装,3
685,建议,3
243,曝光,3
935,出发,3
925,推动,3
899,希望,3
908,核定,3
482,接近,2
539,包含,2
540,开采,2
1164,会同,2
850,变得,2
907,会商,2
1156,事关,2
956,抵御,2
857,发挥,2
919,表彰,2
546,上,2
547,干,2
1152,答,2
1151,存,2
477,接到,2
968,指示,2
476,简介,2
1143,增加,2
831,游荡,2
902,降水,2
1179,储存,2
950,搭载,2
516,居住,2
504,穿,2
939,降落 ,2
877,着陆 ,2
885,飞往,2
500,编辑,2
1184,存放,2
947,致使,2
867,融合,2
948,掉落,2
886,分,2
514,返,2
563,想到,2
1172,发文,2
531,方便,2
518,防御,2
891,响应,2
928,降到,2
519,令,2
1187,相当于,2
