,动词,词频
53, ,113
11,要,62
51,开展,60
34,进行,56
13,召开,43
33,加强,39
24,发生,34
74,造成,31
73,会,30
9,做好,28
233,落实,26
86,打好,24
166,推进,24
0,强化,23
245,贯彻,23
274,到,21
28,  ,21
25,发布,20
32,出现,20
5,应,18
159,提升,18
37,要求,18
55,提高,18
214,说,16
202,引发,16
78,整改,15
87,推动,15
148,导致,15
365,影响,14
17,组织,14
71,带来,14
528,获悉,14
244,指出,13
72,污染,13
336,建立,13
18,参加,13
489,可能,13
62,确保,13
178,简称,13
289,发现,12
183,举报,12
369,为主,12
213,可以,12
52,强调,12
16,存在,12
165,改善,12
35,实施,12
128,出席,11
79,解决,11
366,减少,11
204,为,11
235,重视,11
341,表示,10
90,能,10
2,防范,10
344,学习,10
278,部署,10
240,需要,10
318,坚持,10
68,可,10
226,关注,10
407,排放,10
4,转移,9
66,公布,9
162,实现,9
629,遭遇,9
221,预计,9
211,看,9
374,印发,9
103,决定,8
116,完成,8
132,通报,8
81,包括,8
205,了解,8
185,取得,8
303,保护,8
260,讲话,8
637,加快,8
46,保障,8
57,抓,8
14,听取,8
679,显示,7
522,建设,7
139,反映,7
111,采取,7
138,破坏,7
351,作出,7
54,进入,7
69,使,7
29,频发,7
391,应当,7
387,介绍,7
602,形成,7
357,继续,7
270,发挥,7
22,安排,6
474,构建,6
454,死亡,6
125,产生,6
860,下降,6
1033,安置,6
1026,斗,6
206,下,6
130,负责,6
123,成为,6
19,分析,6
377,完善,6
40,加大,6
88,称,6
720,提示,6
184,打击,6
579,指导,6
453,宣布,5
370,说明,5
850,损坏,5
372,打开,5
167,调研,5
677,发展,5
651,涉嫌,5
48,检查,5
43,使用,5
182,参与,5
140,得到,5
674,达到,5
200,发放,5
741,举行,5
368,降低,5
477,让,5
187,邀请,5
457,认识,5
345,习,5
203,启动,5
378,主持,5
509,作为,5
563,面对,5
94,整治,5
93,暴露,5
583,报道,5
100,涉及,5
300,证明,5
512,查处,5
63,预防,5
225,注意,5
587,应该,5
107,深入,5
562,提出,5
220,结合,5
61, 为,5
322,成,5
83,提供,5
121,超过,5
1032,需,5
96,迎接,5
297,规定,4
298,承担,4
239,扔,4
281,赴,4
280,来,4
371,扫,4
8,统筹,4
275,利用,4
929,下去,4
299,减轻,4
228,威胁,4
740,认定,4
687,转,4
198,排查,4
219,生产,4
321,围绕,4
23,掌握,4
27,能够,4
323,增加,4
174,发,4
331,制定,4
77,督促,4
434,入,4
118,受,4
487,发表,4
91,遭受,4
95,治理,4
461,处置,4
568,做,4
56,配合,4
98,上,4
445,避免,4
442,受到,4
435,立足,4
523,支持,4
758,判决,4
84,接受,4
803,主演,4
385,促进,4
50,履行,4
114,覆盖,4
405,防止,4
47,来到,4
294,适用,3
576,出来,3
800,扩散,3
575,拿,3
724,倾倒,3
305,丢弃,3
379,预测,3
283,提醒,3
626,达,3
591,帮助,3
719,所在,3
288,联合,3
282,来自,3
624,集中,3
697,投入,3
596,游玩,3
619,面临,3
718, 同,3
704,建议,3
277,谋划,3
785,用,3
708,请,3
617,起来,3
310,监测,3
686,响应,3
561,应对,3
547,采用,3
397,学,3
609,看到,3
743,问,3
752,收集,3
414,恢复,3
418,购买,3
423,收到,3
897,设置,3
433,成立,3
928,经历,3
348,到位,3
671,处于,3
343,投诉,3
736,审理,3
483,保证,3
494,进驻,3
500,想到,3
645,变得,3
513,认为,3
259,打赢,3
326,聚焦,3
324,期望,3
835,控制,3
537,来源,3
320,补齐,3
542,穿,3
315,代表,3
911,下发,3
709,保持,3
127,执法,3
222,开始,3
199,出,3
15,研究,3
243,收看,3
242,收听,3
80,关心,3
238,拍摄,3
991,抵御,3
145,履职,3
164,规范,3
223,调整,3
992,同意,3
1027,积累,3
45,组成,3
21,设立,3
26,来临,3
113,接到,3
1025,治水,3
1035,如下,3
186,举办,3
10,做到,3
153,查 ,3
177,宣判,3
216,相信,3
170,查看,3
180,判处,3
171,带队,3
60,到来,3
250,增强,3
76,见,2
422,征求,2
1020,探访,2
446,扩大,2
156,查,2
154,愿,2
895,把握,2
1021,开闸,2
155,想,2
85,检验,2
152,敢,2
82,上传,2
888,创新,2
