,动词,词频
24,发生,163
53, ,139
75,相撞,122
141,造成,71
11,要,54
127,受伤,44
51,开展,43
34,进行,42
28,  ,41
102,导致,32
89,行驶,31
183,会,30
13,召开,29
25,发布,28
78,看到,27
67,驾驶,25
155,相撞 ,24
371,致,24
130,受损,24
147,称,23
9,做好,22
96,到,20
113,可以,19
150,引发,19
33,加强,18
424,死亡,18
32,出现,17
133,困 ,17
218,获悉,16
135,接到,16
68,接,15
259,落实,15
168,行,14
107,发表,14
118,赶赴,14
126,看,14
137,撞,14
0,强化,14
249,注意,14
377,调查,13
84,显示,13
211,受到,13
55,提高,13
5,应,13
37,要求,12
91,往,12
221,出,12
399,说,12
163,需,11
2,防范,11
73,发现,11
93, 致,11
140,处置,11
17,组织,10
103,爆料,10
157,了解,10
18,参加,10
54,进入,10
90,至,10
82,停,10
255,讯,9
128,赶到,9
333,可能,9
558,可,8
657,发,8
205,通报,8
703,救治,8
109,让,8
120,查看,8
111,失控,8
276,提升,8
121,到达,8
247,提醒,8
236,启动,8
477,影响,8
112,曝光,7
22,安排,7
114,看出,7
4,转移,7
848,接报,7
29,频发,7
156,包括,7
123,致使,7
99,知道,7
287,贯彻,7
233,至上,7
46,保障,7
62,确保,7
555,能,7
265,推进,7
609,拍摄,6
353,表示,6
57,抓,6
116,赶往,6
188,事发,6
220,想象,6
105,撞上,6
321,指出,6
589,见,6
313,请,6
544,为主,6
493,预计,6
451,下降,6
170,行至,6
94,损坏,6
149,来,6
143,身亡,5
267,部署,5
19,分析,5
419,上,5
153,位于,5
152,称 ,5
389,保持,5
963,安置,5
52,强调,5
14,听取,5
12,处理,5
180,倒地,5
372,画,5
48,检查,5
177,许 ,5
352,为,5
122,遭受,5
85,处于,5
821,遭遇,5
86,达,5
304,举行,5
546,面对,5
548,发挥,5
301,查明,5
513,带来,5
27,能够,5
100,开,5
26,来临,5
117,出动,5
274,关注,5
271,负责,5
586,重视,5
335,出席,5
430,认为,5
955,继续,4
345,深入,4
165,送往,4
252,变形,4
243,推荐,4
192,倾倒,4
264,采取,4
228,散落,4
307,降低,4
238,分享,4
336,讲话,4
330,排查,4
213,形成,4
224,困,4
322,坚持,4
379,驾车,4
953,斗,4
288,偏少,4
361,指导,4
226,撞击,4
837,超过,4
101,变成,4
651,需要,4
125,低头,4
108,突发,4
824,加快,4
70,报警,4
704,受,4
585,达到,4
480,碰撞,4
104,疑似,4
16,存在,4
590,印发,4
466,应对,4
139,狼藉,4
119,打开,4
508,穿,4
728,送医,4
530,回家,4
426,撞 ,4
545,宣布,4
442,认识,4
8,统筹,4
450,打造,4
124,过,4
766,预测,4
10,做到,4
618,开车,4
802,建立,4
284,调研,3
290,开始,3
571,集中,3
566,面临,3
280,联合,3
279,夯实,3
681,冲破,3
275,下载,3
707, 让,3
278,增强,3
572,发动,3
761,得到,3
757,失踪,3
587,作出,3
270,赴,3
591,入,3
266,谋划,3
594,执行,3
749,相比,3
260,邀请,3
734,感染,3
633,转,3
722,想,3
300,实现,3
