,动词,词频
53, ,108
84,会,67
34,进行,43
11,要,38
24,发生,32
51,开展,29
32,出现,29
28,  ,28
102,到,25
76,导致,25
202,造成,23
148,可能,23
219,表示,22
75,说,21
526,认为,19
72,引发,19
13,召开,18
9,做好,16
139,带来,16
71,可以,14
120,面临,13
203,应对,13
25,发布,13
74,影响,12
73,指出,12
379,落实,12
131,陷入,12
115,开始,12
167,显示,11
230,举行,11
54,进入,11
68,能,11
145,称,11
173,爆发,10
18,参加,10
33,加强,10
17,组织,10
176,下降,10
83,看,10
452,需要,10
590,达到,10
27,能够,9
136,报道,9
37,要求,9
295,预测,9
171,让,9
643,提供,9
55,提高,8
46,保障,8
259,部署,8
86,讲,8
493,采取,8
70,发表,7
220,超过,7
334,实现,7
316,成为,7
300,为,7
113,受到,7
105,处于,7
60,到来,7
77,来,6
523,前所未有,6
89,买,6
143,看到,6
99,想,6
205,至,6
22,安排,6
243,去,6
26,来临,6
38,必须,6
322,用,6
378,贯彻,6
402,为主,6
290,发展,6
285,受,6
2,防范,6
254,讯,6
282,遭受,5
298,避免,5
284,值得,5
311,做,5
321,度过,5
155,来自,5
119,使,5
156,代表,5
357,推进,5
95,请,5
403,说明,5
454,发现,5
477,宣布,5
138,围绕,5
122,面对,5
0,强化,5
286,包括,5
19,分析,5
52,强调,5
675,冲击,5
5,应,5
16,存在,4
180,失衡,4
137,担心,4
141,选择,4
287,改变,4
144,警告,4
717,在,4
566,注意,4
723,走向,4
166,上升,4
57,抓,4
464,提升,4
174,增加,4
575,起来,4
48,检查,4
184,可,4
323,偏少,4
193,支持,4
69,引起,4
405,打开,4
404,扫,4
401,制定,4
381,获得,4
360,排查,4
229,经历,4
236,知道,4
351,至上,4
350,坚持,4
251,查明,4
256,完善,4
263,邀请,4
408,印发,4
422,启动,4
527,产生,4
91,投资,4
541,鼓励,4
124,利用,4
532,解决,4
101,转嫁,4
930,相比,4
745,阻止,3
248,减轻,3
578,威胁,3
666,花,3
47,来到,3
338,降低,3
610,形成,3
528,应该,3
329,肆虐,3
23,掌握,3
250,拥有,3
546,问,3
255,获悉,3
751,了解,3
87,吃,3
609,发挥,3
587,提出,3
391,模拟,3
108,预示,3
258,总结,3
88,上,3
355,结合,3
359,分布,3
106,接近,3
233,贬值,3
367,办,3
369,保护,3
803,持续,3
539,复苏,3
237,覆盖,3
372,深入,3
376,相信,3
540,保持,3
806,抄底,3
107,没有,3
382,拟定,3
383,组建,3
510,调研,3
242,拯救,3
448,明白,3
30,喷发,3
554,过,3
302,表明,3
573,集中,3
621,给,3
154,播放,3
492,迎来,3
62,确保,3
8,统筹,3
63,预防,3
64,演练,3
703,停止,3
293,下跌,3
127,遏制,3
708,查看,3
4,转移,3
512,发,3
135,搬家,3
134,找,3
624,设,3
489,希望,3
833,占,3
570,预计,3
320,该,3
696,转,3
260,出席,3
97,提问,3
626,达,3
14,听取,3
465,举办,3
611,倒,2
628,请求,2
341,传递,2
683,意味,2
354,抓好,2
327,尽,2
687,感受,2
324, 有,2
292,通过,2
629,派出,2
328,盛行,2
545,过来,2
832,致信,2
835,发出,2
637,得出,2
807,来袭,2
318,维持,2
834,上调,2
636,建议,2
339,作为,2
307,收购,2
303,得到,2
705,排放,2
389,增强,2
358,消除,2
487,具有,2
462,结束,2
556,防御,2
558,令,2
522,关闭,2
671,打破,2
478,死亡,2
560,创下,2
480,讲解,2
481,主办,2
482,承办,2
485,建设,2
672, 在,2
555,重视,2
516,突发,2
490,突如其来,2
495,沉降,2
496,临近,2
716,直言,2
514,处置,2
502,联合,2
565,减弱,2
563,伴有,2
704,作出,2
509,赴,2
459,入,2
457,成立,2
800,遭遇,2
406,配建,2
365,中标,2
370,担当,2
597,足以,2
651,衍生,2
652,蔓延,2
653,扩散,2
380,名为,2
385,负责,2
390,检验,2
657,欠,2
534,下来,2
694,涉及,2
679,变得,2
410,明确,2
411,传达,2
773,开,2
414,叠加,2
772,下发,2
764,席卷,2
426,拟,2
430,搬迁,2
757,摸清,2
443,研判,2
444,完成,2
548,分,2
313,崩溃,2
175,衰退,2
244,享受,2
147,收紧,2
149,出,2
150,说 ,2
910,放大,2
157,推荐,2
158,防止,2
160,回应,2
162,加息,2
169,受阻,2
170,透露,2
901,类似于,2
177,减少,2
182,来源于,2
185,联系,2
192,出来,2
194,决定,2
204,下调,2
211,走出,2
212,做出,2
222,放缓,2
867,准备,2
142,离开,2
