,动词,词频
16, ,93
84,发生,62
6,会,56
28,进行,50
101,做好,41
3,开展,40
48,要,38
81,造成,35
4,召开,34
225,到,28
29,出现,26
7,落实,24
99,  ,24
13,防治,23
213,影响,21
35,可以,21
129,说,20
75,组织,18
128,能,17
5,贯彻,17
8,要求,17
123,可能,17
95,发布,15
10,为主,14
86,开始,14
182,了解,14
246,强化,13
179,引发,13
73,提高,12
33,需要,12
22,包括,12
251,发现,12
143,采取,12
19,可,11
97,防范,11
41,坚持,11
74,参加,10
68,部署,10
406,导致,10
66,加强,10
54,养,10
0,确保,10
286,指出,9
43,推进,9
102,出席,9
219,举行,9
11,实现,9
60,喷,8
199,关注,8
164,安排,8
303,受到,8
159,提升,8
312,打开,8
317,达到,8
150,注意,8
61,预防,8
148,预计,8
49,进入,8
32,应该,8
23,提供,8
479,带来,7
119,调研,7
42,指导,7
196,应,7
297,让,7
69,排查,7
106,发,7
127,受,7
217,获悉,7
502,使,7
151,显示,7
27,出,7
121,主持,6
110,请,6
222,应对,6
195,结合,6
529,危害,6
272,降低,6
779,相比,6
284,发表,6
47,治,6
332,喷洒,6
350,预测,6
153,利用,6
154,深入,6
160,讯,6
486,见,6
126,表示,6
296,讲话,6
546,分析,6
539,处于,6
166,负责,6
725,想,5
503,保证,5
181,为,5
666,认为,5
57,开,5
70,抓,5
425,下降,5
242,来自,5
92,简称,5
396,迎来,5
858,遭遇,5
51,生长,5
370,发展,5
422,建设,5
256,偏少,5
579,建,4
165,举办,4
394,遇到,4
548,过,4
342,减少,4
305, 为,4
287,至上,4
589,做到,4
157,公布,4
316,控制,4
152,走进,4
345,扫,4
344,说明,4
149,需,4
402,治理,4
420,成为,4
275,传递,4
209,去,4
487,谈,4
434,成立,4
248,增强,4
249,夯实,4
250,联合,4
212,查明,4
208,选择,4
167,邀请,4
205,吃,4
424,保护,4
528,避免,4
270,能够,4
180,启动,4
239,陪同,4
224,建立,4
320,得到,4
118,来,4
89,制定,4
39,作为,4
103,强调,4
36,采用,4
105,严防,4
34,营造,4
63,保持,4
9,抓好,4
98,化解,4
140,遭受,4
59,建议,4
388,称,3
407,处理,3
496,聚集,3
100,发出,3
221,带领,3
113,明确,3
198,播种,3
704,活动,3
511,种植,3
802,增加,3
291,统筹,3
24,作出,3
77,起来,3
495,捕食,3
210,减轻,3
557,栽种,3
876,超过,3
492,膨大,3
423,打造,3
763,称为,3
448,接近,3
447,入,3
262,肆虐,3
446,来到,3
862,加快,3
90,有利于,3
473,该,3
245,来临,3
474,穿,3
437,参与,3
240,赴,3
430,沉降,3
237,谋划,3
273,至,3
328,认识,3
573,达,3
192,相信,3
257, 有,3
677,介绍,3
178,模拟,3
598,上报,3
601,产生,3
602,塌陷,3
189,看,3
595,调动,3
823,体现,3
672,推荐,3
671,看看,3
174,如,3
347,印发,3
363,响应,3
609,陷入,3
62,耐,3
590,宣布,3
354,防,3
58,生病,3
664,具有,3
583,考虑,3
325,入选,3
184,喷发,3
67,重视,3
146,完成,3
139,拥有,3
334,代表,2
330,追施,2
37,使用,2
331, 用,2
764,选用,2
55,通,2
828,发黄,2
439,面授,2
444,树立,2
346,配建,2
56,利于,2
438,针对,2
349,传达,2
372,搬迁,2
358,看到,2
38,防控,2
800,维持,2
374,检查,2
375,前往,2
379,组建,2
52,开花,2
806,受伤,2
369,推动,2
759,做,2
804,成,2
368,激励,2
383,作,2
387,爆料,2
366,拟,2
40,突出,2
794,起,2
365,调度,2
398,滋生,2
401, 预防,2
787,失踪,2
412,没有,2
784,掩埋,2
362,失联,2
814,生,2
819,吸食,2
414,长,2
141,遭到,2
485,道 ,2
758,打药,2
12,关心,2
596, 防范,2
673,   ,2
593,执行,2
674,沉没,2
675,讲述,2
679,阻止,2
578,集中,2
699,突如其来,2
576,派出,2
574,发动,2
687,用于,2
570,解决,2
567,回升,2
691,摸清,2
597,加入,2
599,指,2
600,形成,2
603,排放,2
670,气大伤身 ,2
669,发泄,2
668,气愤,2
667,刷到,2
611,下起,2
615,打好,2
618,打,2
657,面对,2
626,改变,2
627,位,2
648,调查,2
645,会商,2
639,报考,2
697,流离失所,2
17,刮除,2
458,呈现,2
744,呼吁,2
488,小心 ,2
484,解释,2
483,迁,2
482,工作,2
481,监测,2
742,分泌,2
1,丰收,2
18,上,2
472,备好,2
469,来源,2
749,感染,2
465,摄 ,2
461,频发,2
459,波动,2
489,传播,2
490,携带,2
491,带,2
493,害螨,2
494,释放,2
497,节省,2
498,从事,2
499,有所,2
500,如下,2
501,相比 ,2
25,灭,2
505,开放,2
509,交替,2
518,降,2
729,聚焦,2
524,出来,2
20,消灭,2
329,掀起,2
643,研究,2
327,下 ,2
294,划定,2
877,中断,2
231,汇报,2
232,放映,2
326,兴,2
235,选取,2
875,有,2
241,听取,2
243,提醒,2
88,放置,2
252,修订,2
267,覆盖,2
82,摧毁,2
80,装满,2
274,出于,2
276,标注,2
277,侵犯,2
278,持,2
280,联系,2
282,删除,2
78,像,2
854,游玩,2
228,围绕,2
96,实施,2
223,保障,2
183,下,2
907,抗击,2
138,支持,2
137,投资,2
133,延长,2
156,透露,2
130,规定,2
163,领导,2
170,刮起,2
177,发放,2
188,分享,2
220,总结,2
923,研发,2
197,调整,2
112,播放,2
886,希望,2
203,享受,2
204,上班,2
211,适合,2
104,打起,2
218,完善,2
293,分布,2
234,筑牢,2
299,怎么办,2
324,创建,2
306,食用,2
833,引起,2
321,获得,2
65,剪去,2
71,下发,2
322,致电,2
847,融合,2
887,打扫,1
703,报道,1
705,站,1
706,协调,1
702,    点,1
948,传,1
701,冲翻,1
707,做实,1
700,犹如,1
888,研判,1
834,经过,1
824,寄生,1
698,席卷,1
708,准备,1
696,查看,1
695,活埋,1
694,睡觉,1
693,崩塌,1
692,滑坡,1
642,颁发,1
690,预期,1
889,上 ,1
689,假设,1
688,用来,1
890,降水,1
891,死亡,1
686,收集,1
947,销往,1
807,伴有,1
709,在于,1
837,喜,1
734,过境,1
733,涉及,1
732,拉开,1
731,破解,1
884,冲走,1
730,整治,1
885,怎样,1
728,抗拒,1
727,回到,1
726,家 ,1
924,对准,1
946,回应,1
724,讲,1
723,分开,1
836,招食,1
710,告诉,1
722,发誓,1
721,互认,1
720,转移,1
719, 就,1
718,打通,1
717,出台,1
716,预报,1
715,出名,1
714,摄,1
835,啃食,1
713,稳定,1
712,经,1
711,返,1
825, 啃食,1
892,转载,1
894,现代化,1
685,存在,1
911,投身,1
914,降到,1
831,汇总,1
906,苦不堪言 ,1
949,蛀空 ,1
665,毁坏,1
913,力求,1
663,提及,1
662,不以为然,1
912,分,1
661,表现,1
660,说起,1
659,加密,1
658,竭尽,1
656,发 ,1
893,予以,1
655,温暖如春,1
832,处在,1
654,谷雨,1
653, 怪,1
652,袭 ,1
651,探讨,1
650,互动,1
649,审视,1
647,犯,1
646,爆发,1
908,表彰,1
644,呈,1
909,弘扬,1
905,降临,1
915,送到,1
830,当心,1
904,住,1
684,架设,1
736,招,1
895,立足于,1
683,死于,1
682,背井离乡 ,1
681,炸开,1
826,变,1
680,下令,1
922,路过,1
678,执,1
921,撒,1
676,中标,1
920,胜于,1
827,失水,1
896,着眼于,1
897,核定,1
898,寓意,1
899,列举,1
900,失控,1
901,创,1
902,获,1
919,蠢蠢欲动,1
918,设计,1
917,称之为,1
916,抚慰,1
829,烦恼,1
903,投保,1
735,爆盆,1
926,据了解,1
925,获取,1
737,种种,1
857,暴露,1
783,触发,1
782,俗称,1
781,忽视,1
780,熟知,1
811,在,1
778,冒,1
846,运用,1
934,患上,1
845,贯通,1
812,抓住,1
777, 称,1
776,恶化,1
775,不胜枚举,1
774,相食,1
844,地勘,1
773,蔽,1
772,见于,1
771,量 ,1
933,入青,1
770,杜绝,1
769,和,1
859,愿,1
860,投入,1
768,种上,1
767,种菜,1
766, 给,1
765,做成,1
861,发挥,1
856,避开,1
785,损毁,1
786,降雨,1
796,偏多  ,1
849,促,1
805,缴,1
808, 自,1
809,偏高,1
803,必不可少,1
850,把握,1
801,加大,1
851,把,1
852,设置,1
853,查清,1
799,减产,1
910,激发,1
797, 让,1
939,喜欢,1
810,证实,1
795,登陆,1
940,适宜,1
935,煮完,1
793,距,1
792,惊悉,1
848, 省,1
941,发病,1
791,致,1
790,转移 ,1
789,失,1
942,积压 ,1
855,开发,1
788,撤离,1
863,筹划,1
864,面临,1
865,亏空 ,1
820,咬破,1
874,取得,1
815,常见,1
816,刻不容缓,1
841,分散,1
944,烂掉,1
945,追查,1
817,群集,1
818,取食,1
840,孵化,1
878,对不起,1
839,产卵,1
879,欠,1
880, 晃荡,1
821,钻食,1
842,为害,1
822,誉为,1
938,蔓延,1
937,耸人听闻,1
881,算是,1
882,碰,1
883,倒塌,1
927,争取,1
741,吸收,1
838,成堆,1
740,清除,1
739,养出,1
738,得心应手 ,1
936,高涨,1
928, 基于,1
943,发热,1
866,致使,1
753,增大,1
867,停电,1
762,防止,1
761,提议,1
760,杀死,1
868,停暖,1
932,卖,1
757,管理,1
756,便于,1
755,繁殖 ,1
869,蒙受,1
870,防患于未然,1
754, 加,1
871,波及,1
752,属,1
743,枯萎  ,1
751,设施,1
813,落花,1
750, 除,1
931,采收,1
748,较上,1
747,升级,1
746,充当,1
872,下达,1
930,超标,1
873,创新,1
843,腐,1
745,停止,1
929,推广,1
798,封冻,1
475,脱,1
641,听从,1
301,养殖,1
288,用心,1
289,用情,1
290,堵点,1
292,消除,1
295,值得,1
298,发软,1
300,透气,1
302,通风,1
315,夹上,1
304,侵袭,1
307,接,1
308,下来,1
309,教,1
310,渡过,1
311,防虫,1
313,舀,1
285, 砰,1
283,谢谢,1
281,更正,1
279,证明,1
247,识灾,1
253,组成,1
254,倾听,1
255,宣读,1
258,爱,1
259,知,1
260,尽,1
261,盛行,1
263,存 ,1
264,易,1
265,食,1
266,入网,1
268,安装,1
269, 受,1
271,预知,1
314,舀完,1
318,亩用,1
392,回来,1
378,分成,1
361,演练,1
364,赶赴,1
367,表扬,1
371,做出,1
373,督导,1
376,搬迁点,1
377,办,1
380,消,1
319,督办,1
381, 对,1
382,学习,1
384,绿化,1
385, 扣,1
386,居住,1
389,攻陷,1
390,     ,1
360,收场,1
359,认定,1
357,出面,1
356,到达,1
323,反映,1
333,继续,1
335,读懂,1
336,感觉,1
337,预言,1
338,走到,1
339, 天得 ,1
340,得 ,1
341, 神得,1
343,提早,1
348,下称,1
351,提前,1
352,加之,1
353,叠加,1
355,承认,1
244,下载,1
238,纳入,1
236,扛起,1
114,参会,1
91,公告,1
93,审查,1
94,批准,1
107,发期,1
108,万无一失,1
109,盯紧,1
111,点击,1
115,涵盖,1
233,丰富,1
116,评估,1
117,率,1
120,参,1
122,分管,1
124,减缓,1
125,援引,1
131,违反,1
87,允许,1
85,反对,1
83,夺走,1
79,落入,1
2,整合,1
14,知道,1
15,发芽,1
21,越冬,1
26,判断,1
30,证,1
31,报名,1
44,遏制,1
45,暴发,1
46,大于,1
50,喜光,1
53,例外,1
64,修剪 ,1
72,意味,1
76,听,1
132,强迫,1
134,拒绝,1
135,抗力,1
187,感,1
191,串通,1
193,合作,1
194,生产,1
200,点,1
201,上传,1
202,威胁,1
206, 等,1
207,放松,1
214,推演,1
215,供图,1
216, 发,1
226,解读,1
227,与会,1
229,欢迎,1
230,感谢,1
190,入股,1
186,搜,1
136,注重,1
185,崩解,1
142,记录,1
144,自查,1
145,查,1
147,纵向,1
155,严阵以待,1
158,坚持不懈,1
161, 付,1
162,想 ,1
168,藏,1
169,守护,1
171,坠入,1
172,停 ,1
173, 清,1
175,伤亡,1
176,有关,1
391,出去,1
393,掉到,1
640,停留,1
