,动词,词频
9, ,175
86,  ,52
25,会,44
422,发生,42
182,到,40
72,要,36
132,召开,33
28,发布,32
43,让,30
174,看,29
13,来,29
151,造成,27
22,开展,24
120,说,24
8,进行,22
275,带来,22
99,掀起,21
874,播出,20
53,能,20
199,可以,17
38,成为,17
363,做好,16
284,贯彻,16
127,加强,16
1103,落实,16
259,为,15
331,出现,15
1064,引发,14
126,表示,14
276,可能,14
421,迎来,14
134,要求,14
149,做,13
77,出,13
31,称,12
834,继续,12
61,进入,12
253,开始,11
715,提升,11
59,看看,11
191,遭遇,11
810,跌,10
202,知道,10
84,开,10
264,令,10
140,强化,10
1192,为主,10
29,报道,10
572,分享,10
544,影响,9
367,参加,9
1112,获悉,9
887,起来,9
24,推进,9
54,获得,9
177,展开,9
5,觉得,9
317,看到,9
1,可,9
131,主持,9
906,指出,8
1107,建立,8
79,达,8
184,邀请,8
109,能够,8
82,发挥,8
302,来自,8
362,没有,8
821,分析,8
855,中断,8
489,开播,8
1109,应,8
1105,印发,7
689,公布,7
152,席卷,7
101,认为,7
116,降低,7
1115,出席,7
1116,讲话,7
180,讨论,7
176,参与,7
641,坚持,7
278,产生,7
172,受,7
34,了解,7
313,发现,7
273,提出,7
270,需要,7
927,组织,7
42,开启,7
625,关注,6
1299,损坏,6
123,上演,6
455,需,6
1073,首播,6
69,发表,6
1253,提高,6
1295,安置,6
492,强调,6
245,举办,6
499,走进,6
686,担任,6
45,至,6
354,完成,6
133,部署,6
21,结束,6
1294,转移,6
73,导致,6
98,主办,6
412,研究,6
158,具,6
886,发展,6
225,介绍,6
330,预计,5
928,负责,5
915,涨,5
628,面临,5
486,主演,5
301,举行,5
901,饰演,5
163,建议,5
997,存在,5
19,保障,5
187,亮相,5
143,显示,5
514,变得,5
607,下降,5
863,回归,5
190,采用,5
979,融合,5
26,引起,5
83,发,5
218,代表,5
780,爆发,5
400,准备,5
419,得到,5
91,推动,5
394,刮起,5
716,相信,5
234,推荐,5
221,推出,5
220,来袭,5
694,见,5
68,触发,5
208,创造,5
250,开放,5
251,挑战,5
119,打,5
351,想到,5
48,更新,5
49,去,5
439,出来,4
185,围绕,4
471,希望,4
175,打造,4
535,成,4
230,上市,4
232,提供,4
525,   ,4
350,应该,4
461,观看,4
450,减,4
1210,成立,4
